Chillhop Radio 🐾 jazzy/lofi hip hop beats to study/relax to,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
58,Coastal Town,4yFKdrYav9741hVAiPicHQ,Kupla,7daSp9zXk1dmqNxwKFkL35,Coniferous,2dPa5nSDfNDStYSYJBc6sU,56,https://p.scdn.co/mp3-preview/d9fdcc2f44cae26667904b1f947646ba36f48508?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,17,6O5AGRHIKvSeyWIUpWfugt,Ian Ewing,6QrRSfwkZsixVIgDRhpToh,Always Home,41UC3rVr8QlcwvhBRNxkJB,56,https://p.scdn.co/mp3-preview/73d78e1b35f764fd6e6df40e293efa6b2ba427a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,tonite,65geyAyEzVsvrZLTdDpJi9,blnkspc_,3hZaebXqrD5crmyMP2x1qa,Chillhop Essentials Summer 2019,0xqLG9KaR7gw3Bkc5Bza1v,46,https://p.scdn.co/mp3-preview/46e8d5f4013c9fbec5de669deac73c4afdd0e050?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Stickers,1KJKkfak341M9Jgd5SiDue,weird inside,4iylWAhvTVtSVhIeAoM7Bl,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,46,https://p.scdn.co/mp3-preview/125fc09ee4579ba519bda7b77325473e6c6a9997?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Away with the Fairies,6Yp6bCLd4IWur1yL2Xirrk,Philanthrope,13ACz7DIictCpSYGglNTHs,Away with the Fairies,1zfbxCBx19QGZoGsiivrcA,65,https://p.scdn.co/mp3-preview/f6301d1ce6e772608f9875913d1adde029218fd6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Alive,3vU0WH6qHOd3MRFZt5nJJF,Ouska,1BhytEyR0LxnxXoeQPxGVV,Alive,66JkP4mCVvp100VxM0c5NB,53,https://p.scdn.co/mp3-preview/087916ea3bf72782ed2a6333a537cb57730fa40a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Hypnosis,4LcqOSx9c7boYhWy8G02qQ,Evil Needle,37nE9g0LRDhDSIejDuPKPS,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,55,https://p.scdn.co/mp3-preview/5e304d5f3a97c5e40a35c003fb3e1691169b7c40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Old Cartoons,2fy53BFGLxaynmkPwQL5CF,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,57,https://p.scdn.co/mp3-preview/584d50fb3de13512fa15e9f8ed4cdf8b6c5f8133?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Pale Ale,4CLzOxY11qwZRUSl3U2mPy,Brock Berrigan,39sPWwRyNp4NNMyWzN7I0o,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,46,https://p.scdn.co/mp3-preview/275ff1777af24222b76c9ac2233c046a8da3ebaa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Holwell,3aBUuJLkCRT85otGMjKTyQ,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,55,https://p.scdn.co/mp3-preview/5ff746f10049bb90e404c4849bd429023f236f3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,9.23.19,6222kNWKq9a50Krs0uLDNa,Toonorth,5cnRXRa8otbppSiXvfdmo3,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,54,https://p.scdn.co/mp3-preview/2a8894dc351bc3325cd237d6b5e7e8b73e47c3a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Awake,6Ueaikv9p3jrvyRPNpKbw4,Allem Iversom,6RaUtVLO8R5TsVdJIxSrq1,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,55,https://p.scdn.co/mp3-preview/272ebeb63842e642cf6493d5df9070f94743a381?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Schoolgrounds,2C7KR20uDLXcjoB93NXbBx,Sleepy Fish,1IJe80moz409PtxW4llPFw,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,54,https://p.scdn.co/mp3-preview/62a5dfbb67c1770845cf7b1596954d1c7b6f13b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Iridescence,6NplMK5VZVFTTr2NrGoeHj,G Mills,0djvqMepj2XkHfvWTqkH1N,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,55,https://p.scdn.co/mp3-preview/d6e22f4e4b6bed80eefe5225717f348070a862d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Peace of Mind,2EijhxbwVdowIRWxBPaq7j,Robot Orchestra,69CjG40nknFw4W8vrmdgHV,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,53,https://p.scdn.co/mp3-preview/9730cd96515638f34112030189d8befc34f80532?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Riviere,3genObwna2qYFmIoD64sSE,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,55,https://p.scdn.co/mp3-preview/8914a936ef6548b46cbe295b2f9da8dd239aaacd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Bonfire,6Jjom83XUHsW0DzQlUemiW,SAINT WKND,4vO1cl2ndGrUPSl6IYTHs6,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,45,https://p.scdn.co/mp3-preview/8725953fdb2115419fac3aa1e10e44ed9cc5e610?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Seven,3Y6og8QRBXBLRqTC5rxgxB,Dr. Dundiff,6T2NShr7SAArhtegdIpHHN,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,55,https://p.scdn.co/mp3-preview/c0134743f9a39b77112b15bce9cdb1c28068ec6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Angel Eyes,1iM8TFLPVHFJP3llhWjM59,Strehlow,1pUWzVmu8ACMnIAu9BsOHm,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,53,https://p.scdn.co/mp3-preview/5ad7d5e02035f2fbeaddbd5146926e53c366ca5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Space Cadet,3JjyMz84W8PVzIcG6RjyEc,Philanthrope,13ACz7DIictCpSYGglNTHs,Chillhop Daydreams 2,0YbmUgd0K257NfsFxz2olW,61,https://p.scdn.co/mp3-preview/b0add684e1795ab675ef8923602d56af2f4df157?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Save Your Love,0efYMxeaioubfwW346NnRJ,The Breed,5Xl8d6HbzkkwWmSQSOsv7k,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,53,https://p.scdn.co/mp3-preview/d57e34d9ee3ccd712e054d994fdbb8258bc1714c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Back Home,2HKqYqH2JT9sS5703ZiIFX,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,42,https://p.scdn.co/mp3-preview/7852f9137fd73398621eddb42ccd52d75e92415a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,On Holly,5SQndZkMQT7nqU7qPxHcDV,fantompower,6psQOFgr41pQ2CiL2CCi47,Chillhop Essentials Fall 2019,5rkRqokaqegqzawViUDpQT,53,https://p.scdn.co/mp3-preview/e6d29ebf3aed07d4f7f2b7ca6a1c2c57af37c18e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Supergloom,5tGeAAPLyMOvV6sDc0RCSJ,Osvaldo,1cF9THe9zDQOEEBFuiRcJ2,Chillhop Essentials Summer 2019,0xqLG9KaR7gw3Bkc5Bza1v,47,https://p.scdn.co/mp3-preview/405e6c9efc77feb59bbb48ff37485476e14f7301?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Searching,18AWTh6fYSU99rWhxsENwa,Philanthrope,13ACz7DIictCpSYGglNTHs,Aura,0fehSnl65NS7YmLoYrVVCc,44,https://p.scdn.co/mp3-preview/743f74c174293c44388cf69afc4d897b34800e01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Hope,4n6JQTNqJOuvQLys4l11ov,Ajmw,64StAk1W7veJKQ9x0rlE2R,Eternal,3rsR5odp7XMk9yetDLY9xT,54,https://p.scdn.co/mp3-preview/b7187b9b04bb976963000d7e19ec96653070f387?cid=fa83a2fec7c440b7a2795d600d6b2c7e
