KEXP's Song of the Day 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
61,Let Love Run the Game,0eLgYv0oVX44JcUH2IyyfV,Daniel Norgren,6swk8GFDoEZ1cFDX70xyuO,Let Love Run the Game,6uql138RD8vHO1x3jPsPm4,10,not available
62,I Wanna Keep Yr Dog,04p1LJ1zsEfhZsaPH0SBVD,illuminati hotties,3ztRX1UoIOsFqpD7dB6R8O,I Wanna Keep Yr Dog,1ioHdMckP5G6DkTWteqWUs,29,not available
63,Tethered,4supF1zsQ3VPJPqBoq98Xv,Versing,2EBCJ8wwWpJXAyjVoiwCw8,Tethered,6uUeUvTH9rirUZBqSOG6hT,26,https://p.scdn.co/mp3-preview/ae00a06a9c84f095c1359ea0aca456bbe1fb6819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Mute,39UCAJ1ARXX5klBbW20kPa,Club Night,71OjnKr2bU3Yo52jJzV9n3,Mute / Trance,1MgqKIxlrPiURiBdJn8LJ0,0,not available
65,Dublin Blues,4cg5snXx4DdwM4ruYxpcGI,Steve Earle,2UBTfUoLI07iRqGeUrwhZh,Dublin Blues,4alGbr4WFAKoNQCF8zku2i,23,https://p.scdn.co/mp3-preview/6faae7100d4252bc0129408c34211d62bea83349?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,The River,7K0aIMvRPWQ95s3YGD1bfN,Citizen Cope,7enBrBojgBJuPPdqTq4Z5F,Heroin and Helicopters,7k02SLVHPe0zfReerpvyK1,36,https://p.scdn.co/mp3-preview/aa279fb1aed24ed39915d5064aeefa6b5e42fba4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Dead of Night,4WDazmiEd5PyY3taS11VfD,Orville Peck,46auOkH1pk28rWrSoUNhLo,Pony,7Jn1h8E5aT96pdyrPxrLWi,56,https://p.scdn.co/mp3-preview/3b44a1a4f093fef382a0fd4ebee8cd769155f87c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,"Uproar, Uproar.",5M9DGBKcPN5SSy3387RqJu,Ben Zaidi,5gpdr2m2nOvvKrEgtbD16W,All / Alone,5cbGJrX6eJkPqWuLho1Ejq,37,https://p.scdn.co/mp3-preview/6e3a65ddc2eef77e11461f2ee966d774a7af9302?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Without A Blush,1vXdJ010FQ5UnMHjczXJd9,Hatchie,3d7MqowTZa2bC5iy1JXLLt,Without A Blush,7d1ogPotWfAAOYuegbb1iQ,26,https://p.scdn.co/mp3-preview/88bd0f9e7267236d4dc16eb64699833d1be0c742?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Even in the Tremor,6F4UgWQag8N1fFK1rcqN50,Lady Lamb,2wunbYU5KWrpI7RCRBkwF0,Even in the Tremor,5j9LqrQ1ngTEJ8vHzk9xSa,36,https://p.scdn.co/mp3-preview/95300dd8a4a4682ab36270882e9009f667f17d8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
