KEXP's Song of the Day 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
65,Big Beautiful Day,7Gu3UDnj9gR95DdOqZhLn3,PWR BTTM,5712BvYQ5m5Wcah576OFH4,Big Beautiful Day,2IKZvZa0TatYH3yccrdh3O,0,not available
66,Falling Down,6UvPL7QgnqTfKFjmeuiabb,Happyness,4nddgNqdf0SFeeqhbDN6rN,Falling Down,1kQNVW0HpDe0yE0kHGzEMl,0,not available
67,Charm Assault,1YTzS6MECCbu4cs99kZwVB,Ride,0WPY9nnBy01s5QOt4o4oQX,Charm Assault,7l4oE9EZpQMcUfIdZgGuY1,8,https://p.scdn.co/mp3-preview/5b5fc6d896438bdbd6129c7d048941524c7fb8c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Romance Distractions,3OOoe42Sl7MdMIR3SbhlW1,Froth,1KtOqfwCbclwg7bgvsUJ5U,Outside (briefly),3zenNrheI8eR1GZXduB9y3,0,not available
69,Cave Birds,0r557EQXDuTGXBImU7T4T3,J GRGRY,4c72CNdE5TcIvtO9lcZ8MI,Gold Teeth + Glass Eyes,7lrSoYPBF5mfMwcUgbagcl,7,https://p.scdn.co/mp3-preview/0585fa2929d3a8f2e3c2b3742b7322bd2e1fad2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Sleepwalker,6ZBZBCJs3aKitgQroToYAs,Julie Byrne,10duXbKJkvdGK5RgktEnxV,Not Even Happiness,4D0slaYPm4oiwFRlv10rJz,46,https://p.scdn.co/mp3-preview/94c12c94a0c2055bed4352c358a2faa6d17c6a78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Wrong for You,1WC39dqLdDIJrqrqau6hJF,Molly Burch,6bEYoIUTLdcs4lZBNVw5L5,Please Be Mine,4nxehYQ0JZ78h1n6ATcYFj,34,https://p.scdn.co/mp3-preview/74d56ce741c24764dbe94ae7e960ed4e2ff1b867?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Demon in Profile,4vcX1ZSSGMSdOuDiZv2Box,The Afghan Whigs,7IDrRpDz0cOuUVC32c8PKD,Demon in Profile,3S5UD6ajrKLvWBGef3dBtE,0,not available
73,Pen To Paper,7vTRevw6TrjbFhlo1kmned,Brother Ali,6CsleyOZtyt16saX8WhzDx,Pen To Paper,5iDOA1ibnVsLGymRE1hGlU,26,https://p.scdn.co/mp3-preview/d859a185a831edf3f9003bd5bf03e136ba2b5432?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Kismet,7BxSbdU7n58QwTodwV1q5z,Posse,2CHrWpSy1dWZCDZuXrPbtX,Kismet,0F76BZTboUy6US6KJTmYGR,3,https://p.scdn.co/mp3-preview/0cff95864f9cd49a3763fad54096d3ca56b05297?cid=fa83a2fec7c440b7a2795d600d6b2c7e
