Heat Check 🔥,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
59,Sugar Mama,4dyAQ8PjbyInJYgTnTsIeX,Dua Saleh,2DGBzoOLcKLK3eWxFyugdB,Nūr,46ZW6xsjuHxCDAjeeV0zT8,39,https://p.scdn.co/mp3-preview/9aaa4c4de1855c1a2b5effe78c2727f51003eddf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Pink,0OxRCdYoiFqU0wke6JHopY,Dizzy Fae,0jt1EsJCeoQXLNDta4JF6c,NO GMO Mixtape,3iorIxEKNXDi19QHiOd5nG,21,https://p.scdn.co/mp3-preview/ffd697d21eded9d6be086b0e3134c8ff115afad5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Ballin' (feat. Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Perfect Ten,2WrNHOba5u6P9S9xEboaUy,84,not available
62,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",36J0iaPDGbYGsHvYpaYs3k,Dreamville,1iNqsUDUraNWrj00bqssQG,Revenge Of The Dreamers III,2n3quCZ0anEa46j2IveacI,78,not available
63,QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,OASIS,6ylFfzx32ICw4L1A7YWNLN,91,not available
64,Final Form,1ZLEITam4DYubijkdrSFHd,Sampa the Great,7fw0E8WHdG3r9SuPBcGmWk,Final Form,12gERfCXxMkYfWQeRtlbPH,54,https://p.scdn.co/mp3-preview/41dda6ee2236c165b5027f3e0454a34bb02de7bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Demon Hearts,0PczjXKNXNICdneeslOXiN,Santi,15GgEOJiFyjQm4tZ4D7qih,Mandy & The Jungle,4IMFZY59ree679oXQS36xM,38,https://p.scdn.co/mp3-preview/5b1c29487ec7fa3d477a8fef08ed5db1513d4acf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Sweet Blue,6UOruoEj8UAA9iEtjbjJra,Cleo Sol,3ETLPQkcEd7z4k3IbZmXMq,Sweet Blue,2id5Rs8ZSBGpiykreLASis,51,https://p.scdn.co/mp3-preview/d13318581043d90b57afac8660f72f72d116b181?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Find Someone Like You,5CPwfSTHqEIOOWLkRMx2O7,Snoh Aalegra,1A9o3Ljt67pFZ89YtPPL5X,Find Someone Like You,2naOlBnUW2gKtqPjzkCL9J,43,not available
68,Foot on Necks,0HPriQ6JuXyYirXccQeRpp,SAULT,1uRxRKC7d9zwYGSRflTKDR,5,57EkTny9UjqpLhFzMO4Hdb,40,https://p.scdn.co/mp3-preview/2df258b84f9ad15a2a12c98b2cc083a44f3896bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Money (with Tom Misch),2LUTN2pDXUplYlc7WjE1Mm,Michael Kiwanuka,0bzfPKdbXL5ezYW2z3UGQj,Money,5qmEF78Uq9CjwIgvKQe7WG,64,not available
70,Gold Teeth,3BbWvLOFaxx0npzxfRixyO,Blood Orange,6LEeAFiJF8OuPx747e1wxR,Angel's Pulse,3KLLRiCnqYvt78H52TeZ1k,57,https://p.scdn.co/mp3-preview/ba8408fd63e74cb003a76534a5c24f2017e844f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Late Night,1Fwppfa2qKDAETKveNFsHR,Lucky Daye,5Vuvs6Py2JRU7WiFDVsI7J,Painted,0sxfu0XUwHOtnKiZgkTQwk,60,https://p.scdn.co/mp3-preview/3b36e32da62e535046df49349b5d0f5ec50fa9b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,INVENTED IT,3KndRyfkBK1tdEHpzN85zr,Baby Keem,5SXuuuRpukkTvsLuUknva1,INVENTED IT,0nuI9g5OiBedbptGviaREF,43,https://p.scdn.co/mp3-preview/e5ef3354af1a6c4a66e2096e535b02c79eaf01c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
