All Out 60s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
71,To Sir with Love,0gBFr7N2D1GfhkXIIepIGG,Lulu,0jYKX08u1XxmHrl5TdM2QZ,To Sir With Love,37J4FeONwmD1Gl3PzvZGv3,49,https://p.scdn.co/mp3-preview/fc6c1b226a8d58eb1af98079052e54536680fc18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Cupid - Remastered,5Iev69m1Jnf7oc79VvPjpd,Sam Cooke,6hnWRPzGGKiapVX1UCdEAC,The Best of Sam Cooke,2Dpw2XUAsBvuNdNLarNzz8,49,https://p.scdn.co/mp3-preview/af523e28730de8681c7323504f021933489983d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,The Tracks Of My Tears,7FwkoTz8Ic8C5YaE9XXGIU,Smokey Robinson & The Miracles,6TKOZZDd5uV5KnyC5G4MUt,The Definitive Collection,3AGszO88qhYdEvhs6pjsHW,51,not available
74,What A Wonderful World,6Z5XZ8fjmWGbkdahOgreVe,Louis Armstrong,19eLuQmk9aCobbVDHc6eek,Hello Louis - The Hit Years (1963-1969),3IkAJdl6rQcSbnfpGr3MVt,21,not available
75,Louie Louie,0iA3xXSkSCiJywKyo1UKjQ,The Kingsmen,2iIn8H3l2NNBNHFpYKWbfo,The Best of The Kingsmen,2SMBIc9VqCmLvWAd9srlSx,68,https://p.scdn.co/mp3-preview/8bae8308d070c28c91837da1d467a0d03acc3cc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,6vcNJUWtUPB0hKC6VbZriY,Scott McKenzie,7d7AZ3CQC457bFhK0wHpSO,San Francisco,0JxUYNJnYnCeA9kwBRK4ez,64,https://p.scdn.co/mp3-preview/634d0051c9cff234baeb8d2e36c6e0e9938d8a2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Different Drum,3k63RLvRgkgPGx0keOH3P6,Stone Poneys,2X9nnux4eS3CFBDSjcnoBQ,Evergreen Vol.2,2FrEXjdS2mZO6sx6pA5MbY,57,not available
78,Respect,7s25THrKz86DM225dOYwnr,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,I Never Loved a Man the Way I Love You,5WndWfzGwCkHzAbQXVkg2V,73,https://p.scdn.co/mp3-preview/b0d0b4ec8963779239654542a0b33d25caf38156?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Good Lovin' - Single Version,0XnhQGfqfi5CnZXcONJuI5,The Young Rascals,5X3TuTi9OIsJXMGxPwTKM2,The Young Rascals,2ZhMMZobSh6Pkkv8EK82Fp,56,https://p.scdn.co/mp3-preview/3f5a734d7ac5795d80fd13f5c634e715f0014f59?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Unchained Melody,1jFhnVoJkcB4lf9tT0rSZS,The Righteous Brothers,4b0WsB47XCa9F83BmwQ7WX,The Very Best Of The Righteous Brothers - Unchained Melody,5CFmNamq1ceXn8RFJ9i7p6,66,not available
81,America,6dfhF1BDGmhM69fnCb6wSC,Simon & Garfunkel,70cRZdQywnSFp9pnc2WTCE,Bookends,3bzgbgiytguTDnwzflAZr2,65,https://p.scdn.co/mp3-preview/e7f7d38624247155c573b7f24fdd937fbd70bae0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Downtown,0hgWgToJgb7O1tT12YWRCz,Petula Clark,6nKqt1nbSBEq3iUXD1Xgz8,Les Plus Grands Succès De Petula Clark,4Z05J0oWrBhYR89jcDsju9,19,not available
83,Aquarius / Let the Sunshine In - Remastered,4z7TuXkZm79m9vkPklnuqu,The 5th Dimension,1UUYAQ9LiRsZF0ZukQNWXM,The Essential Fifth Dimension,4ZBYLEnHsVAwWN5vGDZAbz,47,https://p.scdn.co/mp3-preview/f64c60bb4ead3f0603f468579e0cb35fd4f83c3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Cathy's Clown,3VpET40k33lJhKY650zLXP,The Everly Brothers,4ACplpEqD6JIVgKrafauzs,Walk Right Back: The Everly Brothers On Warner Bros. 1960-1969,3O0QXvFFIzwahliBm6uzyw,42,https://p.scdn.co/mp3-preview/69c63a844f61f0073d8c37052cef53ce028e151d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Sunny Afternoon,5KwbWPmwnOoXNqdMhh2S3m,The Kinks,1SQRv42e4PjEYfPhS0Tk9E,Face to Face (Bonus Track Edition),3yExIlG5OQdTeWQJFoZAEn,13,not available
86,Summer in the City - Remastered,7AzFID6u1b3zIWbd9pb8Dk,The Lovin' Spoonful,7CCn4PFRRRZF127jtCBAUe,Hums Of The Lovin' Spoonful,3enoBBhSA6i2pXEP8rjAWY,65,https://p.scdn.co/mp3-preview/a5c2d7d3df0cd2f86e6d3ff70a0ba2f5e03168dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Wild Thing,2VGv9RV5POeCU3UlehM2sX,The Troggs,57xdnSVt4ahJCIXYLieQ25,60's Gold,62mXUmDITTTj1GhSRj6pMK,8,not available
88,Albatross - 2018 Remaster,3IKyTBHZSgCx2v1ZX8v0TZ,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,The Pious Bird of Good Omen,2vykpF7BFnflpzjTCG52FU,51,https://p.scdn.co/mp3-preview/37af8827265771cc0f490eaa20530bfdadf25a8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,It's Not Unusual,67csrS6po7IyXfwds4azjr,Tom Jones,1T0wRBO0CK0vK8ouUMqEl5,Along Came Tom Jones,4qhk3MMtFC8V29bUn9GB5g,13,not available
90,"Moon River (From ""Breakfast at Tiffany's"")",24AIahNHzBxm9S12peXbnG,Andy Williams,4sj6D0zlMOl25nprDJBiU9,Moon River And Other Great Movie Themes,1RLfn8e4cQvC0WsYJM6rh2,65,https://p.scdn.co/mp3-preview/0123a76407f29dfc7239bbfc2930e175c775b3f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,The Loco-Motion - Single Version,1hClDWPgajpLIFjLOkFuau,Little Eva,4S76LQXJD6N2uPcLhKejG8,The Dimension Dolls,6zur7suYuG3M6dFXxUbGE9,50,https://p.scdn.co/mp3-preview/d311f37f607b49adf349c404012cf8bcafc616ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,What Becomes Of The Brokenhearted,7Bvap2GAW2DAyZ7EVUJpMO,Jimmy Ruffin,0hF0PwB04hnXfYMiZWfJzy,Greatest Motown Hits,0OA94DlliFxpfYOptv1rNS,11,not available
93,Stop! In The Name Of Love,5yfrc6CGOXxDWx3nGUDcNj,The Supremes,57bUPid8xztkieZfS7OlEV,More Hits By The Supremes - Expanded Edition,5Z9hrH7aGLMT9s6lNYx2HH,15,not available
