Alternating Currents,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
48,Heavy Crown,197yvEzLVXgOUJeMPoOXtR,Grizfolk,6Xa4nbrSTfbioA4lLShbjh,Heavy Crown,1RKd43O2CtoxVSJK8GTlT0,17,not available
49,Loser,5jRKIYI62nOgvHKJGJrmeg,Jagwar Twin,4luZExkmgn39Kj5XsYWria,Loser,7l0iOxW89safNwXTcCsi3a,28,https://p.scdn.co/mp3-preview/8bc6cbc4a65d1a5af547ed44519573803aef160a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Truck I Drove in High School,6A5cVdYACWjjdu1oVxSzem,Devin Dawson,2ySHS7UojGu20XfUPaBlyu,Truck I Drove in High School,7KGT77zeMNtJtjatkrxdmO,48,https://p.scdn.co/mp3-preview/c8c7b2cb8b0f3202424110ae53defc4e996e461a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Lonely Generation,5PrQz1g8EEEEVmRGP5GQ8G,Echosmith,1PbBg2aYjWLKRk84zJK15x,Lonely Generation,6ERJpL0XKvLvMZaX2oDu6O,53,https://p.scdn.co/mp3-preview/cae87169da4810116ec4a277e8863fb8e9a5c544?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Play With Me,38pah2PWxwSh8QEY98kKvy,Electric Guest,7sgWBYtJpblXpJl2lU5WVs,Play With Me,5hpCdCRsP02kutBu7QmyBm,55,https://p.scdn.co/mp3-preview/dd8abf59b0ba5d071ccdaed2c566f46db747a2e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Mercury In Retrograde,6PT1dLDHk9BaVwFG74pomG,Sturgill Simpson,3vDpQbGnzRbRVirXlfQagB,SOUND & FURY,2ITJBRqMwZ0luWBnnZQ4Hq,63,https://p.scdn.co/mp3-preview/fe22048f94ae9aadd68261a2141c65276c369fae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Lucky Stars,0pOLUfbKdbPl1HjTw3xbZY,Busby Marou,4ETXyV9H1p2P1XYgXXTjiO,The Great Divide,7csjD3dBWReZZ7xkSWA03D,40,https://p.scdn.co/mp3-preview/9e7c8d0c292f7ea6e4e81c5281c32692ec801ab3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,OKAY COOL,2oGDzyfzbtj09rBQPAjpys,Run River North,0INDB6Snts5NDbzh8jC3lk,OKAY COOL,4d39q2x5RC5uEIc1dLP9CT,45,https://p.scdn.co/mp3-preview/1fcedcd960e176c699cf575175e2639d6ccee709?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Do It To Myself,5JhEV3RFNThUJ8lD5e0iLT,Nova Miller,69iZuswGpLplhnKBE0MxcA,Do It To Myself,7yWVKZehFljtdSWwT0s0gk,45,https://p.scdn.co/mp3-preview/f47055f4628a0980ae07b5425736d87f4605821f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Rivers,7MWlxS6vpJlfPNaerI0lg3,King Calaway,1IdbSuYtF7RSaFarmctwoE,Rivers,0jbizUOHY9uVKoWyjlmyg2,41,https://p.scdn.co/mp3-preview/146114f82a707200e3b7204c0c021a394d183104?cid=fa83a2fec7c440b7a2795d600d6b2c7e
