Tropical House,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
73,Savannah,61lDxV5pn2UdumqMpdxCKG,Diviners,22lnnGKlaDxk8sfzCNRJuA,Savannah,0oJoSAyzhTwzIIU5Y5AXca,59,https://p.scdn.co/mp3-preview/ebb376a8bbcd8210fa3449fa963ba92f74d6800e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Fall At Your Feet,69lKbD1RGW41qnsksqtMuq,Lucy Neville,0bq4n0hc3bUfuqIFU79sBC,Fall At Your Feet,3NT7QaUJUgaZb5HBlcXEpv,34,https://p.scdn.co/mp3-preview/06bfd8f0624a7a8f1f719db70147b4c2ca404e6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Stuck On You,6HdURgU5JoS6IbMrTCC3QM,On June,4B5rYujqJxWucM0JyYsaFn,Stuck On You,4NfeEcNunybQTtvxVT8TwT,9,not available
76,False Alarm,5jJnlACnwFvyqNXmUZu8Nd,Matoma,4YXycRbyyAE0wozTk7QMEq,False Alarm,4DaPH54g5t1hUjkQZoYgQ5,50,https://p.scdn.co/mp3-preview/c1ab5515139265ead72f7a234137790ab22270a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Do This Together,4O6WRfwTUx0UdVuWMC4jeR,Kav Verhouzer,1yYBD4cVxCxXQXi4QGZfSo,Do This Together,6sAc0Xlx3DeJSBqXOdtdQ6,46,https://p.scdn.co/mp3-preview/096f1ab8658d7bb7d7ae3c035c3929ba95f6b3b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Fast Car,2mCF8L0brIs88eH6Kf2h9p,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Fast Car,55zQqrjWsFHRcI1mxlQSsZ,69,not available
79,Dancer (Kygo Remix),7ctdCk91bL7jjDx3hmbB5z,Didrik Thulin,2vRK8tYkzMBcd6YD67EA77,Dancer (Kygo Remix),74QHgMykIYrqokOQAuIUAY,56,https://p.scdn.co/mp3-preview/c03eeed3263fdf8eb87bc9bb55594b02cbaeddf4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Bloom,0mi3tBUwtdYwXCFdZ6QHAZ,Sol Calor,5CUXWZ485yE6im34MWIvoj,Bloom,6DRSizkWFTohOLptBgR2cT,56,https://p.scdn.co/mp3-preview/3c890d93e6fb1c5e060ab15f69cfd638abbb828a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Save Me,1Qg0JhbqPhYki1a5bv7NgH,LISTENBEE,6YvP6AXefuZ3bROoEVjCiY,Save Me,1P13yMkVBAGy1iXoVwczYl,61,https://p.scdn.co/mp3-preview/b99950aaece99198f388f11f6143045978e04072?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,The Sweetest Sin,57wbOuofBE6Cb3mMPuQ24i,RÆVE,0D7x3wBw42v14YOGt34Jaz,The Sweetest Sin,2BROL0G9PYromVD9jXbZ8E,50,https://p.scdn.co/mp3-preview/83a7e4a3729b23baa1b61534e72f7146a15aeb1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Old Man,5ZXmCqIzh9cRaMMfdtHuyZ,Andrelli,5M2y5A6d5QZjw9JeKClagC,Old Man,117JETTRt6SnPbcDxqOikD,51,https://p.scdn.co/mp3-preview/2e0e9dc3a150b022cefa471dedf781df95e44bf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Fade Away,1oLxfF4dmgoKunk9LCQBCX,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Sunrise To Sunset,3DXfe2cEsCdAjORfXw0NDK,5,not available
85,Running Out - Samuraii Remix,3bu38wOOaBOOf4OYi23R6a,Matoma,4YXycRbyyAE0wozTk7QMEq,Running Out Remix EP,4JbiALxW6KGF20S8kfGJD2,40,https://p.scdn.co/mp3-preview/975398e7f14e086c38c86065e5f286da0faf4f3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,All I Wanna Do,0BiGd2FNDQ0eh79ZHfp6tS,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,All I Wanna Do,5iTIgNz59Z4j1wtX0I29z8,56,https://p.scdn.co/mp3-preview/4bc990004716d76c99f5402d6aa5674584d13aca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Dreams,1SNoSoQ3JZldOhzBY9gw0n,Campsite Dream,69VkQLf4DH7GJ68BCDOPKL,Dreams,7tHxsXY9ysu7QRSqSCF1KM,50,https://p.scdn.co/mp3-preview/f32361a091ab48b75a4471b109d57eee8657d6c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Montrose Ave,1kFu2TuUmsARXGYc2eYXiC,Y.V.E. 48,5zSWGyWE5d0PYaYrtdVwOz,Montrose Ave,38FmGb1NtDyPwZtHHoL8x5,52,https://p.scdn.co/mp3-preview/22ff57f92ffb78d0ba6ccf5b1d18865a103f25f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Open Your Eyes,3PmAQYQZ1ow47InQjZjIH4,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Open Your Eyes,78xRDiJxUAXZgRALVlwPXr,7,not available
90,First Time,2Gl0FzuLxflY6nPifJp5Dr,Kygo,23fqKkggKUBHNkbKtXEls4,First Time,6wu7tiTr8zchRG7PWwTOK1,71,https://p.scdn.co/mp3-preview/f5e35495b56260a06a92b308d616ab71e079e903?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Almost Mine - Radio Edit,0elb6lDN4B5Ao3TWoXYUzs,Wankelmut,01e2lCvLZ4fLUIRy68nptH,Almost Mine (Radio Edit),4gIL6SKkzTlbzpBZ8l6s1D,49,https://p.scdn.co/mp3-preview/cb448bf6782c115b4681a7c2a6ff474d25e5186c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Fireproof - Embody Remix,0ZNkenDGP8wVlnEwfiBJYO,Coleman Hell,3q9nybxzbSHsesDBHUlP4c,Fireproof (Embody Remix),1zXqUomsQOpXwrfqIts29c,46,https://p.scdn.co/mp3-preview/050818b7af97fee33f486f41cd014a4e3a5b55b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
