100 Uplifting Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
58,Hard to Beat,34L2ThvPUNNAMUZ5Ei1F54,Hard-FI,14Gi3Uph96lpNB3utkoVAD,Best Of 2004 - 2014,0GWExk41YChmtb5xxyz2ok,46,https://p.scdn.co/mp3-preview/055a5e06f77cba79f1f5840822d4e7ff06ae0ce3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Praise You - Radio Edit,2tn9zXqIZJbgL1swqwOktz,Fatboy Slim,4Y7tXHSEejGu1vQ9bwDdXW,Why Try Harder - The Greatest Hits,5vpSQUagobcDEf6IVcmM1m,67,https://p.scdn.co/mp3-preview/d1d6a884527c825c67fd6c93d65e81ac6d3324f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Groove Is in the Heart,2UVLuddklEVak5PXgC7baA,Deee-Lite,4eQJIXFEujzhTVVS1gIfu5,Rhino Hi-Five: Deee-Lite,5ONmarDtpkKbrlhu0p83XM,66,https://p.scdn.co/mp3-preview/9f04c5adba9415770b90b9d08bf055752c1d19fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Keeping Your Head Up,6lyjWvSUgYtX26zfrQ6gn8,Birdy,2WX2uTcsvV5OnS0inACecP,Beautiful Lies,5wNnopxjgSKVvHTIcBpV8Q,49,https://p.scdn.co/mp3-preview/101bf12664989f8bae24506cc6daae3abef06382?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),3T4tUhGYeRNVUGevb0wThu,80,https://p.scdn.co/mp3-preview/beb4ed48cca5d2a792e877c7efe92d54046eac67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Wow,1KmqJunkjyiMCrXqZ5uu6q,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,Step Back in Time: The Definitive Collection,3vA84e8wtK3OqVoq7jQs5V,40,https://p.scdn.co/mp3-preview/154a76e93b90df39ca531ed20efe3fd554de34be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Don't Be so Hard on Yourself,1L8ywX9DcRYBcMTv5X1mF9,Jess Glynne,4ScCswdRlyA23odg9thgIO,Don't Be so Hard on Yourself,6vHs6Fc9pKmJWQ6RAWZedY,53,https://p.scdn.co/mp3-preview/508e071166fb8c564b90a1dc6c37f41e6544f077?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Raspberry Beret,5jSz894ljfWE0IcHBSM39i,Prince,5a2EaR3hamoenG9rDuVn8j,Around The World In A Day,5FbrTPPlaNSOsChhKUZxcu,70,https://p.scdn.co/mp3-preview/80cd007d427fcfd8c9a9139cfc4fd7b20bfead4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Sugar (feat. Francesco Yates),5tf1VVWniHgryyumXyJM7w,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Sugar,5XyJzEROSmup2TcWmVjTIt,77,https://p.scdn.co/mp3-preview/c4b6941542e99f1a0cf480d6b1ed033be783a3fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,Katrina & The Waves,2TzHIUhVpeeDxyJPpQfnV3,Katrina & The Waves,1UQG78YJjaBySRMh0A8Uw7,79,not available
