THE EVERYTHING BURGER,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,"6,5,11 Hey!",6h1PUeDL9ePGSXaZOBdKSK,Enjoy,46OZe7BgkZhisNbEMW4oqq,Gold,5oD4albuARv0MIzjI8VJ9h,24,https://p.scdn.co/mp3-preview/00ecabbd1a2631e4e9942bab27be4ce4e49d4f3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Coffee Table,5GNxU0a53XNQr4TWbNQywq,White Fang,5ii71trup0DRxQFq8meJn4,High Expectations,5NkIxGDGFCsAtwyIn6ncOt,0,not available
23,Amber,7hZogUPmIO9wiMnCq2H4oi,DTCV,1Cioqqppu834K8hBajm2Ny,However Strange,4InGpU3TmVzqFHUPTw7dHG,0,not available
24,Bachelor's Life,3WK6F2T6LEZwUFt9eg6weO,Cum Stain,404N6Ct8NCf678KsIwO4Q3,"Hurry Up And Kill Yourself, Trust Me, Your Mother Won't Miss You",38T1DkUvRWL1Qi9gWH5GiA,1,not available
25,Kitty Sorrow,3PgZCeLTdVhHCQueX3RadK,Mmoss,728pTszDKtxAil9XWAwP12,i,1IpmBfZx06HOQBo1o7Hub3,0,not available
26,Putsy Pops,4CQNetvou3QIbVpvQ636OB,The Bank,7lg3HIWzs1nvp6aezTi2fN,I Love Each Other,6sUnjmuk6COWZd1fXZkS7L,0,not available
27,California Dreaming,5QqxFSSDQUholhTs6Oqxky,Cosmonauts,5fdHAaz0jnb4l2VEoHh5rb,If You Wanna Die Then I Wanna Die,5kz4nAfoJU1N7MXKr7UXBP,3,not available
28,Day Dream For A Friend,6w3p2yrbNXhcxmUlMveD2K,Juniper Rising,3AlFQxcXZbvbKxiVjoaKgS,Juniper Rising,2fxv8YhwDYpYHeuhy9gcrs,3,not available
29,Let Yourself Go,7ozsHYWqGsuOzdYwOiJ1NF,Kid Little,3Myw7tI9ZZRG3xyBVVibTS,Let Yourself Go,3lGAM3xP02ngt3TeLExNCG,0,not available
30,Go Down On You,4ciXlqOaKfhnn2fHOgBq8F,The Memories,4sGXRKVt3jXcqjUCRuK67C,Love is the Law,3mmbFSDv8fzoIYkCvBVg6S,31,not available
31,Nothing Cool (Happens On Dates),0fASPTUQLdmuFSGxGMr9z2,Lust-Cats Of The Gutters,2l8mdYttPc8q6KtPKKHUNJ,Lust-Cats Of The Gutters,3N4xrGYgm2RV6scmHDqDUT,0,not available
