SEAN'S POP PLAYLIST (STAY OUT!!!),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,Heart Attack,3ucJWccgfVVGpmZNDX7zFW,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,"NOW That's What I Call Music, Vol. 47",6tWvAbEiEelnSPUhkkxZtR,0,not available
42,Give Your Heart a Break,1e10HIUw1poeXdtRPsyZ3f,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,Pop Nostalgia,23dOSX3k9eTyyQIm6KHX52,30,not available
43,Bass Down Low,4Xf7EL8G6FRYwvJADl0nf4,DEV,7Ip2u3e5Nv6fFb5xyIHxEE,Bass Down Low,4eOVf0auNYzMdvVy7axSJY,48,not available
44,In The Dark,1pbHy9VBpSyZh56xuujZz0,DEV,7Ip2u3e5Nv6fFb5xyIHxEE,The Night The Sun Came Up,7dlFcF17qY2IGoaAsdwRnt,53,not available
45,"All I Do Is Win - Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross",0RIHDrcRAXtUlnkvTYPW1a,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,"All I Do Is Win (Feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",3Z0AjyYRhz6uqasC49gt7w,63,https://p.scdn.co/mp3-preview/6f836c20fea27576840dd30651d42b768ce2f4ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Turn Down for What,67awxiNHNyjMXhVgsHuIrs,DJ Snake,540vIaP2JwjQb9dm3aArA4,Turn Down for What,3zo0Hxh9rjJsdw2JAKReE3,72,https://p.scdn.co/mp3-preview/fde5f6c570eb2ecaca797c0984a247a47d3fdc21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Party Up,4MxZW1XEcPuIZmkANsJabC,DMX,1HwM5zlC5qNWhJtM00yXzG,...And Then There Was X,10memku7dGZY14rvvlNpPv,8,not available
48,What These Bitches Want,14I6tuKz8SGD8U3SxzAqwH,DMX,1HwM5zlC5qNWhJtM00yXzG,...And Then There Was X,10memku7dGZY14rvvlNpPv,1,not available
49,What's My Name,5R5zty5rJHUs5nbpKjzrrD,DMX,1HwM5zlC5qNWhJtM00yXzG,...And Then There Was X,10memku7dGZY14rvvlNpPv,0,not available
50,My Niggas,5ka9tzfUYOsFAz6cSUvFX6,DMX,1HwM5zlC5qNWhJtM00yXzG,"Flesh Of My Flesh, Blood Of My Blood",3dNsHWAS8t7AiAqj9ofG5T,45,not available
51,Ruff Ryders' Anthem,5H0dVldtI6HJZnEXzigKfY,DMX,1HwM5zlC5qNWhJtM00yXzG,It's Dark And Hell Is Hot,2KwZgeD7BnTrOtiNvFr7CL,11,not available
52,X Gon' Give It To Ya,6uP0XLqjRqFx8HAfesdcAg,DMX,1HwM5zlC5qNWhJtM00yXzG,The Best Of DMX,5I7EYZ1edjUbfyY5WR3l9X,15,not available
53,Ice Cream Paint Job,6Wah3QXNHv42xHAJhXgTg8,Dorrough Music,5MAp6rMiUJjRLXMWtArXRS,Ice Cream Paint Job,7J2xceCNXwAgXnGbqbMSuy,41,https://p.scdn.co/mp3-preview/6558851bc7ee8c6f14a5f41cf8d627a4dc7f7229?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,"Hold On, We're Going Home",14Rcq31SafFBHNEwXrtR2B,Drake,3TVXtAsR1Inumwj472S9r4,Nothing Was The Same (Deluxe),2gXTTQ713nCELgPOS0qWyt,42,not available
55,Smoke Dope and Rap,5yeW9wyvtgUHIk27vvcjSR,Dre Dog,3zXjoOkcADDEhRqhKi3qgF,The New Jim Jones,7DNksdPE8Yrb7STUxTJwwO,45,https://p.scdn.co/mp3-preview/b46ac4509f75a3fcda77a4a058636e076764147b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Stereo Love - Original,1aklRy3btsbucImSXvR2SY,Edward Maya,6XwwFnewNgWp81MYMK8zLq,Stereo Love,774YoW7RL5qzrPdZFi8xJE,56,https://p.scdn.co/mp3-preview/e2178e82d710036a8d4c37557b63130692d2d328?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,"Love Me Like You Do - From ""Fifty Shades Of Grey""",1ip2IGDWMrUmlaepEbWlL8,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Fifty Shades Of Grey (Original Motion Picture Soundtrack),38WMYJ0LhCKAiRflk43Xt9,63,not available
58,Lights - Single Version,6lw3dN6N8gLoA2ftAGOD6w,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Pop Nostalgia,23dOSX3k9eTyyQIm6KHX52,24,not available
59,Tonight (I'm Lovin' You),4270XtiZeN9yYPR81dn8Ow,Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,Tonight (I'm Lovin' You),1OCgIQwTFQqSas8npev01w,1,not available
60,"Oppa! Can I do it? (Feat. VASCO, and Ji-Goo In of Bang Sa Neung) - XXX Version",5hyggXCxKp2ZDlA8lXGODB,e.via,0gLjTcjMpYRAQE4nEai039,a.k.a. happy e.vil 1st EP,1y2cttbwK2zy2yjzVu4M54,8,https://p.scdn.co/mp3-preview/089d9c740de76882f997e7be08d044264ac03f5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Throw It In The Bag,6c0GmyBsE7mQtrVvxJaWc3,Fabolous,0YWxKQj2Go9CGHCp77UOyy,Loso's Way,6umODQfij1WhoGDhc7UCL8,60,not available
62,Young'n,6KexKmYGCLwUv0gc3rE5Ca,Fabolous,0YWxKQj2Go9CGHCp77UOyy,Rhino Hi-Five: Fabolous,1ylbmd3XXZAty47eDFQGhR,17,https://p.scdn.co/mp3-preview/5e9477c250109386e811dd540e426c0b55ddb576?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Girls On the Dance Floor,2LKANWbbg97mRwJItHwDiC,Far East Movement,698hF4vcwHwPy8ltmXermq,Free Wired,1TuKgkCGIxiIns9Bc5XKRC,36,not available
64,Like A G6,4DvhkX2ic4zWkQeWMwQ2qf,Far East Movement,698hF4vcwHwPy8ltmXermq,Free Wired,1TuKgkCGIxiIns9Bc5XKRC,68,not available
65,Worth It,41Fflg7qHiVOD6dEPvsCzO,Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,Reflection (Deluxe),0zAsh6hObeNmFgFPrUiFcP,75,https://p.scdn.co/mp3-preview/c0f02a6635d964af34db76eaaa60f45c6c73580a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
