The A Word Playlist (BBC One),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
79,Don't You Want Me,3L7RtEcu1Hw3OXrpnthngx,The Human League,1aX2dmV8XoHYCOQRxjPESG,Dare!,3ls7tE9D2SIvjTmRuEtsQY,75,not available
80,The Wonderful Thing About Tiggers,67KJL5S8rZX3VV6g7kJp1y,Tigger,2hblnfACzyljMfIZDwRZ7e,Disney Greatest Hits,65gVUaiilEjXqZROp2ktlp,0,not available
81,Upside Down,7wTmnOSpVJcIzj5FIz2I04,Paloma Faith,4fwuXg6XQHfdlOdmw36OHa,Do You Want The Truth Or Something Beautiful?,2Nux29fvtv1jlTuXPT28E0,60,https://p.scdn.co/mp3-preview/76326130c3cc46184bacc3a01a04d959f036b66d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,World Shut Your Mouth,55GnXHVQkqTsU6sqxXRvuP,Julian Cope,5sMku8iI6FH3ypZTErz4kv,I Am Angry,6dTeSNBf9SDpxN9Q1nunTc,0,not available
83,If You Could Read My Mind,0QAZgZkHYERH1rYN3u8Gci,Gordon Lightfoot,23rleGXVOVVgTk3xgtmfE4,Rhino Hi-Five: Gordon Lightfoot,5eUwVFk2vkWl8R9bHj15jo,45,https://p.scdn.co/mp3-preview/63d37c9cbc7949c608b2009b8cdcb616991cff12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Rock Lobster,3oz4aQOLZ9MXqZ4HPUeV7W,The B-52's,3gdbcIdNypBsYNu3iiCjtN,The B52's,1c3K2FlerO3izY2Fp31eQJ,21,not available
85,Accidents Will Happen,5H1R9pIQ8UFxSxW27wrppr,Elvis Costello & The Attractions,4qmHkMxr6pTWh5Zo74odpH,The Best Of The First 10 Years,7runu9rj3FdiuPBFKRzASm,0,not available
86,A Certain Romance,37AyXivrY5G4v2QJFQlWn6,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,"Whatever People Say I Am, That's What I'm Not",2PXlvqTzGBNetlGct7L5e6,2,not available
87,World Shut Your Mouth,55GnXHVQkqTsU6sqxXRvuP,Julian Cope,5sMku8iI6FH3ypZTErz4kv,I Am Angry,6dTeSNBf9SDpxN9Q1nunTc,0,not available
88,New Rose,2aHFv5b0tQ7SY8rreDTBmF,The Damned,6VeL8VhaMjHTPc5uovFl3h,Damned Damned Damned,7issYZgXiFVrfI8ZnlslZt,0,not available
