25 Years of Summer Jam Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
56,Int'l Players Anthem (I Choose You),2bQdgtO42TfS37YWupeMrr,UGK,6ZhjJOJXXwnPS8PrXdmjLw,The Essential UGK,4lWWlBbKuWBk7xgKEkevSg,62,https://p.scdn.co/mp3-preview/283e5d6415c410d1ac0900835ada0bed1434cd86?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Shawty Is Da Shit,5RC9YDHON0nXKmcQrL6WV6,The-Dream,1W3FSF1BLpY3hlVIgvenLz,Lovehate,5yZReyaWQzR6jvaw4OBxzV,65,not available
58,Kiss Kiss (feat. T-Pain),4CweuuMMzi71pO0MSRgyaT,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Kiss Kiss (feat. T-Pain),0dL2qQHuzOsAagnhlRq53v,10,not available
59,Shawty (feat. T Pain),0mYoKqA23wUUj7BTEgNzjg,Plies,3jksrX4oBklxR78ft8gv3j,The Real Testament,3NoUdjYUcUuRMpOzyapnYW,63,https://p.scdn.co/mp3-preview/848921263418cce85d80495af0421a7def00c7cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Good Life,1fLdeDTrJWNkwOeFyAVLvF,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Graduation,3SZr5Pco2oqKFORCP3WNj9,12,not available
61,Money Maker,2JpUkUR0OsOlUUfm6iS8ic,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,Release Therapy,77u9Ndnhi4raBZfnl22Jzg,62,not available
62,Shoulder Lean (feat. T.I.),2OqYarizUUGzSSNHPrDEii,Young Dro,3ZooCJzNMTLpmJaIRUEorI,Best Thang Smokin' (Explicit Version),4UZzO6rBo6wjM2zfuRgd3r,57,https://p.scdn.co/mp3-preview/28ab8dae501a4f6ba687819921d8d14d02b807e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Ms. New Booty,5hnXlo7Q2yBnZB64pOKAQY,Bubba Sparxxx,3RPYHNSwe3w0mtfJwKIN9P,The Charm,5omNQt2A2LT0jgik6c7WOy,28,not available
64,Why You Wanna,1g0oI97rPdYuWDIpkbtQdv,T.I.,4OBJLual30L7gRl5UkeRcT,King,2X7s6Gt8Xz2qEwlw4GVcQo,52,https://p.scdn.co/mp3-preview/7c1deed872a852a704b742a38aa8d54cf7cef434?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Its Going Down,40PPe4g7BcqzxddzeSgtZQ,Yung Joc,23LbwefIODbyGdRbAz3urj,Reggae Crunk Shit Vol 8 (Dj Weedim Part),1jW4xUBaBc9uKiwbCabc2K,42,https://p.scdn.co/mp3-preview/f1cbe1afa0592d950dbeb44ead818321d1d7112d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Candy Shop,5D2mYZuzcgjpchVY1pmTPh,50 Cent,3q7HBObVc0L8jNeTe5Gofh,The Massacre,2pidzXTaHV4WaIJYRxKDCH,79,not available
67,Gold Digger,1PS1QMdUqOal0ai3Gt7sDQ,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Late Registration,5ll74bqtkcXlKE7wwkMq4g,79,not available
68,Lean Back,2Ozc0me9PV5vlt8cokwdvI,Terror Squad,2BvzbqWWwLN11XGBYgDZzx,True Story,0NTYMm0B7adXejff1phD3F,66,not available
69,Oh I Think Dey Like Me,2T31osJ8UyFAXwLH9QW1kr,Dem Franchize Boyz,0VKTLKamj4IH8OfQbUL0kq,Dem Franchize Boyz,0j9KARfuyiIE6AWgbUwRhK,41,not available
70,Lose Control (feat. Ciara & Fat Man Scoop),0UaMYEvWZi0ZqiDOoHU3YI,Missy Elliott,2wIVse2owClT7go1WT98tk,The Cookbook,6vV5UrXcfyQD1wu4Qo2I9K,68,https://p.scdn.co/mp3-preview/fe79cac4e5f67a23d54ea5e884d86af1b5248a88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Drop It Like It's Hot,2NBQmPrOEEjA8VbeWOQGxO,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,R&G (Rhythm & Gangsta): The Masterpiece,797fkvAtk0iZvP1HHPCWbp,68,not available
