Feel Good Friday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
53,These Days,20ZP3Om9DvDazXrNUC7WM2,Rudimental,4WN5naL3ofxrVBgFpguzKo,Toast to Our Differences (Deluxe Edition),0ORqx9M6ak7kqDwYUBwvdK,69,https://p.scdn.co/mp3-preview/0dcf3a99c9f1821a3f4ae0bf6abaac181f469efe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Five Colours In Her Hair,26QkYH0dmzPQBprter9Jsw,McFly,47izDDvtOxxz3FzHYuUptd,Room On The 3rd Floor,2WMApBk2Flz1G3urFsEUuv,58,not available
55,The Promise,3wyMwEpzoIWBGqEkHeEvi6,Girls Aloud,12EtLdLfJ41vUOoVzPZIUy,Ten,664RHc5JaWz4ELLzzybn2T,56,not available
56,Juice,0onslUNmSLDkuYaideYWir,Lizzo,56oDRnqbIiwx4mymNEv7dS,Juice,11coWHUoRLfoplozmzNz0v,26,not available
57,Electricity (with Dua Lipa),5N4erncE7kuUccm7zEmwzk,Silk City,2X97ZAqRKRMYFIDqtvGgGc,Electricity (with Dua Lipa),429B3se6xtZuvblNnS2iy7,82,https://p.scdn.co/mp3-preview/d4362730866e97d2e89776ceea7ad31cc5a44541?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Suddenly I See,5p9XWUdvbUzmPCukOmwoU3,KT Tunstall,5zzrJD2jXrE9dZ1AklRFcL,Eye To The Telescope,3j70PDKieTWQAwas3bPHRZ,69,not available
59,Don't Be so Hard on Yourself,1KtVVUM6OkpyOsbVfbMybX,Jess Glynne,4ScCswdRlyA23odg9thgIO,I Cry When I Laugh,7BEPVoBcHuTLWpcdj8FhM8,62,https://p.scdn.co/mp3-preview/508e071166fb8c564b90a1dc6c37f41e6544f077?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Goodbye Mr A,4spfRBAAdrMKR35lZWrgYF,The Hoosiers,4LlDtNr8qFwhrT8eL2wzH4,The Trick To Life,5sScGdiKDLwMPQMO688baH,62,https://p.scdn.co/mp3-preview/3ef662c169b2ca026c4ff17ceb97a72d23c693ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Tilted,2ILilOGEh31uHITYFazrLM,Christine and the Queens,04vj3iPUiVh5melWr0w3xT,Chaleur Humaine,0xWXamgZr4z2zSYrvcoOar,62,https://p.scdn.co/mp3-preview/523d810d6fc006104329266bcd64693b87d998bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Dream Catch Me,0wplliChn9Ikt3n9XoXt1S,Newton Faulkner,0pf1lcBxh6HiiHQAIzhTI5,Hand Built By Robots,0MSD5GpoWEDPyxs5axQ2qa,59,https://p.scdn.co/mp3-preview/3244aabdc62681279d1f7443102b8b156bd2dde3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Promises (with Sam Smith),2tpWgbBdzjkaJVJzR4T8y1,85,https://p.scdn.co/mp3-preview/c78e0a33c394091314b35a2fd42b0102cc8fb1cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
