Easy,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
59,A Little More,4MjMWeU6r2aOrH0kqEVTTU,Peter Whitaker,20ummgOmQDjIjshUVQSmGa,A Little More,1VQFMUgQamT43hK4mmIPt5,48,https://p.scdn.co/mp3-preview/8503f2320ebcadd2b8039c70cbe6c51f58321451?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Hand in Hand,6QDF4mjfJE0uGQaksGGdC4,JODIAC,5kQNAKOTMNGwPbqfzW3uJA,Hand In Hand,6bWTxcfn8fFJxTEV2rP6D0,47,https://p.scdn.co/mp3-preview/6a239b7437a446a705dc4a417dfa1ff6d044affc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Sleepwalking,2cCZfUpMcb4M2sqA7Pzl5k,Hannah Grace,597GQ9dmhOQoBfqmfQINKB,The Bed You Made,1d3Khq1kbj05c7U9QZKUlf,38,https://p.scdn.co/mp3-preview/034ac2456059ea9df19ce87b64427ecbb7b38039?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Stay Awake - Acoustic,2U8kPpGTv8tAHG0CgqwgeA,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Stay Awake (Acoustic),4PkaHR7pETYGCOB2QocK24,60,not available
63,Tracks,2ho74OPYct4M3fAlP4zvrr,Fran Minney,27RjLxMfzmuT34uEMHqwR1,Tracks,25ombfyklEBze1M2Q6G89W,36,https://p.scdn.co/mp3-preview/091ab6802185ca1b0a3012128f87548d201a900a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Don't You Dare,4NCjNWpT35pN9LAWKn8sUQ,Winnie Raeder,1QnifH4HAt0yWP9A9IcoMK,Don't You Dare,7tGqLggvvGYev8xD1y6NY9,54,https://p.scdn.co/mp3-preview/e38eba44db218034fdcaa5a82ee6682e09232632?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,October,2cDcrN0P5EupLuv0iye5Oy,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,October,3NArrZxpa1TP6h1xVis146,67,not available
66,Jesus In LA,5i2JGF65pHKSfMEjSMrBC3,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Jesus In LA,2aygqrnBUbPolcC6H1GUPS,82,https://p.scdn.co/mp3-preview/590ba446b10a2955c178b843e429dca8e8c06eae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,XO,0K4MI9SPEoCFF21Ss4BuOG,Lucy Mason,5le0MJ677dF3FFRwVEaMO7,XO,6LbdCdK8vzP0Zm5k0GEQLO,45,https://p.scdn.co/mp3-preview/e3f28ac0c863f4c7ede7913516bf1b640af4952e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,BRKN,07gFabF2ePsmBM0Q3CYitT,Madison Ryann Ward,6eAUAR4N9NOpirukqdIzVI,Beyond Me,05tbey8KoO4jyoqB362gl6,56,not available
