"Café, Libros.",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
53,Solo,4ptDJbJl35d7gQfeNteBwp,Dan Berk,2kfmnXYxa9yh0RkUBPjSwZ,Solo,3dS1DCljr8LjIweYoUhbgB,62,https://p.scdn.co/mp3-preview/0d44569d939aa71c8bfe8821948a5bd64f0d581a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Grow,0CqM6zDR0TCug8F4XFSVK3,M w S,6YvmHs9jWcXOHZ6SDtDeS8,Grow,2BkwfdtFYuxTEU9Tv4eoUm,41,https://p.scdn.co/mp3-preview/cd7e28a9714e0bf7eed82f7937142308707ca53e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,My Name,0UZrloJ3IvP3d8XmtDFFJA,Tom Speight,02U4dXZhGSo07f66l8JZ91,My Name,3xoEJqvx6pNH54BclKBwDx,51,https://p.scdn.co/mp3-preview/0171971e89f9d3dd61b56f17f0bcd8abf7735ce6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,I Know You're Scared,1jsYDmtSGqiOkQ10FDAW7K,JumpCircus,7d9bjvv9XpbR6qewAWcP4v,I Know You're Scared,1Af7t6RGEJ8XGk6gZ2ri0Y,38,https://p.scdn.co/mp3-preview/504af19ab264d0fb1b8a5cd67978c7186cb65a7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Friends,3iiWwDhLYI3St1oBLwrcvF,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO,Friends,3yuV4GeplvzBIiYGhQp2nd,49,https://p.scdn.co/mp3-preview/507d164b148ba90d6895728b1844d9a3683877e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Nothing Breaks Like a Heart,5Usv5MphawKc1YZGbTlAly,Brimsley,0UhNZ8dTl8Wq4iPcwsqPmd,Nothing Breaks Like a Heart,4WHIT1gsLTquLhqMhBrwuP,51,https://p.scdn.co/mp3-preview/ec4a9fd421c49aa59e872c942a1981f10c873a74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,LA Rain - Notes from California,7o5pA1QenpUx98kMbK7Uv9,Max Jury,3MuPVbFDynbq9zRTAqjRxi,LA Rain (Notes from California),6sbRmz3v6EA8c1xXqV3Dh2,3,not available
60,Feels - Acoustic,2dOhS9p28YanQHsI2sl2Th,The Mistrals,2PSdm3Fy1O6xpCRUM5EJjk,Feels,3l89eH0y4ftA1DeETIv6P9,50,https://p.scdn.co/mp3-preview/363eee78d71570011515b2a8c17c2b596dc87900?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Promises,1sJaXDUlF4lz35ee4jUs6J,Sara Farell,39S7Y72G0tdDPy2INGFicV,Promises,4vyTdD9HNj9BlOTXgTC4TT,59,https://p.scdn.co/mp3-preview/43cbfa32a2adb599213882d0743f94446ea4419e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Starboy - Acoustic,2QoyYV4YAuw9T9UgsDoam2,Simon Samaeng,7n4yZSvg16XY22sxvZzKfw,Starboy (Acoustic),5Bh0yujzOhMqly3ONkprWR,61,https://p.scdn.co/mp3-preview/670ed08513d8d23a5756745b58be00781a49361b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Girls Like You,67Mij0TZUmIB9ZmjkZXtN8,Postcards & Polaroids,5ccCHLpAxCdSMFHeeLUPrw,Covers EP,02Rt1McqlJZerdru6Xlovs,49,https://p.scdn.co/mp3-preview/74813fefd8f421957dc5150ed2220f4d57428663?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Valentine Shmalentine,05clJaG0NPoowlJR4sUknK,SOAK,4PLsMEk2DCRVlVL2a9aZAv,Valentine Shmalentine,4wJfdMhH8mTiEr2e9wGWT4,42,https://p.scdn.co/mp3-preview/3a14476d4e11ce2f74a941ed0b2c71dea5b681af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Sorry,21Cr9ZzBDHF7QxDS8kE5Lx,Colin & Caroline,2Y4125mDrgQyPD7dt76Rtm,Sorry,0ep3oeAyv1CQKlVAGBUhrm,62,https://p.scdn.co/mp3-preview/66a67af9adea359ed0e177b88cc0b7398fca00bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Eleanor Rigby,6GHbyrCv7NaTozPaeyp2qS,Pomplamoose,5dHfLBNU8zoypgKefzEB1c,Eleanor Rigby,5ojcCFWhnNyrEEs4WmlQ4I,45,https://p.scdn.co/mp3-preview/1008d48dc784346ebf2268de0e842a9a8fa0213f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Fix You,4Nl1XaLOTrXziMpx6vO4WK,The Lidls,6f14pLfPtDV6pJ6F9CAFwE,Covers EP,13jmHsHQ6MNsgIaFdFIa9q,48,https://p.scdn.co/mp3-preview/e27e7661e7942b5ad1770f2d7d77d3f0d7bf4776?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,bad guy,2tdpkp9zFJiICyTY9gQefh,Sara Farell,39S7Y72G0tdDPy2INGFicV,bad guy,4xlIel4QH7bFcZ6SrwF6Ix,56,https://p.scdn.co/mp3-preview/9a8e21e5675ddd2b2c5e152991e62cb6eda5d5c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,"Mad World - Recorded at Metropolis Studios, London",1B8C0h5Y8MRvzK7j17BODg,Lily Allen,13saZpZnCDWOI9D4IJhp1f,Spotify Singles,3SkXoYr84jE1JzWxc0yXcJ,59,https://p.scdn.co/mp3-preview/c568a188e586e086fc39f4aa0df88fc455b3a4e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Real Life,07rEz3Dd7AwNRHSihhq0vZ,KONGOS,58R5LHkK3vkmEyGUPOR5kS,Real Life,1rwNGQy0G1R2fGTsYBPmYW,39,https://p.scdn.co/mp3-preview/4a2359d9e9fee16fb540715337c2ed145e5f1f2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,For the Crowd,2aXKUdueMOj7IaxJZ8UQN2,Lolo Zouaï,2qDIR2WlcW3llkGqJWg9VJ,For the Crowd,4p7zTji6SBDcF4MSp98eMQ,44,https://p.scdn.co/mp3-preview/995db0d0b9950f907d9a218996b0ec79af33b920?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Complicated,7j6xAadMrhFIuZ7epyU5YT,M w S,6YvmHs9jWcXOHZ6SDtDeS8,Complicated,5TNdGmCbItkOtiuWzhXIbc,39,https://p.scdn.co/mp3-preview/7be2ea7d3fd8e6422cef78aebd7906fcfb176fc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Sunflower,0v1yN5C75um5Wx2WPtFl6k,Sara Farell,39S7Y72G0tdDPy2INGFicV,Sunflower,2TI8ta6DUPmaupm4NZQpEw,65,https://p.scdn.co/mp3-preview/fa1d49b4950d68a9c294f639ba6dbd7b363fbfdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,I Make Sparks,5SDHPiJN0Z7qlUNvXJhPFo,Novo Amor,0rZp7G3gIH6WkyeXbrZnGi,I Make Sparks,41C6CAsnARCxcgE26D0Sxm,61,https://p.scdn.co/mp3-preview/db2a49bf20d840321459fdd1138029d88a313657?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Medicine - Acoustic,7iLlwpist1NrZq3PU9EXF1,Robinson,38CvLGTsjtoloDgv3OKQp8,Medicine (Acoustic),2wncDDW5aUdRDOc8p610cJ,50,https://p.scdn.co/mp3-preview/ef52aaed5fed897887938019e1e3e8f25cd373c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Sad Town,45VNBVpp3UZA3fD8At5j3I,Birdy Bardot,0fLUN3EcqC9nKhHKYOQ539,Sad Town,1WVMyPT8JE0ZVgwRJTJI7e,38,https://p.scdn.co/mp3-preview/948841a68a3699720d0c556e8eeae57037623b77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,The Middle,3D22QSh1HLlvTrNJAHx42t,Dan Berk,2kfmnXYxa9yh0RkUBPjSwZ,The Middle,3DB9bG9QjWLhIp3y9PDeTD,49,https://p.scdn.co/mp3-preview/018e4aaf79c12b551771706c558b0eedd9cdac11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Dancing With A Stranger,6YOOCjjIb0pBZXbJjYgUlP,Sara Farell,39S7Y72G0tdDPy2INGFicV,Dancing With A Stranger,40D54vrfgQGY9z8e5OtvLd,59,https://p.scdn.co/mp3-preview/9f2084a95b520714b38384f128c7864d239553b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Solo(w),25Ehba7QN8p0pKhbPMl9zR,Lucy Rose,2uvY5pgdD9t1CZ5zMNw1rl,Solo(w),0RlKhhUmIZPmFB97rIHPSo,47,not available
80,Bleachers,3Xsua9PZj5e0WeCar562Wr,Dizzy,0g3BS5QoR5r6pOAg1tvwXv,Baby Teeth,2I3KNalSqYLftHnjHHVVKF,43,not available
