Sub Pop Celebrating Womxn,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Had Ten Dollaz,5n4FL8FgHZQaJ2GuwMN9F8,Cherry Glazerr,3pIGm1omCcHIb1juBNHspg,Had Ten Dollaz,4ryYM4aFvHHFus44Mg6n2X,51,https://p.scdn.co/mp3-preview/afe8a30666a0b222a634e889e93f56259f9ad9fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Deceptacon,5773KSWFzg9kCc8yazjbSt,Le Tigre,2n6FviARgtjjimZXu18uRM,Le Tigre,0dSSZGzoukzrFBnG07J45i,58,https://p.scdn.co/mp3-preview/81174dbfc2309b3af285bdaa6f59df50ec1b57ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Scott Street,0jqFM7E9z1PLYtPVCuFwAi,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Stranger in the Alps,0AkAmg94XyiHODJaiGHh9O,63,https://p.scdn.co/mp3-preview/217569209fd00067a088fd0834993d4e2e1bbab6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Decoration Currency,053W9rcRTAr7YrZOiW61Jh,Girl Friday,0NZMcZVNXFBVdNb5BQj6NM,Decoration Currency,6ivvFxjKzmhw3YI0jovIEV,0,not available
30,Slow Motion,0qL0YGfxqQRBSSibLvnvWM,Stef Chura,1mZ4u1cMEPjsu6uEa6OxCq,Messes,2W93ffj0BXuxPIaGhdLWHk,24,https://p.scdn.co/mp3-preview/d3a98a91f6c0419fd0d86c165c9008d2c40e43ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Chick Habit,19116nP4eo6LsWDcMSKrcy,April March,0bbvrSsm0Dh4erBbE1dhHD,Chick Habit,79eFrQh7wSuDLGmySfd9GD,51,https://p.scdn.co/mp3-preview/c09057042a91e87a34314a2f6c39cf7153115e8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Moi je joue,7v3zsFlSU28kiv3sqRAPNl,Brigitte Bardot,1q24xIsAD7JZuVkTLR9TJy,Bubble Gum,1Rvk3tavC4U97f1UObfsnb,48,not available
33,Poupee de cire poupee de son,68jKFhKRqnatqtLYIiz3c1,France Gall,22HVxZPA6UhBp8wahxDA6I,Poupee de cire poupee de son,1V7DQymFOkrYlMiI8Ad6cc,1,not available
34,It's Oh so Quiet,0OMNQyneWmmZtTQpULYJcl,Björk,7w29UYBi0qsHi5RTcv3lmA,Post,2Ul7B1LEHxXzYubtkTMENs,49,https://p.scdn.co/mp3-preview/0404ac5bf2aaa0a21b8ed80a8780215887224a7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,I Found A Reason,6Ge2Ob69SEZ2l78e3IE0Aw,Cat Power,6G7OerKc3eBO9sVkRNopFC,The Covers Record,5FbcUqv44TZnt8Ox6bzzZT,44,https://p.scdn.co/mp3-preview/d2429bf9e93109b86513fea9ce8b311ed830f4e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Raining In Athens,17jBSArXS9zBf7nEvXER7r,Azure Ray,70UZ254VvtSUmrfqPOkUQZ,Burn & Shiver,2S88FSkNskqKioaFwBYbgh,0,not available
