Your Coffee Break,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
52,Why Am I Like This?,0z29wv0x2IXrpWxNgICET7,Orla Gartland,3ajf12ub55b51qcS94d9Co,Why Am I Like This?,0EiHyIG1skb5rzVkbBkva6,53,https://p.scdn.co/mp3-preview/73c64e9ce4baab30c5c6a9a29cb98abf678b5e4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Unbroken Thread,286GOmL94oiO7bX4Q5ecmz,Alex St Joan,5YemAaz4Po5d57FK1TNsmd,Unbroken Thread,4gNpfFJEn58zYFmJrCBakZ,39,https://p.scdn.co/mp3-preview/e8419d47b3d17655f27ac15421127c25f80f275e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Tender Offerings,5di2f9zz1LymDXUcuSopKe,First Aid Kit,21egYD1eInY6bGFcniCRT1,Tender Offerings - EP,4z2YXxHknORqrdeSMCHxnF,50,https://p.scdn.co/mp3-preview/cc633963a224b473e739cd53e71a650ed4487ae8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,One More Goodbye,2qSHQ7H5zRJGDJVRh5JsPe,Ward Thomas,0xBhUB0EfzvchYnaIWkdBw,Restless Minds,5wIJ5KSFs23rMjn3JDoTR7,47,https://p.scdn.co/mp3-preview/94956ca536244bdb93b5dfbb97f78a7cfece8d44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Emotional - Acoustic Version,1XLNAzbeAMj40gsFxBVPBt,NERVO,4j5KBTO4tk7up54ZirNGvK,Emotional (Acoustic Version),7ck8aZ9Ybp6OMH7XPYnZoL,45,https://p.scdn.co/mp3-preview/cfdc5887de6fac67559a57d0bd31b4bbac624245?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Sucker Punch,0Y7KcTEKMj1AqvEVDuR9yO,PicaPica,77a512qFKiDiTQlnbnbfqr,Sucker Punch,3rx52jymbRRbMdMi0U2gIY,9,not available
58,The Mess We Make,7cetoxbgUuslYQEYkAUBIP,Benjamin Francis Leftwich,7D5oTJSXSHf51auG0106CQ,The Mess We Make,1BYqmwjC7pRkdJ1742WBNM,23,https://p.scdn.co/mp3-preview/689cb48e94d88566b546fbf5cbb55b774ad465c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Already Home,3pRegc4mMR211YrfRBdAFP,Richard Walters,3rUqgY188kWz0hKkqnpk9F,Already Home,1eMGnbnShcKGZ4zNwOHcuG,4,not available
60,Burning River,5FM6RWt4Ad2hRVKk3cJ6UF,Ferris & Sylvester,1LnhhjMNydIGawXsnfNhCf,Burning River,1gxydZT94bfpbwHYGvPp79,32,not available
61,Selene,5qD71BEybvU6SE214zXCeq,Ciaran Lavery,7zOuMHqRJ6YOMnCGpLfuTU,Selene,6oaFJJyQIAVeD8vGbRu15A,44,https://p.scdn.co/mp3-preview/3b0b6e09593428c789fdd0fa72b6ae2b0eece0f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Rabbit Hole,6UTNzLLSHdsjlsGyGpJMVa,Nathan Koah,2Ctibv4mIQk4GsxNzcdzpE,Rabbit Hole,0GJdbxHbWA2zx5ogVcwJY4,38,https://p.scdn.co/mp3-preview/22424f24dc0c7067b2ec192c117dc2be284fbeac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Thinking Of Japan,0IxtWSmUHJAPKZvPfLHOM0,Roo Panes,0XHM5ZNJDU8e4CfbWMeSzC,Thinking Of Japan,6U6gHKVOswl5Rlri2KqnBD,41,not available
64,Woyaya,03v8P8VwllL0m4BxFNzLta,Anaïs Mitchell,7K5Lm5dxoEwEpOS0Fc3l3s,Woyaya,183VIWVUW09PleJraGY6uC,38,https://p.scdn.co/mp3-preview/a9b22aa2382a1151b0c287ccebba12aaed19a97c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Land Of My Lover,0bdT0ckcrShz9mQeAByGtH,Ruthie,1TK7taesKnlI7YLjixzt17,Land Of My Lover,6S78ZI4j0Tvi1Mzh9UXUTy,16,not available
66,The Art Of Living,4I42UufMv92ZMmRXiKrzEK,Bibio,0qzzGu8qpbXYpzgV52wOFT,Ribbons,66uh2zByzGn6sW3mbpZTVh,53,https://p.scdn.co/mp3-preview/7f4a4db05a668e888b0a132124c86168e4a72926?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Willow,21kPW52xMAYPEQPTmRMaJ2,Fergus,1ftEZp05l2lczXUxg27fyK,Willow,2OzdNJeFwTW1Vh29A3ZGoo,38,https://p.scdn.co/mp3-preview/0dc2631679bf962142e27cd358326873071b95a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Grace,3lQXz1n5etCVVrazQLEPGt,Kitt Philippa,7vdR3mj5oI4T6PbnhWcxcX,Grace,7bUrju8eFO6YWTqUXxSWr3,7,not available
69,A Woman Like You,0c0Fz8009tgvWdsf0JEPdy,Danielle Lewis,5rGEvaxtX14olcQrXOhu72,A Woman Like You,5cVM1PNW82BTlzf6ZN7gCg,38,https://p.scdn.co/mp3-preview/2402bb6aa51bdbe46787d5d8f6b694530cc79573?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Jesseye' Lisabeth,2Oz5gUvKTkhRNgZzm6eZQa,Mercury Rev,77oD8X9qLXZhpbCjv53l5n,Bobbie Gentry's The Delta Sweete Revisited,2osVzFHuUGOgTv6lXhwPSJ,39,https://p.scdn.co/mp3-preview/031e159ec77594736f675b376d8c758c90b3d024?cid=fa83a2fec7c440b7a2795d600d6b2c7e
