Bandas Sonoras,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
63,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",1nD9xhaOKlHmZssLhVWRo1,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,Tales From The Brothers Gibb,7oI2rB4MVStfd0oUNM2dxA,7,not available
64,"Beauty and the Beast - From ""Beauty and the Beast"" / Duet",1lb36bFPzVYUBER5QatHAY,Peabo Bryson,49iKbKGqgn8OESkW5WduX0,Beauty and the Beast,3O5p9VNddbwvqWTdYKEqV5,42,not available
65,Ghostbusters,3m0y8qLoznUYi73SUBP8GI,"Ray Parker, Jr.",0NyzfcGDZZ6GM25EBG9BYK,Ghostbusters (Original Motion Picture Soundtrack),0epcJ1L57tp3SF30aKyeWa,55,https://p.scdn.co/mp3-preview/d7bd2e860e521bda3e316df4c4ea85023189a8db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,La Bamba,1LeDn7zwuFLzqbqNiZ53an,Los Lobos,6OWapcJm9xd55ci9CYbAuT,La Bamba (Original Motion Picture Soundtrack),1WXtfqXeeROVckzEtoYvdk,51,https://p.scdn.co/mp3-preview/96aaee91da3521c4094d26be7fe5110df4dce425?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Arthur's Theme (Best That You Can Do),5fnOrhQ4KgT5irGCjIccGH,Christopher Cross,695W5F2Ih8dYahLdjVOIoH,Arthur - The Album [Original Soundtrack],0QXYfxXpKeLlr3hueenIHB,70,https://p.scdn.co/mp3-preview/a13d35f2b76e501e8abf1e6a65c44baf716dbe5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,"It Must Have Been Love - From ""Pretty Woman""",6qB7YcFpeBEQa0D6QO482y,Roxette,2SHhfs4BiDxGQ3oxqf0UHY,Don't Bore Us - Get To The Chorus! Roxette's Greatest Hits,6Zd1OLqFX5geleqvJ9xtAL,67,https://p.scdn.co/mp3-preview/a76b97080dee3bd95b1fb99b592910c976fd55f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,"Raindrops Keep Fallin' On My Head - From ""Butch Cassidy And The Sundance Kid"" Soundtrack",1KkwByi6c9dFFmUTcgMODw,B.J. Thomas,0uUNzXylqsZdmFDwdxaP1V,Butch Cassidy And The Sundance Kid (Original Motion Picture Soundtrack),4bWx4TgTzAkE22SBjH9AGT,0,not available
70,Everything in Its Right Place,1VBFdVbmAxIgC2jqF6zjgp,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,Vanilla Sky (Music from the Motion Picture),5BTAqof8FIlVhXa1JsclU7,1,not available
71,Lose Yourself - Soundtrack Version,6atDVsk39X4LS1C3hdgX5l,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Lose Yourself,1Ks1EMXw9S3m8jjrXHMe99,2,not available
72,The Bare Necessities,7h5crXBSY5SSpXRIlklv74,Phil Harris,2ISMfPtVzHc9jDDVPUEHDa,The Jungle Book,7zdZNXoapFcOW663zgLdOE,51,not available
73,Gangsta's Paradise (feat. L.V.),3u9fHuAtjMY1RW2mZfO4Cf,Coolio,3y24n3XhZ96wgwRXjvS17T,Gangsta's Paradise (US Release),3gj5MfnW3Oud8Ji1n7Tops,20,not available
74,Night Fever,0YhwwpABBK0GzeUaB8OzIm,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,Number Ones,1NlQlaqkIZeq6kdmZUrCwj,3,not available
75,"A Whole New World (Aladdin's Theme) - From ""Aladdin""/Soundtrack Version",5hnpN3KOeiEw4VYlumbEnI,Peabo Bryson,49iKbKGqgn8OESkW5WduX0,Aladdin Special Edition,7bt2aty3lUo6Q1Ud8pthRz,33,not available
76,Mia & Sebastian’s Theme,1Vk4yRsz0iBzDiZEoFMQyv,Justin Hurwitz,2snm3HmsnDUDxbIChdl2Oj,La La Land (Original Motion Picture Soundtrack),3GU8BzFEAdFSRjc8jZkL3S,62,not available
77,"If I Never Knew You - End Title / From ""Pocahontas"" / Soundtrack Version",3qr68QUa50h7jMELcrjV6b,Jon Secada,10n1KB2sjTrGdyuC83y8jW,Pocahontas,7L6kEZVkWh7OEI71b1JHZd,42,not available
