All Out 70s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
59,A Horse with No Name,54eZmuggBFJbV7k248bTTt,America,35U9lQaRWSQISxQAB94Meo,America,0E5IKYhiKgbYQkmfsFonbZ,78,https://p.scdn.co/mp3-preview/39160b959b9c3ef5eb82314160eb168af167ac3b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Here You Come Again,6H7nDglS6xWpRidbhMwI2L,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,Here You Come Again,64yIGFoYJVg66fRXIxIYJr,67,https://p.scdn.co/mp3-preview/04385790f9a2a10a6f4fdcf52a2cb0d18ee1a6ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Imagine - Remastered,7pKfPomDEeI4TPT6EOYjn9,John Lennon,4x1nvY2FN8jxqAFA0DA02H,Imagine,0xzaemKucrJpYhyl7TltAk,79,not available
62,Please Mr. Postman,6RMo3zv9VjmcGi4V5O3cOL,Carpenters,1eEfMU2AhEo7XnKgL7c304,Horizon,2FxmC1q7CTXLSfHIX5xWCr,16,not available
63,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,Second Helping,54V1ljNtyzAm053oJqi0SH,83,not available
64,Sultans Of Swing,37Tmv4NnfQeb0ZgUC4fOJj,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,2rCS6Xwx32V27pvgFzLzlT,80,not available
65,Father And Son,19slC7k8bsPOAKDjHYLU2W,Yusuf / Cat Stevens,08F3Y3SctIlsOEmKd6dnH8,Tea for the Tillerman,1FKScTiXaADVfAp6gTWHKj,75,not available
66,I Want You to Want Me,1JkZg3eMQTmTn93E8Yd3UL,Cheap Trick,1LB8qB5BPb3MHQrfkvifXU,In Color,2sXJQdHykPYcRQ7xFhwzMR,72,https://p.scdn.co/mp3-preview/1c55371ac6dc7f4553e0f0ce75edf9b84d263ef1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,What's Going On,4RNHbYuRaZesMODlihhsUG,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,What's Going On,3OpydOJywRIIozfItYnQlr,62,not available
68,Dancing Queen,2ATDkfqprlNNe9mYWodgdc,ABBA,0LcJLqbBmaGUft1e9Mm8HV,ABBA Gold,2cKZfaz7GiGtZEeQNj1RyR,68,not available
69,"Take Me Home, Country Roads",5LV3AJZ7KOKCpoou8kny79,John Denver,7EK1bQADBoqbYXnT4Cqv9w,The Essential John Denver,6f07FdTqnh4Wj71VqpPgz5,15,not available
70,You Sexy Thing,714hERk9U1W8FMYkoC83CO,Hot Chocolate,72VzFto8DYvKHocaHYNWSi,Hot Chocolate,10oMdAuUD0Tcc4BowCWUni,73,https://p.scdn.co/mp3-preview/7017e809f2d2961c456122b625dbb0ad7792998c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,The Joker,1bp2IO61zbQrbWNmKKxg3f,Steve Miller Band,6QtGlUje9TIkLrgPZrESuk,The Joker,5uYNj1HkZrWKAkhEYcGmJr,77,not available
72,Morning Has Broken,3BqqF8suAIzW8655yJfcvh,Yusuf / Cat Stevens,08F3Y3SctIlsOEmKd6dnH8,Teaser And The Firecat,2B719vL1xtPTwYs0j5BuAo,69,not available
73,Lovely Day,0bRXwKfigvpKZUurwqAlEh,Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,Menagerie,3QjPTUI6UcPr5m9RujkO3c,74,https://p.scdn.co/mp3-preview/300afa67fbdef1d924d3ac8730f308e7fae85823?cid=fa83a2fec7c440b7a2795d600d6b2c7e
