Covers Unplugged,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
63,Silence,5V0CRoCDeDpGTXZGWPTk3D,Reggii,6vbpxLwv8WN7U5Yr6rnLdP,Silence,1qyvMdyktO17KTA0LcW9Yk,61,https://p.scdn.co/mp3-preview/3f65c7abb86a678883599766ad652c73b5b723db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Shut up and Dance,7K9GqO7ciCHJe2bkoZoM5i,Anchor + Bell,1mjqymUKo7KbLtvfYD386t,Shut up and Dance,73nVNq34LtpDZmRHWV1fo0,58,https://p.scdn.co/mp3-preview/64fab5a912949fc60fdbdc470930a2951baa5a0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,"Somewhere Only We know - Live From Spotify, London",7FnHpKPgVC6GE0RRCJNB2T,Lily Allen,13saZpZnCDWOI9D4IJhp1f,Spotify Sessions,5cNnduB4QgrxQzaJvEuC8z,61,https://p.scdn.co/mp3-preview/62a76b58ff82971eed415b96c4c9693abeedb4fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Cold Water,4esmMZzUcSw6cgd8WbSOgi,Megan Davies,09kCHZp9iFO2FJNb9lR6G5,Cold Water,0MVvWDGTxhdNV1KcwmUoyO,62,https://p.scdn.co/mp3-preview/52906f7b835021c7d974a623a57c42b59f3dcc21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Cheap Thrills,5ZOKN1A6nKEzCsWDG69pzF,Boyce Avenue,7CQwac16i1W5ej8YpuL3dv,"Cover Sessions, Vol. 3",5HQpJk5EOC5Geq179iwzJC,12,not available
68,Stay With Me - Live From Spotify Berlin,6itWAD2WxmAVQgWuk85yXx,Angus & Julia Stone,4tvKz56Tr39bkhcQUTO0Xr,Spotify Sessions,5ota1DtixKfUcrsiazzgcK,55,not available
69,Dancing in the Dark (feat. Passenger & Deborah Conway),1iVv77wil5cJ4v7mgsqXaF,RocKwiz,3pyor8OU0YfTNLtgjynv4I,Sunday Morning,32sSQWOKjHqUUJh7zfllfn,47,https://p.scdn.co/mp3-preview/3bb75a9a20046fac12261bcd73122a3b19db78a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,In My Life,625ZpDbngDHqNgjoGiCgBp,Wallis Bird,0aogyPVqx5tlIkR0BHAehX,Architect (Deluxe),4tKIQtoOiJDj2mRonGNOcv,57,not available
71,Nothing Breaks Like a Heart,5Usv5MphawKc1YZGbTlAly,Brimsley,0UhNZ8dTl8Wq4iPcwsqPmd,Nothing Breaks Like a Heart,4WHIT1gsLTquLhqMhBrwuP,51,https://p.scdn.co/mp3-preview/ec4a9fd421c49aa59e872c942a1981f10c873a74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Perfect Places - Live From BBC Radio 2,2hUyNUvpSlNBmYKCUNCLu5,First Aid Kit,21egYD1eInY6bGFcniCRT1,Live From BBC Radio 2,70nPdV7ZMFzddatb5WjgrE,57,https://p.scdn.co/mp3-preview/0f1e976881fffebefd4afad99f7f26853c7e15da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Lost in the Light,0bgqXYJld8cSkAW72VfVDM,The Ballroom Thieves,7kZBQcHbD4IKKEJIMnrRWC,Covers,3kFjHkhnVGtpmCSB4rOO4z,57,https://p.scdn.co/mp3-preview/c54d84017a2812381c58eaba6028aeb706b1b483?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Hallelujah - Recorded at Spotify Studios NYC,33ZIaxsct3MDc0oSPxgY76,Brandi Carlile,2sG4zTOLvjKG1PSoOyf5Ej,Spotify Singles,1Q7HOVDbx5pHCROjFc2NDK,53,https://p.scdn.co/mp3-preview/ab21a8928256d1fd51571f96e4d9b6fc05f6f30c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Otherside - Live from Spotify Berlin,3QsUZZ2aSdzyu8ndDWZ1X7,Silbermond,3GbUWWI1rMwAIPbUVPvnPA,Spotify Sessions,4Bho4czcKcVcDqk1jDFzeF,51,https://p.scdn.co/mp3-preview/074b293e066e4d4d2286a95ba5ff00e746e5bced?cid=fa83a2fec7c440b7a2795d600d6b2c7e
