Party Deluxe,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
70,Be Mine,2KklXplRtxMsBYo474Es0w,Ofenbach,4AKwRarlmsUlLjIwt38NLw,Be Mine,3tD94EmwfRLAX1SaZQvDhC,72,https://p.scdn.co/mp3-preview/f99b461583e45414aab51c29b5bed56d9ddb1237?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Ain't Nobody (Loves Me Better),5afHIkEcVhCF1Z1CTqMUXB,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Ain't Nobody (Loves Me Better),3beitV4REkUMQn4BXZlD8F,21,not available
72,Shake It Off,5WfhXulggG0c6WoVeMPA8N,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,6w36pmMA5bxECalu5rxQAw,19,not available
73,Better Off Alone,0pMUR7Uvp6vxlbG0qBFvgM,Alice DJ,2tbvDi9eXf9XXp06LupkED,Who Needs Guitars Anyway?,5oPKlo7IBFXlh12tqDVoAU,72,https://p.scdn.co/mp3-preview/d4a8e5d6fe6e83aded1afc394b2fe8e792fb6810?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Believe,2goLsvvODILDzeeiT4dAoR,Cher,72OaDtakiy6yFqkt4TsiFt,Believe,0jZfbz0dNfDjPSg0hYJNth,77,https://p.scdn.co/mp3-preview/579967c91dc409b693b9819c12bbba83e4d0f9a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Move On Baby,1PavRrF6Ydo0HSePmMt5tL,Cappella,0NPwkUJRrRiWYdHpLXBkxg,U got 2 know album,5xA73n1xmSkC6S44muzOFJ,49,https://p.scdn.co/mp3-preview/830f37c5bbf40e6be47fb23553f1263d6dfcf1f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,How Deep Is Your Love - Chris Lake Remix,7foafyqmJYUdhGBpIusueW,Calvin Harris,7CajNmpbOovFoOoasH2HaY,How Deep Is Your Love (Remixes),4dwsyenCENU1FwKZXh0Ech,62,https://p.scdn.co/mp3-preview/0d321abb3af15e7be277dac7840ca208b55fd699?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Freestyler,2vlgOAH3M8Fmo19wOjeRyw,Bomfunk MC's,0NeC6ploeJUq8oDwYQjNPS,In Stereo,21Z00Rt15tDCUM4mStVNKI,57,https://p.scdn.co/mp3-preview/2a5b5a9977f58ae525b473455e9f2e67a9edf8d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Rhythm Is A Dancer - 12'' Version,5dle7lDSqNS2AcFtbvgkud,SNAP!,2FrKQPjJe4pVMZOgm0ESOx,Rhythm Is A Dancer Volume 08,5NZ0wQA1HzBSDSyOWEU96k,14,not available
79,Jubel - Radio Edit,0D2VYiRlBv43asKUgieZaM,Klingande,1L9i6qZYIGQedgM9QLSyzb,Jubel (Radio Edit),7fkrTTjzWHgZQj7vizhTza,52,https://p.scdn.co/mp3-preview/609d21d24ab7a92e5912c416e4662458098ec6db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,Katrina & The Waves,2TzHIUhVpeeDxyJPpQfnV3,Katrina & The Waves,1UQG78YJjaBySRMh0A8Uw7,79,not available
81,Klar,4NoS6rrdfwBBJNrQnosub4,Jan Delay,4KivBMgSnZ7hCDfPm46fKc,Mercedes Dance,7zYtjWZ8CZeIUUUrEWi7cP,7,not available
82,I'm So Excited,2u8MGAiS2hBVE7GZzTZLQI,The Pointer Sisters,2kreKea2n96dXjcyAU9j5N,Best Of,4ZcnXch8ZI9zlizDVTea1X,70,https://p.scdn.co/mp3-preview/df03e2377675391fbc2b9c0100bbd30772ef6905?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Places,4QcDkuGQx9824a6X9BZF4e,Martin Solveig,1bj5GrcLom5gZFF5t949Xl,Places,7jTFTS9Tt190soRQDUuLRD,67,not available
84,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,TALKING IS HARD,3mNoFlD1wsoXfkljfFzExT,53,not available
85,I Don't Feel Like Dancin' - Radio Edit,1qEHgdFqUxFebMPk8s2HLY,Scissor Sisters,3Y10boYzeuFCJ4Qgp53w6o,I Don't Feel Like Dancin',6LPpLYrjQYKtMfDUT1qjOz,68,not available
86,"What Is Love - 7"" Mix",2IHaGyfxNoFPLJnaEg4GTs,Haddaway,0Suv0tRrNrUlRzAy8aXjma,The Album,1LAx7yCVbGwskdnGDof8SC,65,https://p.scdn.co/mp3-preview/659374a67e87fcdc8ea1d975f65d3321084f4ab6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Jerk It Out,1bx7OUl2UmAnA5oZkm9If7,Caesars,4rGrN4XDYhP6dUAZMvcuHr,Jerk It Out,1D5ebxOCFrG8U6p98zZHCi,66,https://p.scdn.co/mp3-preview/fe5481ef8fbe5b2ba6f4417aa162e9f9d6d4edc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,All Summer Long,368S2jjTfDk9Hk9x9YDzwj,Kid Rock,7dOBabd5O4CvKrg4iriHTM,Rock N Roll Jesus,4BTUT5Nn24jXu0MdImRVct,60,https://p.scdn.co/mp3-preview/3aca8b7f503ef9a6994d00a0275ce5b54dcc15b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Fireflies,1mr3616BzLdhXfJmLmRsO8,Owl City,07QEuhtrNmmZ0zEcqE9SF6,Ocean Eyes,5Afh5z6eTtJ62nfqpKZtGv,22,not available
90,Last Friday Night (T.G.I.F.),3oHNJECGN3bBoGXejlw2b1,Katy Perry,6jJ0s89eD6GaHleKKya26X,Teenage Dream,06SY6Ke6mXzZHhURLVU57R,67,not available
91,The Bad Touch,2ypT0w7jeCwcEQQvNE5o92,Bloodhound Gang,6nDLku5uL3ou60kvCGZorh,Hooray For Boobies,4hirIN3Nve0AgH4pxLo80V,11,not available
92,Raise Your Glass,12lZTPlXwUtrQuhEty6098,P!nk,1KCSPY1glIKqW2TotWuXOR,Raise Your Glass,6Ozsat2gzIj9uXd6JMwYXz,35,not available
93,Children,3boi65u59Ex9jbhLXcXwre,Robert Miles,2YVF0Ou5zIc4mpgtLIlGN0,2gether 90 (Années 90),1FSKJ5qUXuWI8T1FoMSLZ5,56,https://p.scdn.co/mp3-preview/6d4d12a5e6d4d1d41db4b4a3db7854617b2c6904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Camila,2vD3zSQr8hNlg0obNel4TE,86,https://p.scdn.co/mp3-preview/663b794c2fc8da8f9bbe33698cb1bac567126a23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,It's My Life,6HdM7gzXVgcpepv276raog,Dr. Alban,6BkcAbUkfIBM4XudxieMq8,One Love (2nd Edition),5YPI9qfm2uuMxlq4CEUOFu,68,https://p.scdn.co/mp3-preview/161554d92cc88e782df9d4b8fa35cf285d8102b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,When You're Gone,7p9dd71JR2ucoAuO1Sy0VZ,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,On A Day Like Today,1xF1nKu3UL84l7CofB4QBV,64,not available
97,King,6pIZ0u32c2Lku8PmCWtnMy,Years & Years,5vBSrE1xujD2FXYRarbAXc,King,0OPchq4bHgKDaJUBJFITgy,17,not available
98,The Best,4OeFQtRyT7vsLnRTv7t8YT,Tina Turner,1zuJe6b1roixEKMOtyrEak,All The Best,64PNGg3YLgOkJ2ySlbrmPZ,61,https://p.scdn.co/mp3-preview/2cd973c9e0c5bc4fee869b8aa55151e53a678de2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,I'll Be There for You (Theme from Friends) - Single Version,5SlKhhXtzd3Cj74HYmHZNz,The Rembrandts,0gDg7FEsF4Y1jWddJJgcn4,Greatest Hits,34lMG72H2AkZbmWZ4JCEL8,57,https://p.scdn.co/mp3-preview/94f4cfca4d8e3bf1c96ca40f089436c44b133041?cid=fa83a2fec7c440b7a2795d600d6b2c7e
