Study Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
62,Simple Pleasures,0Ik7W3Ulb0rzg6frv0zdVp,AUGUST 08,2iB8eFB6flwQculkUrRssi,Simple Pleasures,6vbHvAIyxcZcaPe0HcDqHw,33,https://p.scdn.co/mp3-preview/bdd73e5aebe1376d8cfaa4068d17be4b3d87dcc0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Sleep On It,5S5Cf673GkmYWBJNcGAVuP,Gallant,7wFDo161xYdeaiLz3KIHoM,Sleep On It,6PBKOpCw2Hs1kWsNW9PsW9,58,https://p.scdn.co/mp3-preview/cd1887c33e14fd8b0150eee97f2e7c9cfe2fd73c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Why Do You Love Me,2y8iBf0QRqCKFtePi9Rl2H,Charlotte Lawrence,7LImGq5KnzQobZciDJpeJb,Why Do You Love Me,3TG1020RW6Fh4jc0ahtXGO,68,https://p.scdn.co/mp3-preview/5f3dc616908dc3ae417f37372713452459d5f1d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Confidential,0EuM1HAdVP3muzdSbvwjwI,Lara Andallo,2vUHihKugU0Ml0VZVgzivx,Confidential,1tejKuYIlMNFrHz4q4ymRB,39,https://p.scdn.co/mp3-preview/3be798ac82cce0d0a0f54128f670b878dc6039b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Daughter,4gUglmnnH6kYDVSwZ9xm2a,L Devine,5dhyUSoGhz79WTzP39vKs4,Peer Pressure,7LHsgYSLrq5OKJQHei367K,42,https://p.scdn.co/mp3-preview/b49822c2b98c478b75001c3a9378d2532a65fb61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Bed,2TRkNw98VCIZBT37oJ7qmC,SYML,6AyATGg7mDgBlZ4N5uNog0,Bed,3H6QLtVQkLSwEKyVc8s8XZ,11,not available
68,Back in My Arms,1FlAMUpKrjY4NdaqsXjl1w,Carlie Hanson,3mPc8WGusz2XF3Tvs3AKCR,Back in My Arms,4dvspekxkG2Etjyrwme4kG,62,https://p.scdn.co/mp3-preview/439a3959b87047ab723e9f04f7cd0fd8b7db4031?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Give Me My Name Back,6YIkU44i9mfapJ4Zfs1ggz,Meg Mac,4faUajx9k93O56nlmpkOuz,Give Me My Name Back,5YAOBLC1r8kUPAfKJnGLjJ,9,not available
70,Break My Broken Heart,2UfDeOnKQgquiKyStdgCDj,Winona Oak,3XC57xz74X3xUi1hv4mge1,Break My Broken Heart,44KkghWRHAWdnTlDRAGjK3,59,https://p.scdn.co/mp3-preview/8c1b85769ed47f9e56f2ac4a5873a4a5fe6bb090?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Brooklyn,0gvGXQK14CIGLssQhruY8E,Patrick Droney,78Rk1F0jGdipWWfrhyWwt3,Patrick Droney,3tdnCuYNUXbWjeTEfFFZ31,54,https://p.scdn.co/mp3-preview/c8950d0aa78dfbd41b364f61a36e75d941b627f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Paradise,7njKgVl3AnLflRad38o7AG,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Paradise,5mLjE4CPn8kNpzqNNslabJ,66,not available
73,Champagne,0CoKDoXmxp4rFAA1xNbfYb,unperfect,2hhJG8qYVcVIVnsv5hpEbX,Champagne,7kwQ0Ik11j8rAZqeHwB0XN,34,https://p.scdn.co/mp3-preview/f6c0c02f39691b08475a34ecab2c0cee247db174?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Other Side,1d9QFEAXThZVyzEiFqAHBC,Emma McGrath,3PZyI7b9LfYnS0QU827W8z,Other Side,1sV88MY4uepjGcoNyhHCv5,31,https://p.scdn.co/mp3-preview/68783c864f50c7a978af9e492af5e570879bb538?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,COLD W U,4XzC3JAObXOgPAJKX5sOlM,purpl,0qLq938YLoXapahHpnzVSO,COLD W U,2I4dDO2sE8h9fnzXNMv1f6,21,https://p.scdn.co/mp3-preview/c75949cf62abe3e1b6cebe9fdd1567026ece61dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,YEAH RIGHT,1VGzxJnVQND7Cg5H5wGj14,Joji,3MZsBdqDrRTJihTHQrO6Dq,BALLADS 1,34GQP3dILpyCN018y2k61L,81,https://p.scdn.co/mp3-preview/c93897405a1809244b633a5599ac341bf0e8f3c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Identity Crisis,0TbWdtDUgCpxi12aKlBnck,Emily Weisband,1am9EW2QubqpkCbg29vu5n,Identity Crisis,5R93Kynq73iZfrdpWngLNg,31,https://p.scdn.co/mp3-preview/c171024ff2f238b27174d186fbd71731e0b71357?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,BULLET TO THE HEART,1HMMRRcLsRARU4fzuycnRo,Jackson Wang,1kfWoWgCugPkyxQP8lkRlY,BULLET TO THE HEART,4e2ISy1Q6CSMwlDNfnYXkO,70,https://p.scdn.co/mp3-preview/73833248c6378d19dbc0a285b75b8d47e8be4c02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Cheating on You,0ClPIeT6MSgfSgQ9ZrJbAq,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Cheating on You,1cZNFKrwWK0PGqQFUspj3L,77,https://p.scdn.co/mp3-preview/d5a55ea557c5a06e1bf10abf93d4ec2a16b9f385?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,61,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Rumors (feat. ZAYN),6XjNLIoUiU2XKdbNp7PvHl,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,Truth Is,4vfE56g4oK4p8VVx7pThrU,69,https://p.scdn.co/mp3-preview/c75161034667556dfb6c4868a6f312ec812578fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,forgive,0cM5MPgaVH4aHrxA85s7Gm,gnash,3iri9nBFs9e4wN7PLIetAw,forgive,4yhwtGTDnJvodkXpbXBEGV,61,https://p.scdn.co/mp3-preview/002ceb58c5c923fa3604bc0cc00b656108c59279?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,These Nights,2n0oy8RGDpy6WGcLImTteI,88rising,1AhjOkOLkbHUfcHDSErXQs,These Nights,2ZHGnhsomLmLezueESi9ou,71,https://p.scdn.co/mp3-preview/ba3665499461dbe4f22bedef1b7f2d4941777cb3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,When The Fires Come,5dC2iwkAdIQir40oJ1Ck82,Kero Kero Bonito,6OqhFYFJDnBBHas02HopPT,Civilisation I,4NPyYcu2uggCCGwAq23Lej,41,https://p.scdn.co/mp3-preview/453da9c931b8332c21600bea2c537ed103a57995?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,The Least That I Could Do,7B0agS1sIVLUGYG5oVHZ3V,Plested,2nJYGgfTf2846LtVB3AES8,The Least That I Could Do,1lQkmbE6ix1E4uUhrselp4,51,https://p.scdn.co/mp3-preview/bd7efaf365f08d2c198e7a2ed833fdb1e374e3f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,wildside,6nq7PXZg3mPTAr53yjoflq,Baby Ariel,3ggXjUaLzPuY775WFABpXe,wildside,5OuCmkL9rJOYUPWf8uThv4,49,https://p.scdn.co/mp3-preview/85feb2e6285bf9bb0e317ba3cc6e621f98b308ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Walking (feat. Swae Lee & Major Lazer),1qbXrxctv75pm1lWCn6Zw3,88rising,1AhjOkOLkbHUfcHDSErXQs,Head In The Clouds II,7bOpX6Ilc9UCFmH9uGyUDy,66,https://p.scdn.co/mp3-preview/1e8690bcd59b8023a5f09f1864e792d9958f844f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,My Boy - Edit,0WguORZMIHRuKEyXnzOioL,R Plus,0lnAZ68xKGysVy084bTQmh,My Boy,6QTWDp9lo8zn2iTVRO9iAd,38,https://p.scdn.co/mp3-preview/ba5eecffbc0b26b01ac36ec7a4e7d90744232ffc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,TALK DEEP,6RMvf7OCYYSw4x2K8UakDt,E^ST,7ASucWaI33cepJbo74Hlo0,TALK DEEP,6QSypClxqJS7M5fhLSbuK7,45,https://p.scdn.co/mp3-preview/ba5f78511fefb247a0f921495adf9bb3647c55d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
