Trevor Nelson's Classic Soul Albums (BBC Radio 2),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
58,Whatcha See Is Whatcha Get,31zVbdSArgEhIEukaexolt,The Dramatics,2W8UTum7bU7ue6m0r14H97,Whatcha See Is Whatcha Get [Stax Remasters],5eTgGZB8jET3rFAlFLNMO2,0,not available
59,In The Rain,1f46EvwfOkFNLkBgMsVMcc,The Dramatics,2W8UTum7bU7ue6m0r14H97,Whatcha See Is Whatcha Get [Stax Remasters],5eTgGZB8jET3rFAlFLNMO2,0,not available
60,Get Up And Get Down,7iCZ70JjsZWsUpjfVk8ATq,The Dramatics,2W8UTum7bU7ue6m0r14H97,Whatcha See Is Whatcha Get [Stax Remasters],5eTgGZB8jET3rFAlFLNMO2,0,not available
61,Smoking Cigarettes,7Juc6qElHnXFHvMFr6TWEl,Tweet,6zDBeei6hHRiZdAJ6zoTCo,Southern Hummingbird (U.S. Version),7uAkY4ERL5Y0BopRxmd3AX,38,https://p.scdn.co/mp3-preview/95b0623cd4fd14876ff45a9cd89853782366b6c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Oops (Oh My) (feat. Missy Elliott) - 2012 Collection Remaster,64afZKCOK6u3iVMOLaRGLI,Tweet,6zDBeei6hHRiZdAJ6zoTCo,Get Ur Freak On - R&B Anthems,2jMO6nL86sKZR1UsvZV54s,1,not available
63,Boogie 2Nite,5ek7B40dJ0AVmC81lyTAJY,Tweet,6zDBeei6hHRiZdAJ6zoTCo,Southern Hummingbird (U.S. Version),7uAkY4ERL5Y0BopRxmd3AX,44,https://p.scdn.co/mp3-preview/74f65277e4bf6656edde1fe260d8f98f7118ba10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Cause You Love Me Baby,6UfOJM1PWbP3KBEFdBpu9f,Deniece Williams,5jNGQ7VOU87x5402JjhTtd,This Is Niecy,3Bm6wXeviPSMpJyWTGuXVV,0,not available
65,That's What Friends Are For,0aC4gOlewoI54mD0zwKS5m,Deniece Williams,5jNGQ7VOU87x5402JjhTtd,This Is Niecy,3Bm6wXeviPSMpJyWTGuXVV,0,not available
66,Free,7Kwa03KjnP6UtKJLQorNmM,Deniece Williams,5jNGQ7VOU87x5402JjhTtd,This Is Niecy,3Bm6wXeviPSMpJyWTGuXVV,7,not available
67,Pusherman,4LZxCSEA0ntfrP4ULZsmlB,Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,Beautiful Brother - The Essential,0oY0JQR52E8uSBBBUr8x8b,4,not available
68,Freddie's Dead,7jmqTPoxOQsC2w9Cb6z78q,Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,Beautiful Brother - The Essential,0oY0JQR52E8uSBBBUr8x8b,14,not available
69,Give Me Your Love (Love Song),2Z9BzRkYKTYWqhhuKK1caH,Curtis Mayfield,2AV6XDIs32ofIJhkkDevjm,Beautiful Brother - The Essential,0oY0JQR52E8uSBBBUr8x8b,1,not available
70,Stay For A While,6bEacQTThrw9P1RiIBGs7P,Angie Stone,2hWr3AjjKOCVmWcwvuT4uM,Stone Love,5RBN1ZISk3zHXQM8Rtg4CB,25,https://p.scdn.co/mp3-preview/78bebb865a9ad6d93bd56a013dc98030bd59c3ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,I Wanna Thank Ya - Without Rap,4BZ4zANsRr8yXHnAIz0jlw,Angie Stone,2hWr3AjjKOCVmWcwvuT4uM,Stone Love,5RBN1ZISk3zHXQM8Rtg4CB,19,https://p.scdn.co/mp3-preview/6728d3060718e3c35aaac1a4b81acc41bcb51b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,U-Haul,6nEJciQRIMIF2TfYUN0Ma5,Angie Stone,2hWr3AjjKOCVmWcwvuT4uM,Stone Love,5RBN1ZISk3zHXQM8Rtg4CB,26,https://p.scdn.co/mp3-preview/b576b8df23e7be7dddffcbc0345e30b88d0bad6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,That's What You Get (For Being Polite),1aYkNsbLhZqqEZv1eKwGVr,The Jacksons,2yrbLiuBmc9j81lTX3XUuI,Destiny,3pIvt7ca8uJmrfnJAQA5l1,0,not available
74,Blame It on the Boogie,1qDxpXApOmGgfkvq8DNhFT,The Jacksons,2yrbLiuBmc9j81lTX3XUuI,Destiny,3pIvt7ca8uJmrfnJAQA5l1,7,not available
75,Shake Your Body (Down To The Ground),45Rs7u5BugzFQC8UT2IOO2,The Jacksons,2yrbLiuBmc9j81lTX3XUuI,Destiny,3pIvt7ca8uJmrfnJAQA5l1,0,not available
76,Paradise - Remastered Album Version,5KsLLIpsslGTmSKILkhyp8,Leroy Hutson,5YJjMGHVQj1IHBabXX8lH6,Paradise (Remastered),0aVMTknKy6rbFESKvOlOV3,20,https://p.scdn.co/mp3-preview/fcd08721e951c3d811b869186c69df0797d88619?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Classy Lady - Remastered Version,2wSwWfqpMBkHBOkb6cCB7o,Leroy Hutson,5YJjMGHVQj1IHBabXX8lH6,Paradise (Remastered),0aVMTknKy6rbFESKvOlOV3,29,https://p.scdn.co/mp3-preview/50408f97ea3e0fb80f61c2109e6a2b40b9c2d427?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Nice and Easy,0aIDngCPRNQoCzU4neV8Vf,Leroy Hutson,5YJjMGHVQj1IHBabXX8lH6,Paradise (Remastered),0aVMTknKy6rbFESKvOlOV3,18,https://p.scdn.co/mp3-preview/820e141accee63870be44f7aef6b384e56c937aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
