The Sound of 1989 (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
78,Funky Cold Medina,2VWPTcpDIdObAvk4UtcJz9,Tone-Loc,5Y8EphH8Vdqu5SLj6K5vjj,Loc-ed After Dark (Expanded Edition),7oHrBuKyui2FuahpEovPBN,3,not available
79,Do The Right Thing,15ZvFPG9YQ5haKUDGl9xuv,Redhead Kingpin,3eru99lOKhgL99zE3hZOxw,Pure Dance Party,3EL2ErCCSwwvLn2J4ulwVo,29,https://p.scdn.co/mp3-preview/5cde1b62db054b616596a7eee27ad0552d3229ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Higher Ground,5HyBLokK2UwerwNhI9W3eq,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,What Hits?,2tPDuNTakdxcbfhHSi7Rc6,36,not available
81,Luka,1tcbpG0TM6R85okF4ShFPE,The Lemonheads,6w7fc6IZlo5zwBaKT5jU1X,Lick (Deluxe),4zds302RZHfaCe1WM1Wt7h,0,not available
82,Roam - Edit,0jfONt56vckywtWwm8wjki,The B-52's,3gdbcIdNypBsYNu3iiCjtN,Roam [Edit] / Bushfire [Digital 45],358HXGRtcfbe1WSVPAuyCS,47,https://p.scdn.co/mp3-preview/de59d82cc147642543a65f896964dad66601c4dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Pink Sunshine,0MB2zkDVS6ef4mbSgW5pTQ,Fuzzbox,6iKe6ON2rZrdXbuuhI3Gat,Look At The Hits On That!,2PG3J6zncWDC0uTAHMiADn,24,https://p.scdn.co/mp3-preview/c2880c9acde42fc8529ab620463d8081c2b17070?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Baby I Don't Care,6SQG4EWijzq9nA48drdQi3,Transvision Vamp,7oIgcNOdEHNwP8NFl9tYWs,Velveteen,3BVlvv5IYMfnmUx4KzvGqG,2,not available
85,Hit The Ground,0xV7OgksNdO1edbCZFFOj3,The Darling Buds,6m0Povbq4YGsURJQYtJcRR,Pop Said,6MZiXYQAFdAdyjILKOYgVa,7,https://p.scdn.co/mp3-preview/e6b8c105c76bf661bb43551d47f60a22f2f7a311?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Regina,0FqPngxZEb1ZLA2E4vfvdl,The Sugarcubes,1G0Xwj8mza6b03iYkVdzDP,Regina,1vMpLaIkn6AM4jHeX5rmPt,0,not available
87,The Sun Rising,5hFC9s6FQoFSPY3stQQdym,The Beloved,46h3caIKtqPlEfRHuSdibg,The Sun Rising,1x1eLeMvW2VZwKS4ZVyDwB,0,not available
88,Make Believe Mambo,74V0PhSWlBtHvBQAMYMgsX,David Byrne,20vuBdFblWUo2FCOvUzusB,Rei Momo,2JQU5ZvGycMsa7gITyaGb6,36,https://p.scdn.co/mp3-preview/9ff4bc7231f494efda9b8f685866d8334c854b2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,The Beat(en) Generation - Remastered,4UuQYk4H88vLxVH2uW2QEy,The The,7cKtqv9cYVlOwnuCFH95ce,Mind Bomb,5LojzRPtiCJKzDzBzAxNgM,32,https://p.scdn.co/mp3-preview/719d031cab757213c8394918109483cca68e37f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
