Global X,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Tingo,0ecNqlMryd0wdgZBeMFVkE,Arjun,5tvfyAT4aOIOkumo6vw1yL,Tingo,0Dd9m2z1c4tpwPhtnG7GwJ,61,https://p.scdn.co/mp3-preview/b77a8b9f5cf5c7c35b18378aff76bb6ee8a6941b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Chicken Noodle Soup (feat. Becky G),6wyr4ReB05D9sJB1Rsmcqo,j-hope,0b1sIQumIAsNbqAoIClSpy,Chicken Noodle Soup (feat. Becky G),76IRLp7YzBVLKsat6Ro9ae,81,https://p.scdn.co/mp3-preview/dfc669bfa86bec8fe74de00b249fe1c75c748070?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Flashy,41No0XJqpkBagnt5p2fHrZ,Maleek Berry,520qA5VGL9iI0SbmEnTVNg,Flashy,39P7ttEhx5JCFqAe7VLB91,64,https://p.scdn.co/mp3-preview/e011daa5e2aa3fe1b0492420491793d330ce5e56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Callaita,2TH65lNHgvLxCKXM3apjxI,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Callaita,06S3Qjh4QWLtn6c7CVhYh7,95,https://p.scdn.co/mp3-preview/23c0b25cf824c1bfd7a814fe7cd1264c31a5a9dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Sehera,6uFuNi4PcNQzT2uGOQ6Vdi,Ali B,5quv5QEyL2XAloebaau69m,Sehera,3eccvFj5TzuWgj10hkBpVY,53,https://p.scdn.co/mp3-preview/e03b3f8d3b792ec7acc32e1e8239cf0e9067a60b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Vai Amor,2ilvTstOiWDmsGf75lz6Ka,Gilli,2KbikmQKGiUPR2ARs1h0sq,Vai Amor,5IF6S8VXV84RIHs33DPE2B,64,https://p.scdn.co/mp3-preview/971490f35f7f7966ea067c28e23500024017c37a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Yalla Habibi,5QRKFMVNETa4x6c014LPz0,Luana Vjollca,2pF2CPS9lzI3U0ABZk6ZBy,Yalla Habibi,1JorTyeL9S8s7pJDG9loK8,51,https://p.scdn.co/mp3-preview/72e73eb34f2ab07542a927d8e1c1b23629ae8852?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Don’t Need Your Love,7oEm5Q1virEUB9H0XjWZzF,NCT DREAM,1gBUSTR3TyDdTVFIaQnc02,Don’t Need Your Love,2e3TvxplnFh1HcFUcSe39u,72,https://p.scdn.co/mp3-preview/13b30630a60a63117eb8752baa549bbb6fdc836a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,COMO UN BEBÉ,7knLcYCOSaURD0d7HUULFM,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,OASIS,6ylFfzx32ICw4L1A7YWNLN,79,not available
29,Feel It Too (with Jessie Reyez & Tory Lanez),0afSDk3PxzQGY6rIdf30Z0,Tainy,0GM7qgcRCORpGnfcN2tCiB,Feel It Too (with Jessie Reyez & Tory Lanez),4xOKqHPmVztXkOS7CSHcSN,69,not available
30,Hãy Trao Cho Anh,0f5yQttJS5nNxRAleF4kZO,Sơn Tùng M-TP,5dfZ5uSmzR7VQK0udbAVpf,Hãy Trao Cho Anh,2bPHnJXjR8q8eC84jCmNt7,63,https://p.scdn.co/mp3-preview/757df0941c434b1d85eb5529ebc9f56fb8cf72af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Enchanté,2tkoWmkxoguVRfO5lya0B1,Faydee,5v7efr4mqt3RQxkT0Mmh5g,Enchanté,1E4DeAkKMGDalLNrUgX3vz,51,https://p.scdn.co/mp3-preview/b3d3e66c19b2d4693b1c39ef14ab6bd10e08bf21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Hard Way,6i4jsl79YpQlyvELNcPXWI,Young Paris,44DhAhLWsSFvSqVXDUruVE,Blood Diamond,10Jfq7fKoTetYgYLoXrLbO,52,https://p.scdn.co/mp3-preview/d6f19273cf5b8d4884b03709593ed7681cb0ef19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,No Lo Trates,4gqMVEJSaL5nNeKj5WmVoT,Pitbull,0TnOYISbd1XYRBk9myaseg,No Lo Trates,4K6B1KumSxNR0SfbLk66N9,82,https://p.scdn.co/mp3-preview/728d1032b35d9b31f2b079c83fc20ad315b5b2e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Shine Girl (feat. Stormzy),3uAuSelpsppdSCgnSLPn03,MoStack,14H15rElxdGClICOZXEYHP,Shine Girl (feat. Stormzy),1BUxXzT10AMAgJR8FTRjA4,64,not available
35,FIND YOUR WAY BACK,65kk9CAAqFI3LWBEhUwVqd,Beyoncé,6vWDO969PvNqNYHIOW5v0m,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,66,https://p.scdn.co/mp3-preview/43718dbb86460b676dd73b7806ca11112d1b7725?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Remember,4Ugfyjzf6w4p7SuupVPNDy,Jack Sleiman,4eewS27bMIhWcXGukOdXAj,Remember,08zO62kPCjPadk7BJN7TDy,42,not available
37,Caliente,3wjl3uPGckJUAeI5cRG0bZ,Mente Fuerte,7siPnM6FjNP8KnXO5YDwAH,Caliente,0POVd6EQEG02xIL01jsF0Y,63,https://p.scdn.co/mp3-preview/91a05bcc1d0692252e0a986fff5127c4c24003b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,On est ensemble,3D4grVt30zWlk3Iy2YbMAV,Sheyrine,1vffj1gM07caokEg1Ft6Y1,On est ensemble,3az1pDxBNjHQksR0Xol147,44,https://p.scdn.co/mp3-preview/fb0d4a14db48090df4255b23d60653fb9a62eebd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Stars,2LWE43Hw4rA9IpVHpVB9JR,Sanjoy,6qjhYs5KNSoSU6fNJqDGIo,Stars,7ziiOyYIFBv9mLihLDqvCE,41,https://p.scdn.co/mp3-preview/f7f7a7973981202699dc1ea48a6a12104428e0e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Million,1xAigOysO9LFh0pervCK6o,Ricky Rich,1gm1katIowFM22Ldqcw6DK,Million,6fS5G2890yNZB44p81pasc,61,https://p.scdn.co/mp3-preview/69aaf93abcf8092fdb8a8c0f1b68f65fabb0c352?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Kya Baat Ay,1ZaeaGLhFSckG8sv1y7AWk,Harrdy Sandhu,4ITkqBlf5eoVCOFwsJCnqo,Kya Baat Ay,6dGrLyjo05QYx1djXmioIk,65,https://p.scdn.co/mp3-preview/d2239a87a61b242794b71fd97a6299d23c17ea68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Toi Et Moi,6S3ob9QKsksKAkIZTv34PM,HABIBI,3RwYN0Swosf86cRdNn77Jt,Toi Et Moi,6wreiaQssyUm1ZNcVO17eG,38,https://p.scdn.co/mp3-preview/d90bb97ec90912d73aa6dd6b94c1e05dc749b35d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Aute Cuture,7dQFpbs34ufIEU745DVclf,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,Aute Cuture,23irnvaijPHVE7682D4G3f,76,https://p.scdn.co/mp3-preview/af4112e6ad0c6ab26cb3772159dd8a03fd11ad9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Bayen,2zHtgtHSaf9IVWKBNmYSIr,Hafssa da,3je2Qm410oPDfwG0hmFJ6U,Bayen,2dfbd0wdSyuBRnQ6YRzMS4,51,https://p.scdn.co/mp3-preview/36389a9e428fd2d5a32ffa1577868b2531613d38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Lights,44vXWYTcdrejrIQZEoHzl8,BTS,3Nrfpe0tUJi4K4DXYWgMUX,Lights/Boy With Luv,0rHMQLHyw0Bt17fRTJEqh6,77,not available
46,Yallah Goodbye (feat. Gringo),70zRDnEkOhVb51fZA13khd,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Yallah Goodbye (feat. Gringo),7tWDEXNaCfAlbOEb1Ky0oF,74,https://p.scdn.co/mp3-preview/6368be6fdedde204abe235e974f4c12b610f4597?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Before You Wake Up,684hZgWhW3ZfCzSnlBtyBC,Adekunle Gold,2IK173RXLiCSQ8fhDlAb3s,Before You Wake Up,6QpR9zkKWNXdohdXbI6Bma,44,not available
