Turning The Tables: 21st Century Edition,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
91,Let Me Blow Ya Mind,3RmKpob8xzv1pzHEQrMJah,Eve,4d3yvTptO48nOYTPBcPFZC,Scorpion,6ZWL1xSTEvqs5A6dBh8vZw,72,not available
92,Ghlana,3PD3dEs0ZADzjDi71v67dY,Noura Mint Seymali,2HnmTIZBaC6upua76nuGIY,Arbina,6JBjWrsydl3DkCJDA6Q8JU,21,https://p.scdn.co/mp3-preview/87cc65659aa172caaf43850fafa118e2c78aae23?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,California,0R1o96fLvysaTMKAxqrl5d,EMA,0MT8Af4BlhE02l91O6cfyQ,Past Life Martyred Saints,6S6Mlvc34kyGllnR4EF75o,25,https://p.scdn.co/mp3-preview/d7944bca9ddfacd5c0f8ec07d8d932a51c7e1483?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Clean White Void,2s7zXZ1I2tAFwp4Wn6Uw7j,Ludicra,4zn8y847b3ZrbwmU3xOUca,Tenant,156jl5DzVWjnBL4Ka3lAGC,6,https://p.scdn.co/mp3-preview/24ba0965cc222052e0c463f551b56f94211b69cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,LEMONADE,4rcxSQEuGn8ZXvFtbcNDGZ,SOPHIE,5a2w2tgpLwv26BYJf2qYwu,LEMONADE,2v8hEju5JfrhVrWIFDH6iC,42,https://p.scdn.co/mp3-preview/172ce73d9fe2117c1e65a5cf2536165b204f40b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,1977,7tOAN6w4a1LD0iqkRnIrhZ,Ana Tijoux,40JMTpVRUw90SrN4pFA6Mz,1977,3ZhTbUZNobDXuzcYWGzxA3,53,https://p.scdn.co/mp3-preview/06cafb60c98b07ccfc924f75192aa0950d8650ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Alaska,4DyfJFTQb27adTDdhFeSgD,Maggie Rogers,4NZvixzsSefsNiIqXn0NDe,Now That The Light Is Fading,16wZsyXQ463IYlrXyJnRfY,60,not available
98,Birmingham,3lwcrfL6LfZ1p9ZU8KRx4n,Shovels & Rope,1M3BVQ36cqPQix8lQNCh4K,O' Be Joyful,6YEijTlqiq6aidUCEGHysk,55,https://p.scdn.co/mp3-preview/a176b9707d9abecc9c5417e0f56f91caf7b3f765?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Pynk (feat. Grimes),5OpiyfqaQLdtwHd3SfembH,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,60,https://p.scdn.co/mp3-preview/e7c017b449966914c4d6c380f902f634241b08ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Countdown,3axkNosdVQLZiq1HakuGhc,Beyoncé,6vWDO969PvNqNYHIOW5v0m,4,1gIC63gC3B7o7FfpPACZQJ,69,https://p.scdn.co/mp3-preview/ad046f8b135785f005bf84b63d657299cd6010ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
