Roséwave: Juice Up Your Summer,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
72,LMK_WHAT’S REALLY GOOD REMIX_ FEAT_PRINCESS NOKIA_JUNGLEPUSSY_CUPCAKKE_MS. BOOGIE_100 BPM,1q5h9UkGVYVoec4ydU9P0d,Kelela,1U0sIzpRtDkvu1hXXzxh60,"TAKE ME A_PART, THE REMIXES",00bR0PfkGVAizXpN05DYrs,58,https://p.scdn.co/mp3-preview/b8ff23c83ac656ca31c9f078e66f27be24fd2517?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,DameLove (feat. Cuco),50jNfTe68NRfCXsBdTgh5W,Girl Ultra,7i1CyQ1fogh4bkj3EPj3ls,DameLove (feat. Cuco),1i7LHFlyRmuwfRWlghFXlj,53,https://p.scdn.co/mp3-preview/d2d0baefbd56db2ae32de3559bc9ce6ab538157f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,When I'm With Him,4vBlxgG7iM8WwjLMHKpNkm,Empress Of,5QuBVnBPEzwYvFrgBbwpmU,Us,30bFyVsboSI6Nb7roQCgq8,58,not available
75,It's My Life - 1997 Remaster,4jhsuQCUCJKA5f0bXb6XdJ,Talk Talk,7Fo8TAyGJr4VmhE68QamMf,It's My Life,152Hw6E0tNz3EQNq9c1CDf,67,https://p.scdn.co/mp3-preview/88114f34b988daf22d4e1dda080492981a06c9a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Mirage,1TH7lyJW4CgUhQ9eznMcFX,Satin Jackets,5Gn7NoCZvbVlGgtZMILRcv,Solar Nights,2JtbqbB7Y7k1Ck1RxC9rfs,50,https://p.scdn.co/mp3-preview/151a16390a6ebce2cc0feb702280f9466a883cd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Extraordinary,5fIGsUTmNIfJLZhqCd4D5h,Liz Phair,2LXeJdQVcFkhkWydphLI74,Liz Phair,0rbgxvTKe3Y4VRar4sIYzT,39,not available
78,Keep on Loving You - Remastered,4rcHWl68ai6KvpXlc8vbnE,REO Speedwagon,55vs7NT1KxcFjbMC4y202E,Hi Infidelity (30th Anniversary Edition),0X4ZNTZw7SYgrp5rlBQC3N,72,https://p.scdn.co/mp3-preview/bfd808d97ffddfe8bde9f9a0288b9b32cedcaf85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Heart to Break,2Cu5ExXidcoE4vF5hIYict,Kim Petras,3Xt3RrJMFv5SZkCfUE8C1J,Heart to Break,4HbNtklEO6XJv638wZ1MZg,64,https://p.scdn.co/mp3-preview/7831b3dea79fdf8f35044f13c8b6a0b34c2d97a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Starry Night - Original Mix,3N56XgwOdeaZytLkQWyQ4A,Peggy Gou,2mLA48B366zkELXYx7hcDN,Moment EP,5DVxYboDLgL4zR9aus1buM,52,https://p.scdn.co/mp3-preview/875ab9392bd283f66f1bd1f3f2a22c6be7d45832?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Summertime Magic,4j3GWI86JvSaF0BLdmgcfF,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,Summer Pack,15k99o4mZJ9mfpQGIOrZ45,74,https://p.scdn.co/mp3-preview/54b992f72944542c137df6bbb1080f6f76c9df67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,By Your Side,6aXGgKVRGXlMqQYCIQqo4s,Sade,47zz7sob9NUcODy0BTDvKx,Lovers Rock,0vNJ7P4dpArAiw5wBmsA3A,67,https://p.scdn.co/mp3-preview/b760847da7fedba5e96b0d2c5f6464f03f51ecde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Right Side of My Neck,6RxFSL6ZrGxmVHmN4seMub,Faye Webster,5szilpXHcwOqnyKLqGco5j,Right Side of My Neck,5HN8rVoIAOlkWeGfZ5AXD1,35,https://p.scdn.co/mp3-preview/20a6a56718c2e8b4a9a78e0c0e28681f4d7d1966?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,The Bones,3npzogdOEiVsieXmmhBepL,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,GIRL,5QakU0QMcoxjjyCS1YW4G5,82,https://p.scdn.co/mp3-preview/fc33627ba3c42dbabe573a25fdc467375df2d7f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Motion,0Z0bnTn6iu3ufyv7p1KmjH,Emotional Oranges,12trz2INGglrKMzLmg0y2C,The Juice: Vol. I,3No5rGRQefAlVJgWusDEwQ,59,not available
86,Blank Marquee,4Ipmi2u1eQ45RaYk4Rl512,Yuna,3kHVioJpVxlazAAKQ64pC1,Blank Marquee,5d2TPnMOde0tUIfzDZwAcr,56,not available
87,CIUDAD DEL HUMO,0Ju37DOH5ciZpCTJtoHX0L,NOIA,7ME5Ue2P7g1BP11FRWr7LA,CIUDAD DEL HUMO,2GEZNNzrIPYNDxe6Kuhr8v,16,https://p.scdn.co/mp3-preview/ad906eb4c6927625864144b856126b141032005d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Binz,7yvdp8dqmxExSJwT2fn6Xq,Solange,2auiVi8sUZo17dLy1HwrTU,When I Get Home,4WF4HvVT7VjGnVjxjoCR6w,63,https://p.scdn.co/mp3-preview/3115723717602ad7a6201d86ae736d8a634ed55f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Tu cama (feat. Jesse Baez & Paula Cendejas),0jwBcbhXvy9ulQoIKsls7x,Alizzz,23herDudxPBB3S81GB5uG3,Tu cama (feat. Jesse Baez & Paula Cendejas),0bT75BuHzGOP2eZSJk92kJ,50,https://p.scdn.co/mp3-preview/f80473fd4d1ccbe8696bc5049c6aa29035c21cd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Can't Get You out of My Head,7MoKXLQeI0Bh2QodCjDO4K,Kylie Minogue,4RVnAU35WRWra6OZ3CbbMA,Fever (Deluxe Edition),2QDWFfsBr3EngvBwPtxoIY,53,https://p.scdn.co/mp3-preview/8698fb43a16503ad290e738649a19d1663b9cbc6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Pull Up To The Bumper,44RgvgVg1uZLNTxsZdBumY,Grace Jones,2f9ZiYA2ic1r1voObUimdd,Island Life,0aYVRq7buOcAFEps6qCNtS,38,not available
92,Up! - Red Version,09vLOXAN08YKgKv5ZL7tWX,Shania Twain,5e4Dhzv426EvQe3aDb64jL,Up!,19y6fI4VdbDlLVtACuvcdm,43,not available
93,Hurts So Good,67eX1ovaHyVPUinMHeUtIM,John Mellencamp,3lPQ2Fk5JOwGWAF3ORFCqH,American Fool,4gouGcdQn9OvjX42xnWrF0,71,not available
94,On The Line,4psKlF9KjmxINi8XxykRkU,Jenny Lewis,5cMVRrisBpDkXCVG48epED,On The Line,2AHG3vkC3H7zqHbYdgCCcy,41,https://p.scdn.co/mp3-preview/49fbea086b0725a875668b92fdb058a6141dceb9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
