Sweet Soul Sunday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
52,Paralyzed,4db80a53ijoTpZwZ0DTbRs,KWAYE,5dIssYf7lu8wufkQywN9WJ,Paralyzed,2gFCo2FU7jmB3g0OWJ2qEl,31,not available
53,It Is What It Is,6SYoRoUpmoNExhrZdfbmU4,RuthAnne,31rVRoX5ZG9ZyRbHvlEwjA,It Is What It Is,05FGnh87wuyDU0TtHordoB,44,https://p.scdn.co/mp3-preview/967afc86a38f14ad4aa5aee95e2a67fd6d69b728?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Mother May I Sleep With Danger?,6rZtlYru44l92npSBTbUN7,Joy Crookes,5XMyhVhi5ZN2pi0Qwi1zXS,Influence EP,6znFcVbDZJpb6w4bSdRrXv,58,https://p.scdn.co/mp3-preview/ea2190981d75d9669f80736fb259169ed5a0176d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,A Song for You,5spAjqC772iC2KzDvEkmSr,Donny Hathaway,0HU0U9kdXEHZVxUNbuQe8S,Donny Hathaway,4yzozr59813IAXnxhWUl7i,68,https://p.scdn.co/mp3-preview/03420ade331114ca526cc3cbc7fc7a71f11f045e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Cold Little Heart - Radio Edit,7KX65PC1UZuImsUInThbav,Michael Kiwanuka,0bzfPKdbXL5ezYW2z3UGQj,Cold Little Heart (Radio Edit),55A6d8TOuiAs6zDiKj2c3A,73,not available
57,Sunday,3QysXZ7h7NIsi8WAusDCBR,Easy Life,7uwY65fDg3FVJ8MkJ5QuZK,Spaceships Mixtape,2sJpAWgdzITssIX4qeuifw,59,not available
58,Don't You Remember,1Gs6ykVBp9dZFyG8ju69Oh,Jalen N'Gonda,2kEDso93O2hDgCbnuiSkkZ,Talking About Mary,3BzDWMRujwCzXsCHjWAaSg,45,https://p.scdn.co/mp3-preview/f5b168a0a31ec3e978e68800a9021f2772c66efd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,(You Make Me Feel Like) A Natural Woman,5K09WxKdlkroDyEVyOSySy,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Lady Soul (With Bonus Selections),7lEOKZaOpqP70UYqdLPejG,70,https://p.scdn.co/mp3-preview/5a75bcabe432f6ebf029e246d5d1ec663bba6156?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Wintertime,1HWEOHLnFbRqgSVEK59gEq,Norah Jones,2Kx7MNY7cI1ENniW7vT30N,Begin Again,0iDASlJ6faB4ZDVkKlqbHj,62,not available
61,Good Enough,718qSz1RKYo2VRQnGDXjbJ,Rachel Chinouriri,4wrzxtBZw20ufDstKyTnnP,Mama's Boy - EP,1DdkJAbrQethx3OnWtyNQL,26,not available
62,You’re What’s Needed in My Life,7lxJhVt2HXwDVWydHcNOdo,Lee Fields & The Expressions,2bToe6WyGvADJftreuXh2K,You’re What’s Needed in My Life,0oMCJDbnHwEPAK0ikxVu4Q,5,not available
63,Whatever Comes to Mind,0ntyYV99MFp7f7MGZlwYj4,MorMor,63vaeIIBKIe9zT91EORVbr,Whatever Comes to Mind,7i0hz2V6eKGFBqrvJANFsN,60,https://p.scdn.co/mp3-preview/c240ed8cd26dc8357921c6884fd5b6fe51f25f00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Where We Are - Edit,4ebNp6KQ4cUVeD3YSXcWTI,Curtis Harding,0CUpzKPDfIVzYqMn47jiV3,Where We Are,7ckwltseCfQmCc7JvobNeE,48,https://p.scdn.co/mp3-preview/27632a8208c4b32abb5b9aefdd9a956693cb613e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Something Real,6BvozGy9krdXhwDY0qgr7t,Andreya Triana,6SKEuFZYhaTytrhtJjgnO2,Life In Colour,36zNWjjmLyBcqEGGmKuO5O,36,https://p.scdn.co/mp3-preview/87e9b6742cc2639954f97a4968f6c8c860f61e5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Square One,3XVZslkZdphIHb3QZEwpj1,Moss Kena,2u6jNcpusijFS6ZzuWRwMv,Square One,2oMS6oKJKCY6lC5Bfvkq2c,8,not available
67,What Am I to Do?,2HtpC9dJ6jOLa4OMN0nnfj,Ezra Collective,5BRAUN0yN8557PLRZIr02W,What Am I to Do?,2e4B1dudmjNKztr1qBEA7N,53,https://p.scdn.co/mp3-preview/f8cb91f1a67c4e7c2782e237b9dda7c3d99b1aaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Doubt (feat. Wretch 32),3zmS23swrDKQGPIr20Ldl9,Samm Henshaw,1Q2mS59tFYLm2KGFoCgWN4,Doubt (feat. Wretch 32),2lVQ4WSstK0N0Z4nyeR10k,54,https://p.scdn.co/mp3-preview/80a5c3749925f4cffa79f0f1ed0344080893112c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,King James,0TtSoFrbLGjmpIgY4KgBeq,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,King James,4oLEB2ABMfxqC6mchADZp7,17,not available
70,Love Falls Down,5X5XhvErlZwcy9Mj0O2aVV,Poppy Ajudha,6oPQiSj92N4mk5jXLtX1bl,Love Falls Down,08WEyVCx9yGsm8as4jbyOZ,44,https://p.scdn.co/mp3-preview/da2f709e50121dfa3086ba032b6b668ad4504593?cid=fa83a2fec7c440b7a2795d600d6b2c7e
