The Scene,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
60,Bring Me Back To Life,3WfRxX5uM7RfgqLnzftK0g,The Dangerous Summer,0iMnpaEHXkgMT956CmP1kj,Mother Nature,5Mh4kAFfP8BXkhS6PAfx6H,44,https://p.scdn.co/mp3-preview/fc4d5520fe5eb347df6e3694ca0d04080d1488ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,For What It's Worth,2kApQ4IdatPcNEdYP3Vluf,"Sincerely, Me",1zzb0p4HHnAI0MsOWFMdR8,Half Empty,1yMVC1lUAGlniJkmyMyWex,36,https://p.scdn.co/mp3-preview/2059089908d05d6a3575ee4a5be85fb170af47d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Emotion,6nUSBSf0IxajomBZxuSD5h,bloom.,2pe5XkD5nb5nTQeVsPn4uD,Withered,0FjBK3l1bTQUfTBb0N1d8Q,21,https://p.scdn.co/mp3-preview/773d5f46a86bad77ec54523388d784cbc35b56d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Soul Drive,2G40INFnvdXvMMr4dYa5Ra,Stickup Kid,54ePTSLN5k7BMWG3SKEw1n,Soul Drive,0ewm87FpviLq8YWQdRSEVO,32,https://p.scdn.co/mp3-preview/ea88f460dde88d37237f479143cdbc0e82903859?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Beg,3s9oKWdvPOF7KMgtApYVE4,Crooked Teeth,37gTAIe8kJ5xGtkJLsfFgP,Beg,1gb1U1Rb3xqq6xMFGHrcSG,1,not available
65,Down n Out,1QXJBDe8hoLuPL42MESrot,dying in designer,3QZxOYl5zlZtfigtXOZsfT,Nobody's Happy.,1GcSmvPFKJ7srxo4MzxFtt,33,https://p.scdn.co/mp3-preview/6f5316d969494ef9b401c52118bc4b7edab4ab98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Artorias,2Wtxf69QyhLU9fswgoD6Hd,WVNDER,56LuTyFDFBgcq4hkc4XMu5,Nothing Stays,2yP06M3lbojJ7ihnjlSdX5,31,https://p.scdn.co/mp3-preview/48628c998feec50387a48e26b0f46dacd3db9102?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Lose My Number,6zdtODRpVe9dVI5vuCwB88,Osatia,5UBwuSmeshlKcUXHHT7siy,All in Time,6N2gLkY2jG2YMzCVS7IKja,37,https://p.scdn.co/mp3-preview/d9f8a26a1914e6f1523716085c9cb00f12f36980?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Burn It Down,21iym8UpADqnG2p5GrzHrb,Silverstein,1Tsag5J854qxeOo2apszug,Burn It Down,4CAwR5GCqpfDAHE85WsAqK,60,https://p.scdn.co/mp3-preview/4ac3eca068922dc6ba41072f2e92270f62e7f797?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Upside Down,6trJelO46qKNUso5FtqgzG,The Story So Far,6meTcQ79DrfkIuSLPZkpBg,Upside Down,7HFSSWViGV3f6FvIY8evex,41,https://p.scdn.co/mp3-preview/346a351727071776eb0dbb21c1781591289771b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Better Way,0LjklANrsd2v6HheBkMyOb,bloom.,2pe5XkD5nb5nTQeVsPn4uD,Withered,0FjBK3l1bTQUfTBb0N1d8Q,22,https://p.scdn.co/mp3-preview/0aa9a9a9bdf18866d833cf10d55d5c2576a0c7ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,King of Nothing,6sPXo5wTA3IKBK2mOJbUbY,Broadside,7EGdqeEDe7WMqOVyDFUYyo,King of Nothing / Empty,4jJzaQ6ovtPPqnMErF6xfR,41,https://p.scdn.co/mp3-preview/99adce9508287a6ada418b053ddf079d0b9945ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Awful Truth,6f5XzjOhGFDILR4O65Uw6E,Woes,75l6n3i5Hmn8vCUZeMIM6F,Awful Truth,1MDn09AnqSFyuecD4MUn4L,30,https://p.scdn.co/mp3-preview/cee8067292306b03a1039b2a2c2413c5bf2365f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Making Me Feel Safe,7AyTGGl1gZYBflnUR3FkUC,Daisyhead,4zJP0fLge8dHeJxvGVKT7n,I've Been Better,4jM8Z0rNeV50VJAUWXPPhO,23,https://p.scdn.co/mp3-preview/8284ca9f9ce28e8bf8226b97500d4d1dc821323b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Wish You the Best,2LF2RhjYE7ZfIaSvgWHNdo,Postcards from the Moon,6K53uT4BxL5zdWkvGVEEuL,Me Without You,0A05xHtZTusHAKHlw0pQCl,21,https://p.scdn.co/mp3-preview/553dda4bb1d09712e34d2d41d96a361644756bcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Oscillate,1mvYlO2lqNqqvCN2qHVjeh,Big Smile,6aRUlxUt0AIBeAkMVykgbM,Oscillate,3D6IJTM8fsP4b2TRudkDHE,13,https://p.scdn.co/mp3-preview/7b9a8e7078af0ad2c7f8a5ebe07f098379f9a24d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Back To You,5cA5uzhbAQ3P8ZRnyeCnGV,Our Last Night,00YTqRClk82aMchQQpYMd5,Back To You,1MWhybKgZUjJbarvNSBIim,57,https://p.scdn.co/mp3-preview/77519f75bf7e382804fe7350cd01b7d23ffdf02e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Seed (Rosemarie),5o0ahcfMrZiYHgXqBK3MWu,Certainty,7EV1shS1eQmwnlC5iYMYuo,Temporary Love,59HyUqcYq4MkGWKGL7VuXQ,22,https://p.scdn.co/mp3-preview/812678f0e81a9de0a3edff54e50d1b2483b915d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Bedroom Eyes,57p8gUFm53940CZaTxHB1m,Crooked Teeth,37gTAIe8kJ5xGtkJLsfFgP,Bedroom Eyes,1oyjqGKLyPlgL5nZDAqezq,35,https://p.scdn.co/mp3-preview/c061198c67d264d981cd64887ee694f69fec22ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Drag Me Down,5qI3yLcaH8Lg1WboxmkA9n,Headspace,1gpl5yvo2wkMbSzFrvS4Uu,Drag Me Down,6XObOVz2UAVwuQi4ZlBc6k,22,https://p.scdn.co/mp3-preview/566002fbc970b044fc9b746faab67668ebff72ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Turn My Back,7xgjwuqkYgAvLpBqeW4atb,Mayday Parade,3WfJ1OtrWI7RViX9DMyEGy,Sunnyland B-Sides,5KuXgQmtrqgLj1OE7rAbl3,56,https://p.scdn.co/mp3-preview/e455a6fc00fa4cc68e6d41f8eda810e045588178?cid=fa83a2fec7c440b7a2795d600d6b2c7e
