It's ALT Good!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
91,Tidal Waves,6bappb56qMkekONP6P6avv,Parade of Lights,5acfZKELBZRBvyhrC0kzG1,Tidal Waves,10IJJqNFoVkeQuYPy3zw9E,3,not available
92,Wallflowers,6rJSjXljtoudkJPyQS1iul,The Chain Gang Of 1974,3Qy1IxDSU8SLpUUOfbOpxM,FELT,6LFjNLaxGgA3O4mwF0YtRd,2,not available
93,Routine,3FYdV1EBv5PDyQy9630ntq,POP ETC,6gUiIIPmV6OXjHcvv1KCuL,Routine,5lKSBHciVbUx635pPmyoCW,44,https://p.scdn.co/mp3-preview/ea1e0270bb7d0512a73316191eeaaeae0ebe6cb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Perfect People,0pa1iFLMfXO2IcJkMjXiEn,courtship.,2OK16hAFRHoJiFZKeZe8A8,Perfect People,3ef8oNUf6xiKC1mrb27eDa,47,https://p.scdn.co/mp3-preview/7591ef62d7bc99af2081ce61b78b17073fee98da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Mixtape 2003,5UDLKwnWf824mozRavgsgg,The Academic,3VLf4DlBTN2ZRwygS3TNti,Mixtape 2003,0HsshKJ9aGPK4i7xtHdEyb,48,https://p.scdn.co/mp3-preview/acc312e44e71f774251876e339f43bbf5f032cab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Something Here,7hVJdledWUXvvHlw8SzXxM,Day Wave,4ptJIIR10UVlGjN0VntFaK,Something Here,1LOtxwfLkAvDmrl0YXISKw,50,not available
97,Fangs,618DIJLSOg5ffmXaFFRsnv,Night Riots,67Dg546QfThu4PuanvFD8y,Fangs,41yYEgLaRvDor6cNwWBsfB,48,https://p.scdn.co/mp3-preview/24bf14bb06a15251f7ddffaab7eac2edbb11736b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Heart Out,3srofwWlFzNqgSmRI9YbFY,The 1975,3mIj9lX2MWuHmhNCA7LSCW,The 1975,33ZqJmmqFE8Z7Ak1Lxbnfb,49,not available
99,Gone,3mxMrdo3fJjDbb64nagoXR,JR JR,3VAxb3UskTNiHAKh4UeOEv,JR JR,3shFtH3EfvyztGl2sdsmHS,58,https://p.scdn.co/mp3-preview/1e77b4b3c9336cff20d2a52656962d11ca623f95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Ceasefire,3Te0NUMofZVs1KHQgrqXVe,Judas,4oEv60GQ9pJpWoU88SMwOP,Ceasefire,3WStXCR8KygmiP2X28J2Q5,45,https://p.scdn.co/mp3-preview/41fb421b94b5e69d092fb0e4b074fae69778296f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
