Wochenende,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
57,Humans (Let Me Love You),1IB1GFSTgmeecjscmAJ0lW,Sick Individuals,0XqFDQJjqW5PfhfBCb53LR,Humans (Let Me Love You),5L7tRsDCBk9fXodzcpUksI,62,https://p.scdn.co/mp3-preview/aadab6c7e2ad8bd52f18ab1e1e897675e73247dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,JUST TONIGHT,7Iz9kowll8u9yWnbOPy3YM,TIM PLVNK,1nZvBVvZi86Bjf40oxsYEk,JUST TONIGHT,6PQiZBLmkvJ5fINMuhTTu5,46,https://p.scdn.co/mp3-preview/c077c102a39c952780134e04e59832509429ae10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,So Brave - Radio Edit,3w04q0kDsjpOnSMYlAwovd,Blaikz,0uqlT7M0lAL931lCyQLkde,So Brave,4inlsm5tAUXRjgDP6GGn4B,41,https://p.scdn.co/mp3-preview/b47a8192972117e58b5b7aad037f30e3d0c74fe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Summer Lover (feat. Devin & Nile Rodgers),0JIcWmxwEpv740agHLbVB5,Oliver Heldens,5nki7yRhxgM509M5ADlN1p,Summer Lover (feat. Devin & Nile Rodgers),4pQNg7e4O3XJ8tuVpuslGM,65,https://p.scdn.co/mp3-preview/c2f3a8092043b3990102d849e256f1f66d4525c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,All To Me (feat. Lola Rhodes),4cQD7ykxaVNIWml3GvNZwA,Deekey,1sMpoues4n6d0qXFN7AHdz,All To Me (feat. Lola Rhodes),0yysudOLR6lHpxQVmiivDi,43,https://p.scdn.co/mp3-preview/9c809786bd9e3cf45e3172cac8a127c8f87132a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Birthright,4bmZEbZkt0LuV2SCQHAcWo,Nora En Pure,24DO0PijjITGIEWsO8XaPs,Birthright,0bPmYIl8AIHS6SZLOdacJ6,50,https://p.scdn.co/mp3-preview/ad582530e4ffeedde4a0dcfe4f73795cb34575b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Bruises - Steve Void Remix,4raMIjIjMc8JohHth7l9lG,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Bruises EP,3bAq5agU2IUDfDuO4w50aR,66,not available
64,Wake Up (feat. Josie),38lEo6tWlcYNR2uWKfxY5D,Blasterjaxx,37awA8DFCAnCCL7aqYbDnD,Perspective,72DXbnLW96RtEy3bApHYCK,51,https://p.scdn.co/mp3-preview/3d1b1fee2d6a1d2119ec9151da3230559315319d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,No Way,4o18qnKccRoxfXfWJfDYch,Jako Diaz,0N5xjvZDyBf8kGuYCBJNJz,No Way,2t4lYAx0dOt7z0cJp0KF2X,41,not available
66,Just a Fool,6s6HB2One9UHVTsjzVZwke,SRTW,7vHAcPVlEDksRsCfkez2CD,Just a Fool,4HVIX7D7oGL5SYGqIJ5vmc,45,https://p.scdn.co/mp3-preview/aeb4b6c78bdec9f8729cfe260bffde1d63a7cb5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,My Best Life (feat. Mike Waters),5kldIyD365H9iq8Cz1Jb5F,KSHMR,2wX6xSig4Rig5kZU6ePlWe,My Best Life (feat. Mike Waters),57lxvNz7Fp3hHNtXspUkjC,66,https://p.scdn.co/mp3-preview/e839b590ded878bcee85ddce726794817aa2ebc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Thing For You (With Martin Solveig),0IhTEIjFaRt3B2NQYf9azQ,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Thing For You (With Martin Solveig),1cbCgek1ORPGZFKlBIhBmH,74,https://p.scdn.co/mp3-preview/11bbbafe92be26d8764f2f033249589881949599?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,On My Own,0SCM6njSH7uSJt7zCqeuYa,Rich James,35KtMJ3zEIvITK6xssqTWq,On My Own,1Y5uc7gf5mxJMpEgf0m3uu,51,https://p.scdn.co/mp3-preview/2b9f178d999b539a5e07132f268f28c9991c4d33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Falling,2SfkQzlQsDCEP1xHASoPGJ,Wahlstedt,7yOWqfe8iP613Ne5SV9XPP,Falling,3txCGyy09BTKqD2vdNwUZ5,51,https://p.scdn.co/mp3-preview/b0f77116ddebc0a89481acbf01b6d28a0355a9c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
