KEXP's Top 90.3 Albums of 2016,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
68,Cold Light,1Q3JWbAKji5ja8Jfm2Dqsn,Operators,4kU5nN9B7hXLqUg7sMiQKw,Blue Wave,73vFbq0jDF58ZRD4sXcvnh,35,https://p.scdn.co/mp3-preview/f7b4992cbff005e7ceb9d5fc93bacd6fd314481b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",5pfJsMwoRYKampPay8amX0,Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,This Unruly Mess I've Made,2kqn09pydzvKvB3xWbAxY4,69,https://p.scdn.co/mp3-preview/40ca4e22a5276cc715a6616f0698ca9be99f79c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Head Carrier,1pkeWmtFQABUzsgfGXTZ7z,Pixies,6zvul52xwTWzilBZl6BUbT,Head Carrier,3HSPsDB3sI9xq946eN7aVL,31,https://p.scdn.co/mp3-preview/3ed88ebdce9e35c368663c8d225a5c01965977b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Grown Man,5KaQHZqbURQDTIl2DSnj2F,Fly Moon Royalty,1tGNuNlyDTznesOMnYgm0o,Delicious Trouble,6sfOwAsm3Ufm9Fy7u8DXYS,31,https://p.scdn.co/mp3-preview/9802c27d76daf872eac708c35bf63665e7170d8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Barbary Coast (Later),6bgjcVqaUmnalHy0C8txLv,Conor Oberst,2Z7gV3uEh1ckIaBzTUCE6R,Ruminations,67hzZ19BcqT086ahgI9DIB,43,https://p.scdn.co/mp3-preview/220eb25ddffe8e5c09a03ee4c6973ab4d13e3bd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Really Doe,6dHatCnuOb1TdBIeJTK3Y0,Danny Brown,7aA592KWirLsnfb5ulGWvU,Atrocity Exhibition,3e7vtKJ3m1zVh38VGq2g3H,59,https://p.scdn.co/mp3-preview/2ac75fb959d5088a66fcbdeef4373ae5c6786522?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,R.E.D.,0E2ydjbrsOYbWFZzexOyYd,A Tribe Called Red,2jlWF9ltd8UtoaqW0PxY4z,We Are the Halluci Nation,2iQBWB6FgiNl1mrzNX7ei4,48,https://p.scdn.co/mp3-preview/91ac2d9d7aa4fa404d159e1b0f8ccb0e5ad491d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,"Can’t Let Go, Juno",6A7ph3uhFzTUcUqOHE7NS7,Kishi Bashi,3LVPGE5jPPwtbGslx07YR0,Sonderlust,3prBy9ITryUQUYKuUTn4EM,45,https://p.scdn.co/mp3-preview/61e48e3a2c380aadd065cd80471f1edbabe21860?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Ain't No Man,6XMYnm4OTEysN8blzqiCL9,The Avett Brothers,196lKsA13K3keVXMDFK66q,True Sadness,6aMhaNYwh1OwoJnNrNbm6Q,62,not available
77,Borders,0cVeP9t3QChKYHKNGWfPnD,M.I.A.,0QJIPDAEDILuo8AIq3pMuU,AIM (Deluxe),7sZqZpGN6leR2PncwkuaUc,55,not available
78,Here In Spirit,5GE8FTL15kS123apRK7vD4,Jim James,1MhtYlJvUqfd2EgHSQTGK4,Eternally Even,2wYw4vZlu7XwvtdQPRmsmL,51,not available
79,Doing It To Death,2hDtkP0ge2Gckcj7qi2NQ2,The Kills,5BYuBzqmTXwUDw2rYkwExr,Ash & Ice,7E6UpW4mlPavgOq1YuB2fd,55,https://p.scdn.co/mp3-preview/0111c92d1c05d1dbe1461755373b1de12654847c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Have a Heart,2TQLUHEFiVdvZHD5C9y7R9,Cymbals Eat Guitars,580mg2IiCqPs9dmDUkJj2x,Pretty Years,1I6LfGVtMuEQA7v75Co4E4,23,https://p.scdn.co/mp3-preview/5a1885366fbaf35acc162b380f64f57aeb6dc720?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,FloriDada,26WNKAgxNfg1MkhpBrx8UV,Animal Collective,4kwxTgCKMipBKhSnEstNKj,Painting With,04EajKw866bzJn3EW8HOdQ,47,https://p.scdn.co/mp3-preview/c0bbcf379e1612804bf716460d7a1a4faa28bb3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Fool,2yOj1pyRC3NcvQyeZ3yAcL,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Next Thing,7mTf6AXzDt1q7Iy4Vig1U5,58,https://p.scdn.co/mp3-preview/54c49a89c1866c81df721e122285d198c9ba6480?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Genghis Khan,6MDijuuArPJv1vbp7K1x3f,Miike Snow,4l1cKWYW591xnwEGxpUg3J,iii,3pWJFrSX6apPzt4inM4zXt,66,https://p.scdn.co/mp3-preview/ce196a6b88f1c9fcb6bf01b89186508cfca6a75f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,I Exhale,0xNpOEFrmgaMeMESVdnG9Z,Underworld,1PXHzxRDiLnjqNrRn2Xbsa,"Barbara Barbara, we face a shining future",1QYq1fGyMvbGtvEla84FtC,41,not available
85,Are We Alive?,3Bz1cepSIwwO9OVaoA2RHG,Augustines,0p1LdP1XicX0UA5GNA2DWc,This Is Your Life,6agKKV7gZ5RsXHSUcIY0xo,18,https://p.scdn.co/mp3-preview/65b57045a2f1cb34d37868c99f3dd5d63043648d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Simpatico,0qIwJu4BQPKOb8aLrdS1M6,NAVVI,5oTcfscmHhEknUGkGmOeSU,Omni,3Mz4NGR6yj3hNC3eWJF88D,35,https://p.scdn.co/mp3-preview/c998e8225dc27a854fcf36a5b9fbb651b7fcfcfa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,That's Why,6vuuq0UydtuBvL0q9w2nKg,The Cave Singers,4SjCvf9Ctuz369ZKAnjkZP,Banshee,2JnDFYXBJ9vkLpHpdeEXYg,33,https://p.scdn.co/mp3-preview/cadad5c7628ba9cef300a89e6bf3a24a7855d7b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Flow with It (You Got Me Feeling Like),2eM4Ew20VXdjBhm6a6Cs9l,St. Paul & The Broken Bones,4fXkvh05wFhuH77MfD4m9o,Sea of Noise,2fRc3TJSXKXGFdnmcm17p2,59,https://p.scdn.co/mp3-preview/5d2bc00cc6961ce4b352cd6a1e80697ee30fadd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
