Party Bangers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
57,Don't Stop Believin',77NNZQSqzLNqh2A9JhLRkg,Journey,0rvjqX7ttXeg3mTy8Xscbt,The Essential Journey,5pfpXvoJtSIFrbPIoBEv3R,76,https://p.scdn.co/mp3-preview/5908f4536c2b1111045c46555811fe61112d5c26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,I'll Be Missing You (feat. 112),3QHONiXGMGU3z68mQInncF,Diddy,59wfkuBoNyhDMQGCljbUbA,Bad Boy's 10th Anniversary- The Hits,46JQVqJpOg8opDLUl1qHT1,72,https://p.scdn.co/mp3-preview/3b37724224c064ea4af094c37b7a63aa3c6c86b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,In Da Club,7iL6o9tox1zgHpKUfh9vuC,50 Cent,3q7HBObVc0L8jNeTe5Gofh,Get Rich Or Die Tryin',5G5rgQHzdQnw32SI0WjIo5,76,not available
60,Rapper's Delight - Single Version,0tm6gsXe0LSm9zeSspyMQu,The Sugarhill Gang,7zliF6Q946WznVk3ZMYhZX,The Sugarhill Gang - 30th Anniversary Edition (Expanded Version),1oQef7548sivCtMQwK8Wgo,62,https://p.scdn.co/mp3-preview/caf4fe237bc3a0dce227a081fdd51009fef2d653?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Umbrella,49FYlytm3dAAraYgpoJZux,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad: Reloaded,3JSWZWeTHF4HDGt5Eozdy7,81,not available
62,No Diggity,6MdqqkQ8sSC0WB4i8PyRuQ,Blackstreet,2P3cjUru4H3fhSXXNxE9kA,Another Level,2zGZLQiFl9UubtrVmtIkbi,78,not available
63,Daft Punk Is Playing at My House,73mlvsfJM2qwlDUJxeaatI,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,6aSk2vxoY3xtz7cXKuY9EL,60,https://p.scdn.co/mp3-preview/8634644cae2fdfe9574c4859ac978cc7bbbf0cc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Girls and Boys,5CeL9C3bsoe4yzYS1Qz8cw,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur: The Best Of,1bgkxe4t0HNeLn9rhrx79x,69,https://p.scdn.co/mp3-preview/e6fe3a8d487412f67de6e731c1cea650cde07055?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Celebration,3K7Q9PHUWPTaknlbFPThn2,Kool & The Gang,3VNITwohbvU5Wuy5PC6dsI,Celebrate!,2kc4mhFRsoIRVD0XEYnwhI,64,not available
66,Don't Stop Me Now - Remastered,5T8EDUDqKcs6OSOwEsfqG7,Queen,1dfeR4HaWDbWqFHLkxsg1d,Jazz (2011 Remaster),2yuTRGIackbcReLUXOYBqU,84,not available
67,A Little Respect - 2009 Remastered Version,7aS418hRnOnYrXeyrZilwk,Erasure,0z5DFXmhT4ZNzWElsM7V89,The Innocents,0M2jouCUu3u6qUXSS2vgYI,70,https://p.scdn.co/mp3-preview/edecc3ef593a05f17ea4dfd0fc2842033d7a9b31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,I'm Gonna Be (500 Miles),66S14BkJDxgkYxLl5DCqOz,The Proclaimers,1A92IAcd7A6npCA33oGM5i,Finest,7hPq9fDWwXPo1tT0oi3XcM,75,https://p.scdn.co/mp3-preview/2919264bff964a01ab401bdb3d15b2a953301ae0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
