The Austin 100,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
79,Gay Bar,2wsNYYyVbigQlQ3OT18EGA,Rosie Tucker,21IgTzfAyrn8DJpEY7F4DM,Gay Bar,4dGkf6hG7m1Vz6FfiWj42d,15,https://p.scdn.co/mp3-preview/5c12764fcc67a5467b52e6c17f29e0d3f922eaa8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Time Wanders On,0BjAHCBN763ZDIzzMRc9QR,The Small Glories,6WFEkBDOFMbSLKZ1p6VJci,Wondrous Traveler,5Il2x0doVh9PRG6ablDkvj,15,https://p.scdn.co/mp3-preview/f193c4fc6e16f4a7d39785e335fe06ae0fa3869f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,The Light Upon Us,69O18s28CWdA7ixXHBAKkh,Talos,5pdzKTGQAcRcxDOfN4mXSc,Far Out Dust,1rgoWhCjpJu9xKqGkg8PGv,39,https://p.scdn.co/mp3-preview/b1a009429a02c543faebbbe4544c2f38cbf6c557?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Girl in Calico,2XiZN924Dye5VCgl2skr5M,Tow'rs,3LcpRDABINyBTa4V1s9Hql,Grey Fidelity,4gcifqqCaQgrNrhLvsX6wV,51,https://p.scdn.co/mp3-preview/b1a616417a528568316d1613a7dc9ece39ec0de1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,"Please, Please, Please",7GUnkEwnVW2puC9HpKdWRa,Yawners,5tD6FNrK7Hlxlkt4pbAliC,"Please, Please, Please",5QK1HD5boOKdR5OdiMdDjj,13,https://p.scdn.co/mp3-preview/48577eae7467e63e564690483e13c96e9dca9ff6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Birthplace,2tSjhsJNIMBjNpnapXnd7y,Novo Amor,0rZp7G3gIH6WkyeXbrZnGi,Birthplace,0tWckYjFI6ioZptLr42J3p,53,https://p.scdn.co/mp3-preview/a16289ca5dca43576fffd08360d7c8bb116f67df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Burning River,5FM6RWt4Ad2hRVKk3cJ6UF,Ferris & Sylvester,1LnhhjMNydIGawXsnfNhCf,Burning River,1gxydZT94bfpbwHYGvPp79,32,not available
86,Rolling On,2XUg224x95v4rhbBRIsKdX,Israel Nash,5skM4jc4QoEpHiWWl6OoW7,Lifted,4bKSp2BMGakhm0wEEZ3Ovq,36,https://p.scdn.co/mp3-preview/7a6865ecd3df29948cda1e7d452dd08b224ad13c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Cast Away,6LNGKR56EwQvbMzLhGXB0z,Ella Vos,2zmrsXMHxagFz6vI2cD7r6,Cast Away,2E9R9i5HuapbmktmwRZqlI,39,https://p.scdn.co/mp3-preview/e34e3f79ca859e539b709fd50641bd5573b3c245?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Scars,6mImezl7AV8V7JtkY59veA,Hazey Eyes,3r0RZ55RKisnnF0jVcYrVR,Scars,6EmC2oPQShDOGsApwhJcKC,47,https://p.scdn.co/mp3-preview/7697b64560eccd1064f9b1da1071d6b2192f2e53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Heartbeats,1sdpCl1e7Taz9yFWJ0uOGL,Dossey,1TIulCMT2Eb4QDL59RcRYi,Heartbeats,6zvtY69DRxKgpaQhR04eRy,10,https://p.scdn.co/mp3-preview/8f1feb6e4b771b2e614563c5b39347dd9758f2ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
