The Realest Down South,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
75,A.G.F.,0LgcWp72kH7bkfC9EBjM05,Cuban Doll,32DuKytBMZn90iqyh2HEdc,A.G.F.,1RMkE52BWMC2F0INnpFyPn,52,https://p.scdn.co/mp3-preview/3149982c61e9e398d95ff68ea46694a00152391a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Move (feat. Young Thug),0e5nUKhmlZD108YCEuPsem,Skippa Da Flippa,4YWK3hXt1QRAw2rNBao55d,Move (feat. Young Thug),5xGui9r5oGdrsIukyD9PNi,51,https://p.scdn.co/mp3-preview/cc2283d912bc77d560fb8e91f962daa4546735ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Nobody's Favorite (feat. Gunplay),3ZZkSBbBOXi1NFzPbY7Lxb,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,Port of Miami 2,1mgw5rbUS94uif2ce9QCf0,65,https://p.scdn.co/mp3-preview/4cbbe56fae95f6c832a62cda13de19755f48b078?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,All Night (feat. Gunna),2m9utjTnSsZ4xJmWqJJL8m,Jeezy,4yBK75WVCQXej1p04GWqxH,TM104: The Legend of the Snowman,2HFFbmm5pQGlXJpv5BNMFX,57,not available
79,Good Morning,3XuoyFromotNqDFl6vzwC6,Mak Sauce,78GdFYPETzCgutsc5O5COH,Good Morning,6MaAahepZoxCyUaxfM0erD,52,https://p.scdn.co/mp3-preview/492ae4935b635569baa8a7386604da0d5d479ef7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Ride Dat,1tPvXyWwJUM9G903sjxNYa,Birdman,35sCXuy5gN6Or69rZ9vqBs,Ride Dat,3TrslkJubBECwpiNdZWoMl,59,not available
81,By Your Side,5kGFBGelA8yjKJNqs4Zc0i,Erick Lottary,0l5XMJjnKKhUE31xqZ6PdO,Summer On Central,1xX2eN3eq4THN2a2EUHKDT,46,https://p.scdn.co/mp3-preview/819681185b087293427d9d9a8502f36fc1c5ff49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Eyes Closed,0XubYC5LBjtW9DsgCmWGZy,Curren$y,6X8WdFjrNhXATMDSs26aCc,Eyes Closed,6LlPDVQ6i69yAIHXAof6tR,40,https://p.scdn.co/mp3-preview/cf70a92993aabde05a508ca1128bd38bc2d46b0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Keep it 100,7lPIAA2vyvBpbt5QMDb8dp,Young Nudy,5yPzzu25VzEk8qrGTLIrE1,Faded In The Booth,3Lv9DT7hXASb2PsN0knC5B,53,https://p.scdn.co/mp3-preview/a927492272c47d86360422585ab8bee87c90c64d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Undefeated (feat. Lil Keed),6FZjiSBSQoj1geAgXjvqez,Future,1RyvyyTE3xzB2ZywiAwp0i,Undefeated (feat. Lil Keed),0wWL6KM5LuMupJdO4SGiMe,67,https://p.scdn.co/mp3-preview/fc0f0f59b5ca72df03c1abff303f1d32e6e00f74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Shotta Flow (Feat. Blueface) [Remix],0lDRXaECpMSYYCsTYRDulh,86,https://p.scdn.co/mp3-preview/d2c7eadbe6a669d19ee61ed31e27cd1eba007ce4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Shut Up And Listen (feat. Lil Duke),0eiQwo0r6eUbTLPa31IXBO,Karlae,6RY7kT6PGGzAA3TG3s4Qmp,Shut Up And Listen (feat. Lil Duke),6Y0fSXe8cQY4ovHUJL1cbM,47,https://p.scdn.co/mp3-preview/7d032c2d3e1659308df049ce5245b6201b2b891f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Court Tomorrow,4zPX16aIyIuWaruyAi9082,Blac Youngsta,41klVmDluQZmGGqoidNfbe,Court Tomorrow,1EuicBG3r0qknLh9Fo4u1Z,45,https://p.scdn.co/mp3-preview/f926c2ace07b31e17ecadfa4415e4f201cb3c34b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
