All Out 90s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
69,There She Goes,43z6scIZU2QcEieMQFAJRG,Sixpence None The Richer,0lJlKQvuM2Sd9DPPyUXcHg,Sixpence None the Richer,0PrcwzkQVEy4y6JPvT5bix,66,https://p.scdn.co/mp3-preview/305372e9134c12fb7eb2cbb11995d3df7d655cf7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Circle Of Life - Remastered,1t055EdeL1r5DfORFy0UXX,Elton John,3PhoLpVuITZKcymswpck5b,Diamonds (Deluxe),1uzIyRT1QxDx4fMIX0UiAE,45,not available
71,"Boom, Boom, Boom, Boom!!",65OXGbKBQ8gUyJvUd0jNpf,Vengaboys,0cwmNvclzPd8mQnoHuIksj,Greatest Hits!,5t02mTYT9ks9sOC1ihea4a,75,https://p.scdn.co/mp3-preview/d596847aefcbafa2d620753d1a71971f3f776d13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,"Rhythm Is A Dancer - 7"" Edit",5iEDwEp82uLN3X6llJdqen,SNAP!,2FrKQPjJe4pVMZOgm0ESOx,SNAP! The Power Greatest Hits,3SxQyJ7t7NVkUrJYh0TZqi,19,not available
73,Wonderwall - Remastered,5wj4E6IsrVtn8IBJQOd0Cl,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],6ozp33PI3p9AdddB6ZL3xQ,73,https://p.scdn.co/mp3-preview/658627c1c2fb5f9a89ce556ead028b7cebd297c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,Amazed,5oQx6XZyrOOkGbme8DA9GO,Lonestar,3qbnxnvUqR14MJ9g8QwZJK,16 Biggest Hits,2JZvVC4RftWDbyhEFfpATZ,61,https://p.scdn.co/mp3-preview/2aa5edf85faa02576576b5d2464fee5c4480ec25?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,"Baby, Baby",3IDsegNBHC4pjGCOMTQYlU,Amy Grant,72Nhcx7prNk2ZCxhx0Y5es,Heart In Motion,6YbWlg2x8aIHASDTunWF8H,63,not available
76,Linger,0gEyKnHvgkrkBM6fbeHdwK,The Cranberries,7t0rwkOPGlDPEhaOcVtOt9,"Everybody Else Is Doing It, So Why Can't We?",0AP5O47kJWlaKVnnybKvQI,76,not available
77,Have You Ever - Radio Edit,1jisR33Bck5thSyt75iR2c,Brandy,05oH07COxkXKIMt6mIPRee,The Best Of Brandy,2W8fU1wJz9sGDmwMBcQBRX,51,https://p.scdn.co/mp3-preview/b12653a6bf6d72671ac741ccf641d9ab5b15c28c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,I'd Do Anything For Love (But I Won't Do That) - Single Edit,391CwgcBxvUHmEKda2b5In,Meat Loaf,7dnB1wSxbYa8CejeVg98hz,Bat Out Of Hell II: Back Into Hell,2frbTcZJoMRuAbeXpuOx0Z,60,not available
79,All My Life,5GorFaKkP2mLREQvhSblIg,K-Ci & JoJo,05RZIdfz59ZW2FvFuwnmNK,Love Always,5cmtcMzuUZq8vxS5T7NVPu,73,not available
80,When the Heartache Is Over,0coFccPox52uxHy3cdLhBr,Tina Turner,1zuJe6b1roixEKMOtyrEak,Twenty Four Seven,4cJ5qo8hbiK3Tmign9vzUh,59,https://p.scdn.co/mp3-preview/cd7588ac291823b09960f124a70da4b514f5f829?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,You Get What You Give,1Cwsd5xI8CajJz795oy4XF,New Radicals,0Grjlu7ncIuCaSYvCs9fcd,Maybe You've Been Brainwashed Too,13btXEnBerpA1UjIVtsMAR,75,not available
82,My Love Is Your Love (feat. Dyme),1lYaLFnhZBKTfBoPqdYXq5,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,Dance Vault Mixes - My Love Is Your Love,0k9eHkOssdhaQI0uggAmEU,50,https://p.scdn.co/mp3-preview/7cc5f32b8d2d2922e974a128915f900e64e757c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,End Of The Road,3l3xTXsUXeWlkPqzMs7mPD,Boyz II Men,6O74knDqdv3XaWtkII7Xjp,Cooleyhighharmony (Bonus Tracks Version),3jknvlUSe6D9Oyn2E3JBLO,73,not available
84,Sweetest Thing - The Single Mix,4AOuWMwBYlZ96c07ye2w27,U2,51Blml2LZPmy7TTiAg47vQ,The Best Of 1980 - 1990,63H9TkIAOEmgFAIlhLcBHb,14,not available
85,All Star,3cfOd4CMv2snFaKAnMdnvK,Smash Mouth,2iEvnFsWxR0Syqu2JNopAd,Astro Lounge,2kyTLcEZe6nc1s6ve0zW9P,81,not available
86,Stars,75CgD6l7K4qMzZrn4CbZqz,Simply Red,1fa0cOhromAZdq2xRA4vv8,Stars Collectors Edition,2WOo1KEogmN7MdDMjVCusC,71,https://p.scdn.co/mp3-preview/3b889a8a0224fdd82021e7226e51fdcaa572413e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Genie In a Bottle,11mwFrKvLXCbcVGNxffGyP,Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera (Expanded Edition),6fpPZS13ImRVpr7Tqs6yP9,73,https://p.scdn.co/mp3-preview/31c45c1e2951c7713b67a91299d3da369f502c75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,The Shoop Shoop Song (It's In His Kiss),1F93GMRPvmWpVP970SzjpH,Cher,72OaDtakiy6yFqkt4TsiFt,Love Hurts (UK Mid Price),4Zzx7tVCCHj0rufZPXsrhr,18,not available
89,I Love Your Smile,69mFxANpGyq9s69LqH3d9G,Shanice,0Ttph0pOZiPNTD3y2wUUb6,Inner Child,3O1AUjaFcoauFoI10ZZJxi,61,not available
90,The Power of Love,5kK1Iru9ogP3Iy1zsANU1n,Céline Dion,4S9EykWXhStSc15wEx8QFK,The Colour Of My Love,6Po5zdKMIH5Xk99vjXyQpC,69,https://p.scdn.co/mp3-preview/bce7d1240e267319941f41cf7e260f453d240d39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
