Radio 1 Rocks (BBC),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
82,Redshift,3SkYpwuBGA4YENQXZgewrZ,Enter Shikari,31jvzuB4ikftPQZJwrYfCF,Redshift,2jYmkDhuiyc4KMjRtnXlNY,38,https://p.scdn.co/mp3-preview/e9254c7ebb1b7debfa08ae90cb3fa5eda69ed6bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Jezebel,0E25vZl5fjDAAUk9lb2VQe,Plague Vendor,680qtSVCs3xqNWqZd4khh5,Jezebel,4bN6OLkb5lDF4Ifh260jvH,9,https://p.scdn.co/mp3-preview/e31fc9b940b4f3c0e020cc44e2a7c2723cc35063?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Black Mass,0nKNIevN6RJBfDto9psB7K,Creeper,0nV7SiEIVtPLTSJ6NwWDGj,Black Mass,0RYDfqv2LyAfmma7HNStO8,27,https://p.scdn.co/mp3-preview/08d146c7730fa97c9ad5541e1fff3e4b1b67f00e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Mad All the Time,7Cm1eS5xDwHX51H9kf15hh,Waterparks,3QaxveoTiMetZCMp1sftiu,Cluster,1WXu8zpIWEKGZFfgjYKy6R,38,https://p.scdn.co/mp3-preview/9a5e950ae37cb985b29f67597391b5d32b693262?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Oversized,2I1oXdxilVtJeaGBGbSycH,Basement,4DUQBYAyOTZotSEdKhaf6c,Oversized,5qpa5nCojbt6DspIgvlhyO,0,not available
87,Buzzards Leave the Bones,6a5GsAw8e03r7OzqRJg1M9,Big Spring,5mGGqrCotZt5NvTxb6nsma,Buzzards Leave the Bones,5iiQSTJ3suNGkezeLD6gDa,24,https://p.scdn.co/mp3-preview/ae3b01ff88b420a7394ffb7a8494de14b4f7da31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Morningstar,1vPAl1FnldZSuIbyW1Trae,Baroness,3KdXhEwbqFHfNfSk7L9E87,Morningstar,4MUqhedVuiJEGoI6Jw0xhK,7,https://p.scdn.co/mp3-preview/8b5005db89b7b1c31640affd067bcda7c7ee9826?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Your Highness,7pisNnwwfpvmLSbel01nYA,Beachheads,64XhbRNCK4TkJ4YRgHYwAp,Your Highness,7LVpAfDRzsLacNqcSREePh,0,not available
90,Eight Ball God,6kVZuT0mpiDlZSm4ExL5zO,Nowhere,7oxXzfx7bgx59rwGHjPwc9,Eight Ball God,5DoD5xhEAvo4iBvsMC0aBk,6,https://p.scdn.co/mp3-preview/f6a8809766c9deb23227602d2949da8e74b5c470?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Shock Me,0jJhKd8wnAv9968GH3s6a9,Baroness,3KdXhEwbqFHfNfSk7L9E87,Shock Me,608zCz4NwLtKVRlzWmxkxy,10,https://p.scdn.co/mp3-preview/ab9186aa15c416c1cd5df6a151e6f206ab83a538?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Brickwork,3soVPXUpLNPlKXKFZNfsuG,Milk Teeth,3i7Iv2QAdoCduoIZbWYCyY,Brickwork,4TlD2eUXdyMoSSNFYsVyGo,8,https://p.scdn.co/mp3-preview/bc373c33a82dac94f12270513cce75335bb11dcc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Thank God for Girls,1W2rQhQGt0A2Xt7xWN9myy,Weezer,3jOstUTkEu2JkjvRdBA5Gu,Thank God for Girls,1arIB1YkRY0WvFmVEeLVGK,0,not available
94,Mother Feather,5eJrqi4xRD7uCKXdA2wDuY,Mother Feather,0GuyG8OSiAygWtMdnj7vje,Mother Feather - Single,0Yn6cEn6jDi9302VG6crlO,4,https://p.scdn.co/mp3-preview/e54f1c00475106109f2f630644af1a7b9860875e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Slow Dance,0lLdbZMhk6sH8pTJgMl7fJ,Arcane Roots,58jeN5Whh7fhR67rE46qBt,Slow Dance,6IfYdQ6VBd1cjJCF0z2ND8,0,not available
96,Oh No,1H5a6C6jqWN6XQI0Unq7W3,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,That's The Spirit,7FqHuAvmREiIwVXVpZ9ooP,60,https://p.scdn.co/mp3-preview/052b345a41cf917a8e9a481a90f3a4e4c7f7b0f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
