Essential Choices (BBC Radio 3),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
63,"Romeo and Juliet, Op. 64 (Highlights): No. 11 Arrival of the Guests",4uVvcZS17eFYB0Q6vdZutc,Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,Prokofiev: Romeo & Juliet,2HVGOB63a72IzoCaZWEmbj,2,https://p.scdn.co/mp3-preview/36302b532c30c62c5c844e108c2fd814bb4bc8b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,"Romeo and Juliet, Op. 64 (Highlights): No. 12 Masks",52LlliGnnL5T1y4U3Ybz5e,Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,Prokofiev: Romeo & Juliet,2HVGOB63a72IzoCaZWEmbj,3,https://p.scdn.co/mp3-preview/d5d71f7812809863a0b6d77ab66ba844626b9ced?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,"Romeo and Juliet, Op. 64 (Highlights): No. 13 Dance of the Knights",3YUmaXADZY1wdTrGCF4Fdw,Sergei Prokofiev,4kHtgiRnpmFIV5Tm4BIs8l,Prokofiev: Romeo & Juliet,2HVGOB63a72IzoCaZWEmbj,35,https://p.scdn.co/mp3-preview/f79d5d2d5f89948a054a50c67fe4941f930dc857?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Konzertstück op.86 in F for 4 Horns and Orchestra: 1. Lebhaft -,4lBVlDk9gk0C967upAa2zc,Robert Schumann,2UqjDAXnDxejEyE0CzfUrZ,"Schumann: Symphony No.2; ""Manfred"" Overture; Konzertstück for 4 Horns",5kX5csbIteJvQ6VZTNFDcs,0,not available
67,Konzertstück Op.86 In F For 4 Horns And Orchestra: 2. Romanze,5NuYoyWXtWDWuYVaVCsZDo,Robert Schumann,2UqjDAXnDxejEyE0CzfUrZ,"Schumann: Symphony No.2; ""Manfred"" Overture; Konzertstück for 4 Horns",5kX5csbIteJvQ6VZTNFDcs,0,not available
68,Konzertstück Op.86 In F For 4 Horns And Orchestra: 3. Sehr lebhaft,6llglEQi8vlh5I714AmB4B,Robert Schumann,2UqjDAXnDxejEyE0CzfUrZ,"Schumann: Symphony No.2; ""Manfred"" Overture; Konzertstück for 4 Horns",5kX5csbIteJvQ6VZTNFDcs,0,not available
69,"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": Theme (Andante)",7BCeTRO90uLGpJKd8YLyMY,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,28,https://p.scdn.co/mp3-preview/f187f12e74877aac7c3a590180e3701c3a7abb70?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": I. C.A.E. (The Composer's Wife). L'istesso tempo",6Ux8rwAKuSUCjjKZVNbtHV,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,26,https://p.scdn.co/mp3-preview/4e73eebd549fbc2467bb1f7631cbf1a1bf4f7305?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": II. H.D.S-P. (Hew David Steuart-Powell). Allegro",1eIqNTi10sNT1VLrCnxGcX,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,25,https://p.scdn.co/mp3-preview/47e854a5e6b0df2a7b382de6e8b1ae6cdb97f823?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": III. R.B.T. (Richard Baxter Townshend). Allegretto",3GumC5m4TKavOPqeFWyOE8,Edward Elgar,430byzy0c5bPn5opiu0SRd,Elgar: Enigma Variations & Pomp & Circumstance Marches Nos 1-5,2TM5vanNqnVzeUovSArNZR,25,https://p.scdn.co/mp3-preview/e6d0640dfbc578bef5d684add4f400cdfd59e488?cid=fa83a2fec7c440b7a2795d600d6b2c7e
