A Song for Guy (BBC 6 Music),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
41,White Bird,3ZGJ8pKDGuBv9bU0Ume2J1,It's A Beautiful Day,0Cob8rMmlxp4OtRYaVKGY8,It's a Beautiful Day,3ENvO7NHRApbkgtqKqxhXL,0,not available
42,Just Like a Woman,0tpgVt9Vcynd6uaM3e0rTA,Jeff Buckley,3nnQpaTvKb5jCQabZefACI,Just Like a Woman,5kgbhgKmhWCnkJxZEGUEdv,0,not available
43,Dolphins,6vheXD5oByaEuoxfNTXGP6,Fred Neil,3xmUdkZUQbtMM62XP4nnb6,The Many Sides Of Fred Neil,0N20j3CnqBsGPBWABk3xr1,42,not available
44,She brings the Rain,0AZEGN7iLYrvDD4ZytgC0V,CAN,4l8xPGtl6DHR2uvunqrl8r,Anthology (Remastered),5jPizdwfQnSdqCQfWpoaE4,15,https://p.scdn.co/mp3-preview/5e4fb0b1f18e2b383f92bd31a88fd60db85fb71d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Ravel In The Rain,7mLzdjwOMCkAdprJsawjjU,Black,0eu0y7eJ5NMo07NEQEIq1V,Wonderful Life,6xdiJ1Fexr0r7A9Wb1FHdJ,23,not available
46,Carousel,3x9hvAOp0ZnJy60s7s7rOZ,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,The Shepherd's Dog,38O0kVNfk66TnydcDzMOBS,0,not available
47,Talk to Me of Mendocino,597OcngNcKPpAEuOafoq2G,Norah Jones,2Kx7MNY7cI1ENniW7vT30N,Sing Me the Songs Celebrating the works of Kate McGarrigle,7maFOJ6vmtez5dAWGGFBrf,12,https://p.scdn.co/mp3-preview/35ad2c7fb324e6f10ad7a83acbc148e271adf14b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Something About Us,1NeLwFETswx8Fzxl2AFl91,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Discovery,2noRn2Aes5aoNVsU6iWThc,69,https://p.scdn.co/mp3-preview/a375c0a23d437a92c225a058d83d355b42042a89?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Equal Rights,3SWisFZfqnjl6ZGpevEG7t,Peter Tosh,0oea1hwGMfUxZbLxJc1XUN,Equal Rights (Legacy Edition),4fUOOBGNI8k9cb4vD2hZ65,35,https://p.scdn.co/mp3-preview/deed9e2a5d39699876199fe92e9b244b32d67bec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Rocket Man (I Think It's Going To Be A Long Long Time),2zvot9pY2FNl1E94kc4K8M,Elton John,3PhoLpVuITZKcymswpck5b,Honky Chateau (Remastered),46g6b33tbttcPtzbwzBoG6,28,not available
51,Settin' The Woods On Fire,0Wn4rwc8b74NqBTLenXdH2,Hank Williams,1FClsNYBUoNFtGgzeG74dW,The Complete Hank Williams,6sH8EYMtGgMqeup59zEwYy,0,not available
52,Brothers & Sisters,6BMIgTmZAihjW5MKEo7gvV,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Brothers & Sisters,1As5m9qcOZtuFzdlzCkrzI,37,https://p.scdn.co/mp3-preview/358ba85ceb658b8085d728d8637f5c60bc2fb02a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,I Wish I Knew How It Would Feel To Be Free,53VtJl4KnQ9WWLsWeaz6Gn,Billy Taylor Trio,6VVDFREKaz51lG4sHk0TRG,'Round Midnight,6YRmJ5xhM2UOQmgfMxdNQT,30,not available
54,Brother Gorilla,0TYMLZDCRnYc91uBf8yODU,Jake Thackray,5RQakjZIdS9R1yplVBO8Pj,Lah-Di-Dah,70MRPVfLnqaw23p8Z3uPVU,13,https://p.scdn.co/mp3-preview/db55e0eca7347aedd92b5c190097e50d20a71464?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Yègellé Tezeta,6UTg8n7UkdHq77b1ToTVA0,Mulatu Astatke,7HGFXtBhRq3g1Ma3nH4Rgv,New York - Addis - London: The Story of Ethio Jazz 1965-1975,5MIGplDUloZZdW8izdHzJe,10,not available
56,Unknown Brother,6Ukr8rwaIy3uhkmVU8V083,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,Brothers,0glJnyA8SbcP5G2vtPDMNB,39,https://p.scdn.co/mp3-preview/d754b282487aaec9fab3e631d53badf721814a72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Brother - Edit,6jTewbKHPDlUBIgF2PvXhF,Annuals,6RGtmi36A5vvytFxqbHa1y,Brother,59PgeL6TDcUMulwpMKILAv,4,not available
58,Sweet Georgia Brown,66eScMUvlQZoFlHyDb0P2a,Brother Bones & His Shadows,73x79onrfyZEAO203waJe1,Globetrottin' With Bones,5vBAGmSUB4a0rzR45pYbAq,35,https://p.scdn.co/mp3-preview/23f1229b58effda7affa9181c585c484f433ed12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,My Back Scratcher,4tjm97qDgS86ZGHEmnvdzr,Frank Frost,3Nx8ZstWQZgNpDDP5eMFVw,Midnight Prowler,4f5tZhbhKJ2OvHEKqumdyf,5,https://p.scdn.co/mp3-preview/ea3499ed8937adc460376761a71767a5b5e4de71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
