All Songs Considered,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
57,Redeye Reprisal,0nqj940KXClmRhwojeSMPM,Ronin Arkestra,5DGi29cXb2bJ6O4dpWFxxS,First Meeting,2hMstmfrrcE1gua9s4sSWG,16,https://p.scdn.co/mp3-preview/208278da77a6707dfa4aad78a89800913dcb4584?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Natural,2PwS9pdX2fKVAd1M0Zrnpm,Julia Shapiro,278GKwKbKXZXFAk1ns0aPR,Natural,5aGZhFhUxcUTLPAFTte2GR,29,https://p.scdn.co/mp3-preview/d6afaddc7c75e153e244c8780ac2738668721383?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Akaline Kidal,3n33gIZbBK8ew3AZHNyFDI,Ahmed Ag Kaedy,2cU8NUbXTFaGTDituvMzsm,Akaline Kidal,4izuEcg7xI7sIEJ0frLCff,15,https://p.scdn.co/mp3-preview/72d5e90e873f8feb9819fe3c8f82548a47538a49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,SIDEWINDER,6MguEa04mWWYDXpT4Kw6dt,Cautious Clay,6iWuBN32BqCJAeXW6o3nil,Table of Context,1x8XQbgzWpEjE3XXivNmgB,4,not available
61,The River St. Johns,2DUL3qGNAveqCP0z96pnEt,Jake Xerxes Fussell,40iG1d2wC4KdBLb8wXNq33,The River St. Johns,7JEDwwPrVgnFgeWlsM3XZ5,22,https://p.scdn.co/mp3-preview/a1b953e850fa654d115ac9181f1b2e7f2d144b9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,II. Lento e largo—Tranquillissimo,1pqvXte384FwoZCta30UDV,Henryk Górecki,5PIshNx38qyLggwpqRhRRI,Henryk Górecki: Symphony No. 3 (Symphony Of Sorrowful Songs),6r4bpBHOQzQ8oJoYmzmKZK,31,https://p.scdn.co/mp3-preview/71d18704c22555249a624ae7f816b09408815c6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,The Weight of Things,0dTsvkV9B1BNslemYPEDIQ,The Gloaming,4fQbIxjM2vH6YF4OsWlaGT,The Gloaming 3,1GWCQhAMOQ6oDaZZ7gQ4K6,28,https://p.scdn.co/mp3-preview/07ce39ec6d5520af9e870e74e1d2011152195f07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Aliens with Extraordinary Abilities: Torched and Wrecked,4VMaVfhZR8Wyd5nd3Y5GP4,David Skidmore,3ZpIDhMdDt04E5daWvdboT,"Perpetulum: Philip Glass, Gavin Bryars, Third Coast Percussion",1IK7kcKtDHopNnYmz7Moz7,30,https://p.scdn.co/mp3-preview/d9b414760aeea82704ed47800764236b243eaf37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Give A Chance,49513InVDgeQdItjBnaWCd,Jesse Mac Cormack,2H8M8TXbgq7ZF676K4Zm2C,Give A Chance,6my78SJEiJrdwNOVHSgzyN,16,https://p.scdn.co/mp3-preview/43b0188fc67e44970a8287770fa70b3f2580a2ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Weird Little Idea,5dd8bjfDdmFXhbKiGbE1bW,Radiator Hospital,0HMLp79IAd9Z8zMgxqpyxn,Weird Little Idea,6wgY1wMvbWOaJ3xOBcLhBn,3,not available
