Rock Hard,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
71,Within These Walls,5HBt9KwW0qpEoiTcn2bn1V,Bonesteel,6mc6QAwPvw9Uu7LNsArM4y,Within These Walls,4u6SIgxzhOdFaLtPSxEAC6,42,https://p.scdn.co/mp3-preview/6fc197754d36b6f1199235722a0a50055ff99956?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Bloody Nose,3XUnEyS2m0cMaHYLON7skY,Hollywood Undead,0CEFCo8288kQU7mJi25s6E,PSALMS,7MnBpmqiy4SaDknQ9s9I6o,58,https://p.scdn.co/mp3-preview/a747e5099d661058b152db8919bd8f717cd4f240?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Save Defiance,1CyXjg13hqTNIJgcNNIzDz,Mark Morton,5w09r1HW3Dc8BMYIvqbnnF,Save Defiance,05GZgBtYRh693rtKwCCTIS,41,not available
74,The Leap,607jKEHXU6EujgA90vKARO,Our Last Night,00YTqRClk82aMchQQpYMd5,The Leap,4dfH6sDi0W0fV2S9EX86wV,48,https://p.scdn.co/mp3-preview/8d4b5f9d81e5b15eb1ff1679a8c651c93d6a1813?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,A New Disaster,2Dacl6eI6cIwTcLtqpQcA0,Cold Kingdom,2xCNGjnt3szUnV29cCtrWD,A New Disaster,2bmZJfV07YUUnRJyLhqk6u,46,https://p.scdn.co/mp3-preview/205d38e69da440113596c2dcac8df9e17a7e2097?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,Broken and Bruised,1cNX3cY6i8hMuMkCtBFNEy,Deadland Ritual,62aaTF04Hgbm6crne2ThvW,Broken and Bruised,0h0yQfmQF4M8mCMQri8cwv,41,https://p.scdn.co/mp3-preview/3419f856498fbe1ec9061b90ee5162a1756ec045?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Never Back Down,3O4tAyCKMYy1DIosXy1wAv,Hyro The Hero,54okLCsuAzwltG8zHECNpm,Flagged Channel,2O6gx6GOXvN9eLsPghTdpv,45,https://p.scdn.co/mp3-preview/2d167c4867b02809ff0e65dcbfa50f6b0d92a64b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,War in the Streets.,05h5rk4vraQoYmce4dor9H,After 10,4GfFRpkuIfXvJWLnzo9hwK,War in the Streets.,3yIH2ejSmFwXmZd9YU3YhZ,41,https://p.scdn.co/mp3-preview/239877de7257b97dd1bca2028647dc08fcb53af0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,First Time,07ItTdGGI4isIM1Ieuigvc,Royal Tusk,122qG4lB9vG6XCjrwJPnRJ,Tusk II,7iKHnBcAxTYWDRrIloaWeN,46,https://p.scdn.co/mp3-preview/dd643602f1149b0ce3760a1fe9a1d61eac9155a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Brother,3rPlqhhhBvDWO5GwiDljsl,Saul,3bpsYqqHc3GqU3WclK4dpp,Brother,7K6xJkdD5jvfyWEHDT4jeD,5,not available
81,When Legends Rise,1Si7crvw1M6Kgz9XiAtMiJ,Godsmack,6gZq1Q6bdOxsUPUG1TaFbF,When Legends Rise,1n5bxxxowQ8ufvx2DXKeEV,64,https://p.scdn.co/mp3-preview/372d578d91ad11c56bf9a7f1ba6af1a2eaeb2911?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Crooked Soul - Single Version,2NToLZNvVaQD3b8ecqiDzh,Dayseeker,5FjQVp1Lb0kltmwIuu5kfj,Crooked Soul,1BSf5QvfaqebkozOZ3eHSv,54,not available
83,Lost (feat. Sully Erna),2ZPILPb1oDWzuB2VsIF17f,Stitched Up Heart,4XG961Y3fzZF5k2gfpnaNt,Lost (feat. Sully Erna),5Q2NqVgy5TLVCyYSl4K8up,42,not available
84,Be Legendary,2mVFo8BJ6ZPh82QAOpCUbT,Pop Evil,1pRaG81GsVtaTBuVSpldt2,Pop Evil,2zrUlKeTyEhyYulj8Gu8T9,63,https://p.scdn.co/mp3-preview/f430fee71dd2ef47dbc2c565b4cef4a2e7b059b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Halo,0BBuP5Ynwl0hMKbQGEjfnk,Boston Manor,4WjeQi9wm84lYTIWZ95QoM,Welcome to the Neighbourhood,1i0k46X5g1vDetBJfNaOYT,57,https://p.scdn.co/mp3-preview/3676834478406d6102d80ee7c0e6cff65da81ad5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Phoenix Down,52XjCjs89wOrrDxFDNslbp,Vespera,4nB3Q1GLClMgIs0CpZnYRZ,Phoenix Down,4r0g5iujxAqqMrspMq2pZ7,39,https://p.scdn.co/mp3-preview/219531235f0fc35e74ca21664774226605f5c292?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Healing (Bonus Track),1X7zaSfZfso8wojl7NUAGm,The Veer Union,2WQQRKpu2PMLsHSrUJmyCS,Against the Grain (10 Year Anniversary Edition),58CxvDyVN6ej4g9L8sbw1h,43,https://p.scdn.co/mp3-preview/5583871997e39b312771da0e6ac9299cb7a55911?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Low,0WTt4UIUMbVIAnXhaPq7iu,TheCityIsOurs,5Zsmx4eGounUJ1Hqq6tIQs,Low,4eFORjdRFYnBlk5xB7IIcp,42,https://p.scdn.co/mp3-preview/c679fcae716a388c44ee308b0061ae34f49d6b58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Dominate Me,4Pf95KrUvj48z2ChGNA5Ye,Fight The Fury,0y6TDfwRN2HEHcFizxp1Je,Still Breathing,0PsIUBkQ0X2syu3a7GRyNi,48,https://p.scdn.co/mp3-preview/b2b7bf327d1a8725d1c4fb0fa9aeb7c7369b499f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Awakening,4EmokJEqiyqIUPJ8W1MbbW,Throw The Fight,1nRfyHvAh1foLjOCa3hbv7,Awakening,563WVcixzFSli4vAEm3Qxr,49,https://p.scdn.co/mp3-preview/3a99df675b2a21646447d5867c0769dc00df4beb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,I AM,71XANkrvmPFBd0bsFuLpvm,Toothgrinder,03YfzFNcD7l9uskxK7WaPP,I AM,2OhVhoK6DoQU8KsC1yPsLq,45,not available
92,Torn in Two,3IiMnjK7S2PlsPVMuAH7rU,Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,Ember,2D1s85eD7MLnPd3zjfK4tr,62,not available
93,The Safety of Disbelief,28Mj8V1IVsfHnHhl4RkZq2,Light The Torch,6RIRplpyp79REfeBrvW8rH,Revival,7dKXOhHlJaTCnwBQpxh1vY,56,https://p.scdn.co/mp3-preview/ac2c5dc1028a9b29e528266e72ba7bfe4bd6de34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,Here Comes The Boom,7foMdEhJevqESQw39FQcuv,Rise Of The Northstar,5vDfbSPkurKQxpVVXALJ4K,Here Comes The Boom,1pIuEG8M02eyQkR6HVdd83,43,https://p.scdn.co/mp3-preview/334e526e032962cf2cc1060cc16691a2c28a95ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Over It,6tcffr47HXSrFWo2BzK6qW,Fame on Fire,10Z7WzKMeIdNBKexi1YarP,Over It,4abaG6403NVU08uH13Hry1,47,https://p.scdn.co/mp3-preview/01fe882c0f40e96745b05836f1fe59ced6c68bf1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
