The Pop List,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
58,Kintsugi,2kWcW9mqoCQH9HK9o2K6rc,Gabrielle Aplin,3w6zswp5THsSKYLICUbDTZ,Kintsugi,7gzTeasa0r3UacAMdCYOpW,61,https://p.scdn.co/mp3-preview/dab07be266e445bb52f29c7822ef8455ae000df2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Doing To Me,1ioqD1XvFGDomjXkKNCBQB,Astrid S,3AVfmawzu83sp94QW7CEGm,Trust Issues,0p9VYdjKX7XgC7M3wm5R3E,70,not available
60,I Don’t Think I Can Do This Again (with Clairo),3udJxehBCZ27wRO9gSum4B,Mura Masa,5Q81rlcTFh3k6DQJXPdsot,I Don’t Think I Can Do This Again,2PMTYwJd3ui0erw8OJMvC4,68,not available
61,Nothing On You,6kZ3abguPUHM0TVrtlO2Kr,Lily Moore,1SQeTDXO492WB6aFvrntSS,Nothing On You,6pbaswdUATL0b4sU3DyK0o,57,not available
62,Lean On (with Emiway Bantai),61eDLrQvquaTtZRnGFz9Kh,Celina Sharma,42daDEQTdYaqtHG5sH5HMD,Lean On (with Emiway Bantai),6h53Qu0rJsJuOrVnEXpxW7,53,not available
63,Pick Up Your Phone,4hIppgm5PYoVIoGtCCSJnh,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Pick Up Your Phone,0R4xeAX58W4xrgIQ9OIJ6q,57,https://p.scdn.co/mp3-preview/a612ea34285bc778bcc78d53df16fce7f38c1feb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Stay Happy,7tuV9cleysQqDPQ66Z5FpR,Au/Ra,1eMmoIprPDWeFdB1FxU6ZV,Stay Happy,2gzQDEHz4p1iJ93QY0ZIYj,58,https://p.scdn.co/mp3-preview/0ce3f64fae8ecd13ccd8e92b27f28209edb2943e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Hello My Loneliness,7s1pVBcyE3WAjIKDTu4q92,Delaney Jane,3fuxStOqQv8TiytHeuGiE8,Hello My Loneliness,4Es2JrBlX5GYELe2bdoCWt,61,https://p.scdn.co/mp3-preview/885c69b3657571691c1e1ecf3708c075bf30d842?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Hotel Walls,0IZoBFaTUG79KBfKlv8zmG,Smith & Thell,1ZrBGJWLL8NiAjgNifCy90,Hotel Walls,3vo7F1U983bPR68ojP5aSj,72,https://p.scdn.co/mp3-preview/959fc46061174159c497979e7948495513ccbbd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,72,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,Stayaway,0RnjTd8PiMottZuSKNtzOn,MUNA,6xdRb2GypJ7DqnWAI2mHGn,Stayaway,0kRNeGUDS6Vqr9JcU6sz3J,54,https://p.scdn.co/mp3-preview/bc7018084721c15b04b7925b3a6d670a3c72aaa5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Butterflies,1RMvWA6XFFN8cciB2GHYFy,Soulé,1XRCocF9w2bZKho10CbDOP,Butterflies,4u3b4Pc923P1iz846Lz1Pj,54,https://p.scdn.co/mp3-preview/3eadac539c15457df4b82d6dcc42b11fc9d77ecb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Love Me Or Leave Me Alone,5UH7c5giPG9RLL1ks5hEJD,Beachwood,58Lr19C9n9aRD7q4OHrEdb,Love Me Or Leave Me Alone,32kBOtJKNAk1pVxMtZYJP1,51,https://p.scdn.co/mp3-preview/081dba58e0a6fedfb4a67d9006cc286ca6f4199e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Phone Numbers,3f9Mzvd3URfbbIJBX4pz9Z,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,Phone Numbers,6RhSCF1Z3g95Q1rZWqpUdT,76,https://p.scdn.co/mp3-preview/4f1e787faeb3b0410d1aeff0bb19e2af9dd95629?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Hell N Back,3NRql0A1Ef4RCvT473iqgD,Bakar,3K2Srho6NCF3o9MswGR76H,Hell N Back,3aEdbaJGWXbBxn79DgjamF,64,https://p.scdn.co/mp3-preview/6e4104d14a5ff037a436002f8204bde266b9db27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Indigo,1sOr5OXjbukTzBDgmvd6Fa,88rising,1AhjOkOLkbHUfcHDSErXQs,Indigo,3Y3CwwjIi03RRyJohYzKXh,79,https://p.scdn.co/mp3-preview/92303f27f212f7cf4abaadd75a187576b5947869?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,No Way!,0yYwS7CXKIPC4kWPvZQfsT,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Soul Searching,4ZKdRW0AH9sxV09NmWsTkW,79,https://p.scdn.co/mp3-preview/c90e7fbd5867542de087dd5965090cdbc74c63cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,OKAY OKAY,1Wds4TjXgP26AW9H8LALtQ,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,OKAY OKAY,6kQdXSgxiz2zB105BSX6SA,67,not available
76,Summer Fade (feat. Anna of the North),3UIGE2FXaUUcYWA31Og0XO,Snakehips,2FwJwEswyIUAljqgjNSHgP,Summer Fade (feat. Anna of the North),5bB44dDIsNlLs2vRUMsrWd,68,https://p.scdn.co/mp3-preview/aa73365beb97f4c0bfe456834ec4cedc2788975e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Here,1WzraTfKIHWyqAm8oZEpb3,shiv,5rxxzsO9zojzg0FfWVmIv7,Here,2tydMAXYpOTCltfSPaIKvn,41,https://p.scdn.co/mp3-preview/9ce46e8635d8f802adfb19fbbcbab75abb63c976?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Bop.,1QBZ93QHvoQBBGimAEpOgC,Modernlove.,2u17Ej1u0JHyRsstmofsrh,Bop.,6vg5xGCzCZJfgxfBXAD73g,42,https://p.scdn.co/mp3-preview/2e53fc050ccdeee27b00191f2df2d0d33e6b4785?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,moonlight,2HIaDofqzTiB41a5CsuiOh,frogi,0frlcBV9pFq0Ip624rdUen,moonlight,3uh3cnlcKIvQUANMd2Sy6D,36,https://p.scdn.co/mp3-preview/ba3be722078c5bfc570fba67b926cf2819ad265b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,The Kids Are Coming,76bvw5EDyhm1b3dfsOToYG,Tones and I,2NjfBq1NflQcKSeiDooVjY,The Kids Are Coming,2pJXQvY0YeDvVJ9gMU9G7j,70,https://p.scdn.co/mp3-preview/18475287dc3f2725732ea4058d312efdbce30c2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
